box_id,sortie_id,arrival_time_s,deadline_s,lateness_s,late_flag
S001-MED-01,Q2-001,1133.6168782418845,3600.0,0.0,False
S001-MED-02,Q2-001,1133.6168782418845,3600.0,0.0,False
S001-WAT-01,Q2-001,1133.6168782418845,3600.0,0.0,False
S001-WAT-02,Q2-001,1133.6168782418845,,0.0,False
S001-WAT-03,Q2-001,1133.6168782418845,,0.0,False
S001-WAT-04,Q2-001,1133.6168782418845,,0.0,False
S001-WAT-05,Q2-001,1133.6168782418845,,0.0,False
S001-WAT-06,Q2-002,97889.06546659429,,0.0,False
S001-WAT-07,Q2-002,97889.06546659429,,0.0,False
S001-WAT-08,Q2-002,97889.06546659429,,0.0,False
S001-FOD-01,Q2-002,97889.06546659429,,0.0,False
S001-FOD-02,Q2-002,97889.06546659429,,0.0,False
S001-FOD-03,Q2-002,97889.06546659429,,0.0,False
S001-HYG-01,Q2-002,97889.06546659429,,0.0,False
S001-HYG-02,Q2-002,97889.06546659429,,0.0,False
S002-FOD-02,Q2-003,95754.1423024988,,0.0,False
S002-HYG-01,Q2-003,95754.1423024988,,0.0,False
S002-MED-01,Q2-004,14379.655284202308,3600.0,11175.655284202308,True
S002-WAT-01,Q2-004,14379.655284202308,3600.0,11175.655284202308,True
S002-WAT-02,Q2-004,14379.655284202308,,0.0,False
S002-WAT-03,Q2-004,14379.655284202308,,0.0,False
S002-WAT-04,Q2-004,14379.655284202308,,0.0,False
S002-FOD-01,Q2-004,14379.655284202308,,0.0,False
S003-FOD-02,Q2-005,89739.2355139754,,0.0,False
S003-HYG-01,Q2-005,89739.2355139754,,0.0,False
S003-MED-01,Q2-006,86994.60829205756,7200.0,80190.60829205756,True
S003-WAT-01,Q2-006,86994.60829205756,7200.0,80190.60829205756,True
S003-WAT-02,Q2-006,86994.60829205756,,0.0,False
S003-WAT-03,Q2-006,86994.60829205756,,0.0,False
S003-WAT-04,Q2-006,86994.60829205756,,0.0,False
S003-FOD-01,Q2-006,86994.60829205756,,0.0,False
S004-MED-01,Q2-007,6442.749068066248,7200.0,0.0,False
S004-WAT-01,Q2-007,6442.749068066248,7200.0,0.0,False
S004-WAT-02,Q2-007,6442.749068066248,,0.0,False
S004-WAT-03,Q2-007,6442.749068066248,,0.0,False
S004-FOD-01,Q2-007,6442.749068066248,,0.0,False
S004-HYG-01,Q2-007,6442.749068066248,,0.0,False
S005-MED-01,Q2-008,10404.0,10800.0,0.0,False
S005-WAT-01,Q2-008,10404.0,10800.0,0.0,False
S005-WAT-02,Q2-008,10404.0,,0.0,False
S005-WAT-03,Q2-008,10404.0,,0.0,False
S005-FOD-01,Q2-008,10404.0,,0.0,False
S005-HYG-01,Q2-008,10404.0,,0.0,False
S006-MED-01,Q2-009,18750.6862319218,3600.0,15546.686231921802,True
S006-WAT-01,Q2-009,18750.6862319218,3600.0,15546.686231921802,True
S006-WAT-02,Q2-009,18750.6862319218,,0.0,False
S006-WAT-03,Q2-009,18750.6862319218,,0.0,False
S006-FOD-01,Q2-009,18750.6862319218,,0.0,False
S006-HYG-01,Q2-009,18750.6862319218,,0.0,False
S007-MED-01,Q2-010,84825.40101655651,3600.0,81585.40101655651,True
S007-WAT-01,Q2-010,84825.40101655651,3600.0,81585.40101655651,True
S007-WAT-02,Q2-010,84825.40101655651,,0.0,False
S007-FOD-01,Q2-010,84825.40101655651,,0.0,False
S007-HYG-01,Q2-010,84825.40101655651,,0.0,False
S008-MED-01,Q2-011,5571.668415639388,7200.0,0.0,False
S008-WAT-01,Q2-011,5571.668415639388,7200.0,0.0,False
S008-WAT-02,Q2-011,5571.668415639388,,0.0,False
S008-FOD-01,Q2-011,5571.668415639388,,0.0,False
S008-HYG-01,Q2-011,5571.668415639388,,0.0,False
S009-MED-01,Q2-012,10560.0,10800.0,0.0,False
S009-WAT-01,Q2-012,10560.0,10800.0,0.0,False
S009-FOD-01,Q2-012,10560.0,,0.0,False
S010-MED-01,Q2-013,1024.8348215935089,3600.0,0.0,False
S010-WAT-01,Q2-013,1024.8348215935089,3600.0,0.0,False
S010-FOD-01,Q2-013,1024.8348215935089,,0.0,False
S011-MED-01,Q2-014,8705.37750442005,10800.0,0.0,False
S011-WAT-01,Q2-014,8705.37750442005,10800.0,0.0,False
S011-FOD-01,Q2-014,8705.37750442005,,0.0,False
S012-MED-01,Q2-015,93430.22608864636,3600.0,90070.22608864636,True
S012-WAT-01,Q2-015,93430.22608864636,3600.0,90070.22608864636,True
S012-FOD-01,Q2-015,93430.22608864636,,0.0,False
S013-MED-01,Q2-016,3037.3499185494293,3600.0,0.0,False
S013-WAT-01,Q2-016,3037.3499185494293,3600.0,0.0,False
S013-FOD-01,Q2-016,3037.3499185494293,,0.0,False
S014-MED-01,Q2-017,3360.0,3600.0,0.0,False
S014-WAT-01,Q2-017,3360.0,3600.0,0.0,False
S014-FOD-01,Q2-017,3360.0,,0.0,False
S015-MED-01,Q2-018,8093.968917219929,7200.0,1133.9689172199287,True
S015-WAT-01,Q2-018,8093.968917219929,10800.0,0.0,False
S015-FOD-01,Q2-018,8093.968917219929,,0.0,False
