resource,task_id,A_start,A_end,B_start,B_end,delta_start,delta_end,A_source_function,B_source_function
service:S008,Q2-011,13439.727378768515,13799.727378768515,13439.727378768515,13799.727378768515,0.0,0.0,eval_A.service_interval,eval_B.service_event
service:S009,Q2-012,9191.991380600455,9431.991380600455,9191.991380600455,9431.991380600455,0.0,0.0,eval_A.service_interval,eval_B.service_event
service:S010,Q2-013,3304.834821593509,3544.834821593509,3304.834821593509,3544.834821593509,0.0,0.0,eval_A.service_interval,eval_B.service_event
service:S011,Q2-014,8287.004448312813,8527.004448312813,8287.004448312813,8527.004448312813,0.0,0.0,eval_A.service_interval,eval_B.service_event
service:S012,Q2-015,17531.87466950354,17771.87466950354,17531.87466950354,17771.87466950354,0.0,0.0,eval_A.service_interval,eval_B.service_event
service:S013,Q2-016,23142.75360869577,23382.75360869577,23142.75360869577,23382.75360869577,0.0,0.0,eval_A.service_interval,eval_B.service_event
service:S014,Q2-017,22421.851502011526,22661.851502011526,22421.851502011526,22661.851502011526,0.0,0.0,eval_A.service_interval,eval_B.service_event
service:S015,Q2-018,11478.253122811995,11718.253122811995,11478.253122811995,11718.253122811995,0.0,0.0,eval_A.service_interval,eval_B.service_event
transport:U05,Q2-003,19320.0,21079.923088697768,19320.0,21079.923088697768,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U05,Q2-005,12960.0,14980.329865553917,12960.0,14980.329865553917,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U05,Q2-012,8340.0,9900.802761200912,8340.0,9900.802761200912,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U05,Q2-013,2460.0,4014.596309853685,2460.0,4014.596309853685,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U05,Q2-016,22320.0,23830.440550724878,22320.0,23830.440550724878,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U06,Q2-014,7620.0,8809.635563292293,7620.0,8809.635563292293,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U06,Q2-015,16500.0,18423.889339007084,16500.0,18423.889339007084,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U06,Q2-017,21420.0,23288.58967068972,21420.0,23288.58967068972,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U06,Q2-018,10500.0,12329.626245623993,10500.0,12329.626245623993,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U07,Q2-001,180.0,1741.4332394931612,180.0,1741.4332394931612,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U07,Q2-004,18000.0,20111.041173414567,18000.0,20111.041173414567,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U07,Q2-007,5460.0,7765.187976081966,5460.0,7765.187976081966,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U07,Q2-009,2340.0,3900.862636719967,2340.0,3900.862636719967,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U07,Q2-011,12300.0,14503.77475753703,12300.0,14503.77475753703,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U08,Q2-002,240.0,1867.4332394931607,240.0,1867.4332394931607,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U08,Q2-006,4500.0,6935.897911615111,4500.0,6935.897911615111,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U08,Q2-008,9420.0,11300.04591993618,9420.0,11300.04591993618,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
transport:U08,Q2-010,15540.0,17447.51663938697,15540.0,17447.51663938697,0.0,0.0,eval_A.transport_interval,eval_B.transport_event
battery:B-B01,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
battery:B-B02,__PEAK__,2.0,2.0,2.0,2.0,0.0,0.0,sweep_A,sweep_B
battery:B-B03,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
battery:B-B04,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
battery:C-B01,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
battery:C-B02,__PEAK__,2.0,2.0,2.0,2.0,0.0,0.0,sweep_A,sweep_B
battery:C-B03,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
battery:C-B04,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
relay_pool,__PEAK__,2.0,2.0,2.0,2.0,0.0,0.0,sweep_A,sweep_B
service:S001,__PEAK__,2.0,2.0,2.0,2.0,0.0,0.0,sweep_A,sweep_B
service:S002,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S003,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S004,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S005,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S006,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S007,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S008,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S009,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S010,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S011,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S012,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S013,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S014,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
service:S015,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
transport:U05,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
transport:U06,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
transport:U07,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
transport:U08,__PEAK__,1.0,1.0,1.0,1.0,0.0,0.0,sweep_A,sweep_B
