resource,task_id,start_s,end_s,source_function
transport:U07,SENS20-001,0.0,1297.4332394931612,eval_A.transport_interval
service:S001,SENS20-001,696.9016197465805,984.9016197465805,eval_A.service_interval
battery:C-B01,SENS20-001,0.0,2679.541609164337,eval_A.battery_interval
transport:U08,SENS20-002,0.0,2111.041173414566,eval_A.transport_interval
service:S002,SENS20-002,1092.930586707283,1488.930586707283,eval_A.service_interval
battery:C-B02,SENS20-002,0.0,4650.885216066781,eval_A.battery_interval
transport:U07,SENS20-003,1297.4332394931612,2858.2958762131275,eval_A.transport_interval
service:S006,SENS20-003,2110.5095578531445,2506.5095578531445,eval_A.service_interval
battery:C-B03,SENS20-003,1297.4332394931612,4394.163301248845,eval_A.battery_interval
transport:U08,SENS20-004,2111.041173414566,4018.557812801536,eval_A.transport_interval
service:S007,SENS20-004,3098.7594931080507,3458.7594931080507,eval_A.service_interval
battery:C-B04,SENS20-004,2111.041173414566,5775.603616277208,eval_A.battery_interval
transport:U05,SENS20-005,0.0,1554.5963098536845,eval_A.transport_interval
service:S010,SENS20-005,844.8348215935089,1084.8348215935089,eval_A.service_interval
battery:B-B01,SENS20-005,0.0,3010.411224025971,eval_A.battery_interval
transport:U06,SENS20-006,0.0,1923.889339007083,eval_A.transport_interval
service:S012,SENS20-006,1031.8746695035416,1271.8746695035416,eval_A.service_interval
battery:B-B02,SENS20-006,0.0,3784.593839025665,eval_A.battery_interval
transport:U05,SENS20-007,1554.5963098536845,3065.036860578557,eval_A.transport_interval
service:S013,SENS20-007,2377.349918549454,2617.349918549454,eval_A.service_interval
battery:B-B03,SENS20-007,1554.5963098536845,4522.395904223762,eval_A.battery_interval
transport:U06,SENS20-008,1923.889339007083,3792.4790096968018,eval_A.transport_interval
service:S014,SENS20-008,2925.740841018609,3165.740841018609,eval_A.service_interval
battery:B-B04,SENS20-008,1923.889339007083,5385.301904198814,eval_A.battery_interval
transport:U07,SENS20-009,2858.2958762131275,5294.193787828239,eval_A.transport_interval
service:S003,SENS20-009,4107.704832020683,4503.704832020683,eval_A.service_interval
battery:C-B01,SENS20-009,2858.2958762131275,7839.96600490966,eval_A.battery_interval
transport:U08,SENS20-010,4394.163301248845,6699.35127733081,eval_A.transport_interval
service:S004,SENS20-010,5583.727289289827,5979.727289289827,eval_A.service_interval
battery:C-B03,SENS20-010,4394.163301248845,9205.604090689962,eval_A.battery_interval
transport:U07,SENS20-011,5294.193787828239,7497.968545365269,eval_A.transport_interval
service:S008,SENS20-011,6433.921166596754,6793.921166596754,eval_A.service_interval
battery:C-B02,SENS20-011,5294.193787828239,9917.728661950128,eval_A.battery_interval
transport:U05,SENS20-012,3065.036860578557,4894.663106202548,eval_A.transport_interval
service:S015,SENS20-012,4043.289983390553,4283.289983390553,eval_A.service_interval
battery:B-B01,SENS20-012,3065.036860578557,6562.782314711138,eval_A.battery_interval
transport:U08,SENS20-013,6699.35127733081,8579.39719726699,eval_A.transport_interval
service:S005,SENS20-013,7678.0092372989,8074.0092372989,eval_A.service_interval
battery:C-B04,SENS20-013,6699.35127733081,10560.73393479392,eval_A.battery_interval
transport:U06,SENS20-014,3792.4790096968018,5353.281770897713,eval_A.transport_interval
service:S009,SENS20-014,4644.470390297258,4884.470390297258,eval_A.service_interval
battery:B-B02,SENS20-014,3792.4790096968018,6931.039038969422,eval_A.battery_interval
transport:U05,SENS20-015,4894.663106202548,6084.298669494842,eval_A.transport_interval
service:S011,SENS20-015,5561.667554515361,5801.667554515361,eval_A.service_interval
battery:B-B03,SENS20-015,4894.663106202548,7217.7456323388815,eval_A.battery_interval
transport:U07,SENS20-016,7839.96600490966,9203.39924440282,eval_A.transport_interval
service:S001,SENS20-016,8566.86762465624,8890.86762465624,eval_A.service_interval
battery:C-B01,SENS20-016,7839.96600490966,10664.097541932373,eval_A.battery_interval
transport:U08,SENS20-017,9205.604090689962,10569.037330183122,eval_A.transport_interval
service:S001,SENS20-017,9932.505710436542,10256.505710436542,eval_A.service_interval
battery:C-B03,SENS20-017,9205.604090689962,11965.950031145812,eval_A.battery_interval
transport:U07,SENS20-018,9917.728661950128,11281.161901443289,eval_A.transport_interval
service:S001,SENS20-018,10644.630281696709,10968.630281696709,eval_A.service_interval
battery:C-B02,SENS20-018,9917.728661950128,12767.80062316036,eval_A.battery_interval
transport:U06,SENS20-019,5385.301904198814,7145.224992896583,eval_A.transport_interval
service:S002,SENS20-019,6337.203448547698,6547.203448547698,eval_A.service_interval
battery:B-B04,SENS20-019,5385.301904198814,8838.340739686391,eval_A.battery_interval
transport:U05,SENS20-020,6562.782314711138,8583.112180265052,eval_A.transport_interval
service:S003,SENS20-020,7640.920580821427,7850.920580821427,eval_A.service_interval
battery:B-B01,SENS20-020,6562.782314711138,10300.036485988816,eval_A.battery_interval
