resource,task_id,start_s,end_s,source_function
transport:U07,SENS27-001,0.0,1297.4332394931612,eval_A.transport_interval
service:S001,SENS27-001,696.9016197465805,984.9016197465805,eval_A.service_interval
battery:C-B01,SENS27-001,0.0,2679.541609164337,eval_A.battery_interval
transport:U08,SENS27-002,0.0,1913.041173414566,eval_A.transport_interval
service:S002,SENS27-002,1002.930586707283,1290.930586707283,eval_A.service_interval
battery:C-B02,SENS27-002,0.0,4103.279189971616,eval_A.battery_interval
transport:U07,SENS27-003,1297.4332394931612,2660.2958762131275,eval_A.transport_interval
service:S006,SENS27-003,2020.5095578531445,2308.5095578531445,eval_A.service_interval
battery:C-B03,SENS27-003,1297.4332394931612,4091.7022502559416,eval_A.battery_interval
transport:U08,SENS27-004,1913.041173414566,3622.557812801536,eval_A.transport_interval
service:S007,SENS27-004,2810.7594931080507,3062.7594931080507,eval_A.service_interval
battery:C-B04,SENS27-004,1913.041173414566,5278.553716122038,eval_A.battery_interval
transport:U05,SENS27-005,0.0,1554.5963098536845,eval_A.transport_interval
service:S010,SENS27-005,844.8348215935089,1084.8348215935089,eval_A.service_interval
battery:B-B01,SENS27-005,0.0,3010.411224025971,eval_A.battery_interval
transport:U06,SENS27-006,0.0,1923.889339007083,eval_A.transport_interval
service:S012,SENS27-006,1031.8746695035416,1271.8746695035416,eval_A.service_interval
battery:B-B02,SENS27-006,0.0,3784.593839025665,eval_A.battery_interval
transport:U05,SENS27-007,1554.5963098536845,3065.036860578557,eval_A.transport_interval
service:S013,SENS27-007,2377.349918549454,2617.349918549454,eval_A.service_interval
battery:B-B03,SENS27-007,1554.5963098536845,4522.395904223762,eval_A.battery_interval
transport:U06,SENS27-008,1923.889339007083,3792.4790096968018,eval_A.transport_interval
service:S014,SENS27-008,2925.740841018609,3165.740841018609,eval_A.service_interval
battery:B-B04,SENS27-008,1923.889339007083,5385.301904198814,eval_A.battery_interval
transport:U07,SENS27-009,2679.541609164337,4917.439520779449,eval_A.transport_interval
service:S003,SENS27-009,3838.950564971892,4126.950564971892,eval_A.service_interval
battery:C-B01,SENS27-009,2679.541609164337,7112.2906381968305,eval_A.battery_interval
transport:U08,SENS27-010,4091.7022502559416,6198.890226337907,eval_A.transport_interval
service:S004,SENS27-010,5191.266238296924,5479.266238296924,eval_A.service_interval
battery:C-B03,SENS27-010,4091.7022502559416,8459.679915417899,eval_A.battery_interval
transport:U07,SENS27-011,4917.439520779449,6923.214278316479,eval_A.transport_interval
service:S008,SENS27-011,5967.166899547964,6219.166899547964,eval_A.service_interval
battery:C-B02,SENS27-011,4917.439520779449,9174.92687125719,eval_A.battery_interval
transport:U05,SENS27-012,3065.036860578557,4894.663106202548,eval_A.transport_interval
service:S015,SENS27-012,4043.289983390553,4283.289983390553,eval_A.service_interval
battery:B-B01,SENS27-012,3065.036860578557,6562.782314711138,eval_A.battery_interval
transport:U08,SENS27-013,6198.890226337907,7880.936146274087,eval_A.transport_interval
service:S005,SENS27-013,7087.548186305997,7375.548186305997,eval_A.service_interval
battery:C-B04,SENS27-013,6198.890226337907,9693.861961758366,eval_A.battery_interval
transport:U06,SENS27-014,3792.4790096968018,5353.281770897713,eval_A.transport_interval
service:S009,SENS27-014,4644.470390297258,4884.470390297258,eval_A.service_interval
battery:B-B02,SENS27-014,3792.4790096968018,6931.039038969422,eval_A.battery_interval
transport:U05,SENS27-015,4894.663106202548,6084.298669494842,eval_A.transport_interval
service:S011,SENS27-015,5561.667554515361,5801.667554515361,eval_A.service_interval
battery:B-B03,SENS27-015,4894.663106202548,7217.7456323388815,eval_A.battery_interval
transport:U07,SENS27-016,7112.2906381968305,8475.72387768999,eval_A.transport_interval
service:S001,SENS27-016,7839.192257943411,8163.192257943411,eval_A.service_interval
battery:C-B01,SENS27-016,7112.2906381968305,9936.422175219543,eval_A.battery_interval
transport:U08,SENS27-017,8459.679915417899,9823.11315491106,eval_A.transport_interval
service:S001,SENS27-017,9186.58153516448,9510.58153516448,eval_A.service_interval
battery:C-B03,SENS27-017,8459.679915417899,11220.02585587375,eval_A.battery_interval
transport:U07,SENS27-018,9174.92687125719,10538.360110750351,eval_A.transport_interval
service:S001,SENS27-018,9901.828491003771,10225.828491003771,eval_A.service_interval
battery:C-B02,SENS27-018,9174.92687125719,12024.998832467421,eval_A.battery_interval
transport:U06,SENS27-019,5385.301904198814,7145.224992896583,eval_A.transport_interval
service:S002,SENS27-019,6337.203448547698,6547.203448547698,eval_A.service_interval
battery:B-B04,SENS27-019,5385.301904198814,8838.340739686391,eval_A.battery_interval
transport:U08,SENS27-020,9823.11315491106,11736.154328325625,eval_A.transport_interval
service:S002,SENS27-020,10826.043741618343,11114.043741618343,eval_A.service_interval
battery:C-B04,SENS27-020,9823.11315491106,13955.092539105963,eval_A.battery_interval
transport:U05,SENS27-021,6562.782314711138,8583.112180265052,eval_A.transport_interval
service:S003,SENS27-021,7640.920580821427,7850.920580821427,eval_A.service_interval
battery:B-B01,SENS27-021,6562.782314711138,10300.036485988816,eval_A.battery_interval
transport:U07,SENS27-022,10538.360110750351,12776.258022365462,eval_A.transport_interval
service:S003,SENS27-022,11697.769066557907,11985.769066557907,eval_A.service_interval
battery:C-B01,SENS27-022,10538.360110750351,15000.456101636937,eval_A.battery_interval
