resource,task_id,start_s,end_s,source_function
transport:U07,SENS24-001,0.0,1297.4332394931612,eval_A.transport_interval
service:S001,SENS24-001,696.9016197465805,984.9016197465805,eval_A.service_interval
battery:C-B01,SENS24-001,0.0,2679.541609164337,eval_A.battery_interval
transport:U08,SENS24-002,0.0,2111.041173414566,eval_A.transport_interval
service:S002,SENS24-002,1092.930586707283,1488.930586707283,eval_A.service_interval
battery:C-B02,SENS24-002,0.0,4650.885216066781,eval_A.battery_interval
transport:U07,SENS24-003,1297.4332394931612,2660.2958762131275,eval_A.transport_interval
service:S006,SENS24-003,2020.5095578531445,2308.5095578531445,eval_A.service_interval
battery:C-B03,SENS24-003,1297.4332394931612,4091.7022502559416,eval_A.battery_interval
transport:U08,SENS24-004,2111.041173414566,4018.557812801536,eval_A.transport_interval
service:S007,SENS24-004,3098.7594931080507,3458.7594931080507,eval_A.service_interval
battery:C-B04,SENS24-004,2111.041173414566,5775.603616277208,eval_A.battery_interval
transport:U05,SENS24-005,0.0,1554.5963098536845,eval_A.transport_interval
service:S010,SENS24-005,844.8348215935089,1084.8348215935089,eval_A.service_interval
battery:B-B01,SENS24-005,0.0,3010.411224025971,eval_A.battery_interval
transport:U06,SENS24-006,0.0,1923.889339007083,eval_A.transport_interval
service:S012,SENS24-006,1031.8746695035416,1271.8746695035416,eval_A.service_interval
battery:B-B02,SENS24-006,0.0,3784.593839025665,eval_A.battery_interval
transport:U05,SENS24-007,1554.5963098536845,3065.036860578557,eval_A.transport_interval
service:S013,SENS24-007,2377.349918549454,2617.349918549454,eval_A.service_interval
battery:B-B03,SENS24-007,1554.5963098536845,4522.395904223762,eval_A.battery_interval
transport:U06,SENS24-008,1923.889339007083,3792.4790096968018,eval_A.transport_interval
service:S014,SENS24-008,2925.740841018609,3165.740841018609,eval_A.service_interval
battery:B-B04,SENS24-008,1923.889339007083,5385.301904198814,eval_A.battery_interval
transport:U07,SENS24-009,2679.541609164337,4917.439520779449,eval_A.transport_interval
service:S003,SENS24-009,3838.950564971892,4126.950564971892,eval_A.service_interval
battery:C-B01,SENS24-009,2679.541609164337,7112.2906381968305,eval_A.battery_interval
transport:U08,SENS24-010,4091.7022502559416,6198.890226337907,eval_A.transport_interval
service:S004,SENS24-010,5191.266238296924,5479.266238296924,eval_A.service_interval
battery:C-B03,SENS24-010,4091.7022502559416,8459.679915417899,eval_A.battery_interval
transport:U07,SENS24-011,4917.439520779449,7121.214278316479,eval_A.transport_interval
service:S008,SENS24-011,6057.166899547964,6417.166899547964,eval_A.service_interval
battery:C-B02,SENS24-011,4917.439520779449,9540.97439490134,eval_A.battery_interval
transport:U05,SENS24-012,3065.036860578557,4894.663106202548,eval_A.transport_interval
service:S015,SENS24-012,4043.289983390553,4283.289983390553,eval_A.service_interval
battery:B-B01,SENS24-012,3065.036860578557,6562.782314711138,eval_A.battery_interval
transport:U08,SENS24-013,6198.890226337907,7880.936146274087,eval_A.transport_interval
service:S005,SENS24-013,7087.548186305997,7375.548186305997,eval_A.service_interval
battery:C-B04,SENS24-013,6198.890226337907,9693.861961758366,eval_A.battery_interval
transport:U06,SENS24-014,3792.4790096968018,5353.281770897713,eval_A.transport_interval
service:S009,SENS24-014,4644.470390297258,4884.470390297258,eval_A.service_interval
battery:B-B02,SENS24-014,3792.4790096968018,6931.039038969422,eval_A.battery_interval
transport:U05,SENS24-015,4894.663106202548,6084.298669494842,eval_A.transport_interval
service:S011,SENS24-015,5561.667554515361,5801.667554515361,eval_A.service_interval
battery:B-B03,SENS24-015,4894.663106202548,7217.7456323388815,eval_A.battery_interval
transport:U07,SENS24-016,7121.214278316479,8484.64751780964,eval_A.transport_interval
service:S001,SENS24-016,7848.11589806306,8172.11589806306,eval_A.service_interval
battery:C-B01,SENS24-016,7121.214278316479,9945.345815339193,eval_A.battery_interval
transport:U08,SENS24-017,8459.679915417899,9823.11315491106,eval_A.transport_interval
service:S001,SENS24-017,9186.58153516448,9510.58153516448,eval_A.service_interval
