from_node,to_node,drone_type,relay_required_duration_s,pointwise_sample_count,nonpositive_sample_count,worst_best_joint_margin,communication_edge_possible,best_access_margin,best_backhaul_margin,corrected_access_margin,corrected_backhaul_margin,worst_best_joint_margin_v2,communication_edge_possible_v2,obstacle_loss_rule,pipeline_sha256
O01,S008,B,1156.0699316251785,123,24,-0.3939969527329765,False,-0.0700310777113486,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S008,B,1011.8791371661212,107,23,-0.3939969527329765,False,-0.2426404370588528,-0.3939969527329765,9.757359562941147,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S008,B,1524.3294362692836,163,42,-0.4303651068388774,False,-0.392997152684984,-0.4303651068388774,9.607002847315016,-0.4303651068388774,-0.4303651068388774,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S003,S008,B,1928.0994873167224,204,43,-0.4863967450237112,False,-0.4863967450237112,-0.4017885448383822,9.513603254976289,-0.4017885448383822,-0.4017885448383822,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S004,S008,B,1432.027951966521,154,56,-0.3939969527329765,False,-0.0700310777113486,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S005,S008,B,1279.467034245371,139,24,-0.3939969527329765,False,-0.0700310777113486,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S006,S008,B,1232.9381447877042,129,29,-0.3939969527329765,False,-0.0700310777113486,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S007,S008,B,1594.8139897214337,171,34,-0.3939969527329765,False,-0.3736736606801827,-0.3939969527329765,9.626326339319816,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S009,S008,B,1415.9761671321062,153,27,-0.3939969527329765,False,-0.2360694846361326,-0.3939969527329765,9.763930515363867,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S010,S008,B,1665.6577323593815,177,29,-0.3939969527329765,False,-0.1785528342249591,-0.3939969527329765,9.82144716577504,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S011,S008,B,987.9836679709316,105,24,-0.3939969527329765,False,-0.1990850714217344,-0.3939969527329765,9.800914928578266,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S012,S008,B,1697.8231250172605,181,47,-0.3939969527329765,False,-0.365174862430635,-0.3939969527329765,9.634825137569363,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S013,S008,B,1512.1045394098603,162,25,-0.3939969527329765,False,-0.0700310777113486,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S014,S008,B,1973.7280562575445,209,33,-0.3939969527329765,False,-0.0700310777113486,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S015,S008,B,1531.896924988817,164,37,-0.3939969527329765,False,-0.3328788412878225,-0.3939969527329765,9.667121158712176,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
