sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok
Q2-001,U07,C,C-B01,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",97292.68903763249,S001,98541.59065737907,432,98854.12227712564,2.9263177459975083,0.6342102817503115,True
Q2-002,U08,C,C-B02,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",95185.25579813932,S001,96500.1574178859,468,96812.68903763247,3.004744020262608,0.624406997467174,True
Q2-003,U05,B,B-B01,"['S002-FOD-02', 'S002-HYG-01']",97940.07691130223,S002,99101.97845565111,210,99700.0,2.368728646438021,0.4078178383904948,True
Q2-004,U07,C,C-B03,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",180.0,S002,1668.930586707283,396,2291.041173414566,6.300962619023563,0.2123796726220546,True
Q2-005,U06,B,B-B02,"['S003-FOD-02', 'S003-HYG-01']",95439.74704574831,S003,96727.8853118586,210,97460.07691130223,2.423671474747147,0.39408213131321324,True
Q2-006,U08,C,C-B04,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",2817.2871684101665,S003,4462.696124217722,396,5253.185080025278,6.322851263069863,0.20964359211626715,True
Q2-007,U07,C,C-B01,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",5253.185080025254,S004,6838.749068066237,396,7558.37305610722,6.176933464710716,0.22788331691116048,True
Q2-008,U08,C,C-B02,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",9425.34204003191,S005,10800.0,396,11305.387959968091,4.238781800099432,0.47015227498757095,True
Q2-009,U08,C,C-B03,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",93398.88440902834,S006,94607.96072738832,396,94959.7470457483,2.59397203090111,0.6757534961373612,False
Q2-010,U07,C,C-B04,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",480.0,S007,1827.7183196934848,360,2387.5166393869695,3.410630658987098,0.5736711676266127,False
Q2-011,U08,C,C-B02,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",4830.885216066788,S008,6330.612594835304,360,7034.659973603819,5.8575758150825585,0.2678030231146802,False
Q2-012,U05,B,B-B03,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",9708.008619399545,S009,10800.0,240,11268.811380600457,2.1025167724731753,0.4743708068817062,True
Q2-013,U06,B,B-B04,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",98445.40369014631,S010,99530.23851173982,240,100000.0,1.8211113403975845,0.5447221649006039,True
Q2-014,U05,B,B-B01,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",8038.37305610723,S011,8945.377504420043,240,9228.008619399523,1.0771852988708592,0.7307036752822852,True
Q2-015,U06,B,B-B02,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",90994.99507002125,S012,92266.86973952479,240,92918.88440902834,2.7554719231198046,0.31113201922004885,False
Q2-016,U05,B,B-B03,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",2537.24639130423,S013,3600.0,240,4047.6869420291023,1.8246747161043195,0.5438313209739201,False
Q2-017,U06,B,B-B04,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",180.0,S014,1421.8515020115265,240,2048.5896706897183,2.13728360269695,0.46567909932576246,False
Q2-018,U05,B,B-B01,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",5981.746877188005,S015,7200.000000000001,240,7811.373122811997,2.3110443273275134,0.42223891816812165,False
