skeleton_id,service_sequence,edge_count,communication_margin,drone_type
SK-00001,S001,2,inf,C
SK-00002,S002,2,1.322380853485683e-06,C
SK-00003,S003,2,0.2164311732641832,C
SK-00004,S004,2,5.230177638468788,C
SK-00005,S005,2,8.522413817803681,C
SK-00006,S006,2,inf,C
SK-00007,S007,2,9.881076683362563,C
SK-00008,S008,2,4.831365205739842,C
SK-00009,S009,2,2.38354601331298,C
SK-00010,S010,2,3.963477904678413,C
SK-00011,S011,2,inf,C
SK-00012,S012,2,0.0665317100486219,C
SK-00013,S013,2,9.29830404357554,C
SK-00014,S014,2,2.762608774318465,C
SK-00015,S015,2,1.935778272530612,C
SK-00016,S001>S002,3,1.322380853485683e-06,C
SK-00017,S001>S003,3,0.2164311732641832,C
SK-00018,S001>S004,3,5.230177638468788,C
SK-00019,S001>S005,3,8.522413817803681,C
SK-00020,S001>S006,3,inf,C
SK-00021,S001>S007,3,8.723823284435028,C
SK-00022,S001>S008,3,4.831365205739842,C
SK-00023,S001>S009,3,2.38354601331298,C
SK-00024,S001>S010,3,3.963477904678413,C
SK-00025,S001>S011,3,inf,C
SK-00026,S001>S012,3,0.0665317100486219,C
SK-00027,S001>S013,3,9.29830404357554,C
SK-00028,S001>S014,3,2.762608774318465,C
SK-00029,S001>S015,3,1.935778272530612,C
SK-00030,S002>S001,3,1.322380853485683e-06,C
SK-00031,S002>S003,3,1.322380853485683e-06,C
SK-00032,S002>S004,3,1.322380853485683e-06,C
SK-00033,S002>S005,3,1.322380853485683e-06,C
SK-00034,S002>S006,3,1.322380853485683e-06,C
SK-00035,S002>S007,3,1.322380853485683e-06,C
SK-00036,S002>S008,3,1.322380853485683e-06,C
SK-00037,S002>S009,3,1.322380853485683e-06,C
SK-00038,S002>S010,3,1.322380853485683e-06,C
SK-00039,S002>S011,3,1.322380853485683e-06,C
SK-00040,S002>S012,3,1.322380853485683e-06,C
SK-00041,S002>S013,3,1.322380853485683e-06,C
SK-00042,S002>S014,3,1.322380853485683e-06,C
SK-00043,S002>S015,3,1.322380853485683e-06,C
SK-00044,S003>S001,3,0.2164311732641832,C
SK-00045,S003>S002,3,1.322380853485683e-06,C
SK-00046,S003>S004,3,0.2164311732641832,C
SK-00047,S003>S005,3,0.2164311732641832,C
SK-00048,S003>S006,3,0.2164311732641832,C
SK-00049,S003>S007,3,0.2164311732641832,C
SK-00050,S003>S008,3,0.2164311732641832,C
SK-00051,S003>S009,3,0.2164311732641832,C
SK-00052,S003>S010,3,0.2164311732641832,C
SK-00053,S003>S011,3,0.2164311732641832,C
SK-00054,S003>S012,3,0.0665317100486219,C
SK-00055,S003>S013,3,0.2164311732641832,C
SK-00056,S003>S014,3,0.2164311732641832,C
SK-00057,S003>S015,3,0.2164311732641832,C
SK-00058,S004>S001,3,5.230177638468788,C
SK-00059,S004>S002,3,1.322380853485683e-06,C
SK-00060,S004>S003,3,0.2164311732641832,C
SK-00061,S004>S005,3,5.230177638468788,C
SK-00062,S004>S006,3,4.189370740555972,C
SK-00063,S004>S007,3,5.230177638468788,C
SK-00064,S004>S008,3,4.831365205739842,C
SK-00065,S004>S009,3,2.38354601331298,C
SK-00066,S004>S010,3,3.963477904678413,C
SK-00067,S004>S011,3,5.230177638468788,C
SK-00068,S004>S012,3,0.0665317100486219,C
SK-00069,S004>S013,3,5.230177638468788,C
SK-00070,S004>S014,3,2.762608774318465,C
SK-00071,S005>S001,3,8.522413817803681,C
SK-00072,S005>S002,3,1.322380853485683e-06,C
SK-00073,S005>S003,3,0.2164311732641832,C
SK-00074,S005>S004,3,5.230177638468788,C
SK-00075,S005>S006,3,7.267107461609839,C
SK-00076,S005>S007,3,8.522413817803681,C
SK-00077,S005>S008,3,4.831365205739842,C
SK-00078,S005>S009,3,2.38354601331298,C
SK-00079,S005>S010,3,3.963477904678413,C
SK-00080,S005>S011,3,8.522413817803681,C
SK-00081,S005>S012,3,0.0665317100486219,C
SK-00082,S005>S013,3,8.522413817803681,C
SK-00083,S005>S014,3,2.762608774318465,C
SK-00084,S005>S015,3,1.935778272530612,C
SK-00085,S006>S001,3,inf,C
SK-00086,S006>S002,3,1.322380853485683e-06,C
SK-00087,S006>S003,3,0.2164311732641832,C
SK-00088,S006>S004,3,4.189370740555972,C
SK-00089,S006>S005,3,7.267107461609839,C
SK-00090,S006>S007,3,9.881076683362563,C
SK-00091,S006>S008,3,4.831365205739842,C
SK-00092,S006>S009,3,2.38354601331298,C
SK-00093,S006>S010,3,3.963477904678413,C
SK-00094,S006>S011,3,inf,C
SK-00095,S006>S012,3,0.0665317100486219,C
SK-00096,S006>S013,3,5.196647073208851,C
SK-00097,S006>S014,3,2.762608774318465,C
SK-00098,S006>S015,3,1.935778272530612,C
SK-00099,S007>S001,3,8.723823284435028,C
SK-00100,S007>S002,3,1.322380853485683e-06,C
SK-00101,S007>S003,3,0.2164311732641832,C
SK-00102,S007>S004,3,5.230177638468788,C
SK-00103,S007>S005,3,8.522413817803681,C
SK-00104,S007>S006,3,9.881076683362563,C
SK-00105,S007>S008,3,4.831365205739842,C
SK-00106,S007>S009,3,2.38354601331298,C
SK-00107,S007>S010,3,3.963477904678413,C
SK-00108,S007>S011,3,9.881076683362563,C
SK-00109,S007>S012,3,0.0665317100486219,C
SK-00110,S007>S013,3,4.902788506246296,C
SK-00111,S007>S014,3,2.762608774318465,C
SK-00112,S007>S015,3,1.935778272530612,C
SK-00113,S008>S001,3,4.831365205739842,C
SK-00114,S008>S002,3,1.322380853485683e-06,C
SK-00115,S008>S003,3,0.2164311732641832,C
SK-00116,S008>S004,3,4.831365205739842,C
SK-00117,S008>S005,3,4.831365205739842,C
SK-00118,S008>S006,3,4.831365205739842,C
SK-00119,S008>S007,3,4.831365205739842,C
SK-00120,S008>S009,3,2.38354601331298,C
SK-00121,S008>S010,3,3.635742969819845,C
SK-00122,S008>S011,3,4.831365205739842,C
SK-00123,S008>S012,3,0.0665317100486219,C
SK-00124,S008>S013,3,4.831365205739842,C
SK-00125,S008>S014,3,2.18784292202227,C
SK-00126,S008>S015,3,1.935778272530612,C
SK-00127,S009>S001,3,2.38354601331298,C
SK-00128,S009>S002,3,1.322380853485683e-06,C
SK-00129,S009>S003,3,0.2164311732641832,C
SK-00130,S009>S004,3,2.38354601331298,C
SK-00131,S009>S005,3,2.38354601331298,C
SK-00132,S009>S006,3,2.38354601331298,C
SK-00133,S009>S007,3,2.38354601331298,C
SK-00134,S009>S008,3,2.38354601331298,C
SK-00135,S009>S010,3,2.38354601331298,C
SK-00136,S009>S011,3,2.38354601331298,C
SK-00137,S009>S012,3,0.0665317100486219,C
SK-00138,S009>S013,3,2.38354601331298,C
SK-00139,S009>S014,3,2.38354601331298,C
SK-00140,S009>S015,3,1.935778272530612,C
SK-00141,S010>S001,3,3.963477904678413,C
SK-00142,S010>S002,3,1.322380853485683e-06,C
SK-00143,S010>S003,3,0.2164311732641832,C
SK-00144,S010>S004,3,3.963477904678413,C
