sortie,required_start,required_end,service_start,service_end,fully_covered,relay_id
K28-010,1931.9393039835509,2987.9200289123664,1931.9393039835509,2987.9200289123664,True,R01
K28-024,6497.91696914551,7553.897694074325,6497.91696914551,7553.897694074325,True,R01
