rank,seed,x,y,altitude,height_offset,access_margin,backhaul_margin,joint_margin,energy_ok,dem_ok,height_ok,strict_certificate_pass,candidate_evaluations
1,89,109.21744586825119,23.061296307542012,330.2303819725127,104.20064259262989,-0.42624270203127423,0.33760127532386264,-0.42624270203127423,True,True,True,False,1040
2,11,109.2174516354095,23.061297248755036,328.41703502189347,102.38729564201064,-0.4262702792016313,0.33773523623253254,-0.4262702792016313,True,True,True,False,1052
3,37,109.21747563021854,23.061301267741555,324.5019321486491,98.47219276876626,-0.42628317722190445,0.33809822460889905,-0.42628317722190445,True,True,True,False,1040
4,53,109.21741028623148,23.061286410844748,321.4453044713084,95.4155650914256,-0.42632304791611375,0.3383644645277286,-0.42632304791611375,True,True,True,False,1040
5,71,109.21739289959457,23.061286545968997,337.76623018628595,111.73649080640311,-0.42638936494276436,0.3369716074363964,-0.42638936494276436,True,True,True,False,964
6,23,109.21751398073697,23.061311867167774,334.05536504566874,108.02562566578595,-0.4264417365201467,0.3372674588506328,-0.4264417365201467,True,True,True,False,948
