K,group,services,resource,peak_occupancy,peak_time_s,capacity,violates,sorties,interval_start_s,interval_end_s,peak_end_s,schedule_adjustment
3,1,"S001,S004,S007,S010,S013",transport_aircraft_all,2,366.0,8,False,6,0.0,15595.992163399396,,earliest_relay_slot
3,1,"S001,S004,S007,S010,S013",A_aircraft,0,0.0,4,False,0,0.0,15595.992163399396,,earliest_relay_slot
3,1,"S001,S004,S007,S010,S013",A_battery,0,0.0,6,False,0,0.0,15595.992163399396,,earliest_relay_slot
3,1,"S001,S004,S007,S010,S013",B_aircraft,1,6449.661016662187,2,False,2,0.0,15595.992163399396,,earliest_relay_slot
3,1,"S001,S004,S007,S010,S013",B_battery,1,6449.661016662187,4,False,2,0.0,15595.992163399396,,earliest_relay_slot
3,1,"S001,S004,S007,S010,S013",C_aircraft,2,366.0,2,False,4,0.0,15595.992163399396,,earliest_relay_slot
3,1,"S001,S004,S007,S010,S013",C_battery,2,366.0,4,False,4,0.0,15595.992163399396,,earliest_relay_slot
3,1,"S001,S004,S007,S010,S013",relay_aircraft,2,366.0,2,False,2,0.0,15595.992163399396,,earliest_relay_slot
3,1,S001,service_station,1,1248.9016197465805,1,False,2,1248.9016197465805,2148.9016197465808,2148.9016197465808,earliest_relay_slot
3,1,S004,service_station,1,9589.821314556855,1,False,1,9589.821314556855,9985.821314556855,9985.821314556855,earliest_relay_slot
3,1,S007,service_station,1,15036.19384370591,1,False,1,15036.19384370591,15396.19384370591,15396.19384370591,earliest_relay_slot
3,1,S010,service_station,1,7534.495838255696,1,False,1,7534.495838255696,7774.495838255696,7774.495838255696,earliest_relay_slot
3,1,S013,service_station,1,11372.198911293606,1,False,1,11372.198911293606,11612.198911293606,11612.198911293606,earliest_relay_slot
3,2,"S002,S005,S008,S011,S014",transport_aircraft_all,2,11819.885853322708,8,False,6,1561.4332394931612,17581.034724922953,,earliest_relay_slot
3,2,"S002,S005,S008,S011,S014",A_aircraft,0,0.0,4,False,0,1561.4332394931612,17581.034724922953,,earliest_relay_slot
3,2,"S002,S005,S008,S011,S014",A_battery,0,0.0,6,False,0,1561.4332394931612,17581.034724922953,,earliest_relay_slot
3,2,"S002,S005,S008,S011,S014",B_aircraft,1,1561.4332394931612,2,False,3,1561.4332394931612,17581.034724922953,,earliest_relay_slot
3,2,"S002,S005,S008,S011,S014",B_battery,1,1561.4332394931612,4,False,3,1561.4332394931612,17581.034724922953,,earliest_relay_slot
3,2,"S002,S005,S008,S011,S014",C_aircraft,1,3321.35632819093,2,False,3,1561.4332394931612,17581.034724922953,,earliest_relay_slot
3,2,"S002,S005,S008,S011,S014",C_battery,1,3321.35632819093,4,False,3,1561.4332394931612,17581.034724922953,,earliest_relay_slot
3,2,"S002,S005,S008,S011,S014",relay_aircraft,2,11819.885853322708,2,False,2,1561.4332394931612,17581.034724922953,,earliest_relay_slot
3,2,S002,service_station,1,2723.334783842046,1,False,2,2723.334783842046,5206.286914898214,5206.286914898214,earliest_relay_slot
3,2,S005,service_station,1,11481.383125073875,1,False,1,11481.383125073875,11877.383125073875,11877.383125073875,earliest_relay_slot
3,2,S008,service_station,1,16876.987346154438,1,False,1,16876.987346154438,17236.987346154438,17236.987346154438,earliest_relay_slot
3,2,S011,service_station,1,7900.2047111192205,1,False,1,7900.2047111192205,8140.2047111192205,8140.2047111192205,earliest_relay_slot
3,2,S014,service_station,1,13061.737355334235,1,False,1,13061.737355334235,13301.737355334235,13301.737355334235,earliest_relay_slot
3,3,"S003,S006,S009,S012,S015",transport_aircraft_all,2,5432.397501605496,8,False,6,1993.4332394931612,15377.259967385922,,earliest_relay_slot
3,3,"S003,S006,S009,S012,S015",A_aircraft,0,0.0,4,False,0,1993.4332394931612,15377.259967385922,,earliest_relay_slot
3,3,"S003,S006,S009,S012,S015",A_battery,0,0.0,6,False,0,1993.4332394931612,15377.259967385922,,earliest_relay_slot
3,3,"S003,S006,S009,S012,S015",B_aircraft,1,1993.4332394931612,2,False,4,1993.4332394931612,15377.259967385922,,earliest_relay_slot
3,3,"S003,S006,S009,S012,S015",B_battery,1,1993.4332394931612,4,False,4,1993.4332394931612,15377.259967385922,,earliest_relay_slot
3,3,"S003,S006,S009,S012,S015",C_aircraft,1,4013.763105047075,2,False,2,1993.4332394931612,15377.259967385922,,earliest_relay_slot
3,3,"S003,S006,S009,S012,S015",C_battery,1,4013.763105047075,4,False,2,1993.4332394931612,15377.259967385922,,earliest_relay_slot
3,3,"S003,S006,S009,S012,S015",relay_aircraft,2,5432.397501605496,2,False,2,1993.4332394931612,15377.259967385922,,earliest_relay_slot
3,3,S003,service_station,1,3281.5715056034514,1,False,2,3281.5715056034514,6055.172060854631,6055.172060854631,earliest_relay_slot
3,3,S006,service_station,1,13195.847403401947,1,False,1,13195.847403401947,13591.847403401947,13591.847403401947,earliest_relay_slot
3,3,S009,service_station,1,6524.388882205951,1,False,1,6524.388882205951,6764.388882205951,6764.388882205951,earliest_relay_slot
3,3,S012,service_station,1,9454.710495602243,1,False,1,9454.710495602243,9694.710495602243,9694.710495602243,earliest_relay_slot
3,3,S015,service_station,1,14765.886844573928,1,False,1,14765.886844573928,15005.886844573928,15005.886844573928,earliest_relay_slot
