K,group,services,resource,peak_occupancy,peak_time_s,capacity,violates,sorties,interval_start_s,interval_end_s,peak_end_s
3,1,"S001,S004,S007,S010,S013",transport_aircraft_all,2,0.0,8,False,6,0.0,8516.620007576663,
3,1,"S001,S004,S007,S010,S013",A_aircraft,0,0.0,4,False,0,0.0,8516.620007576663,
3,1,"S001,S004,S007,S010,S013",A_battery,0,0.0,6,False,0,0.0,8516.620007576663,
3,1,"S001,S004,S007,S010,S013",B_aircraft,1,2020.3298655539138,2,False,2,0.0,8516.620007576663,
3,1,"S001,S004,S007,S010,S013",B_battery,1,2020.3298655539138,4,False,2,0.0,8516.620007576663,
3,1,"S001,S004,S007,S010,S013",C_aircraft,2,0.0,2,False,4,0.0,8516.620007576663,
3,1,"S001,S004,S007,S010,S013",C_battery,2,0.0,4,False,4,0.0,8516.620007576663,
3,1,"S001,S004,S007,S010,S013",relay_aircraft,2,0.0,2,False,2,0.0,8516.620007576663,
3,1,S001,service_station,2,1314.9016197465805,1,True,2,1248.9016197465805,1782.9016197465805,1782.9016197465805
3,1,S004,service_station,1,5258.03840094871,1,False,1,5258.03840094871,5654.03840094871,5654.03840094871
3,1,S007,service_station,1,7956.821687883178,1,False,1,7956.821687883178,8316.821687883177,8316.821687883177
3,1,S010,service_station,1,3105.1646871474227,1,False,1,3105.1646871474227,3345.1646871474227,3345.1646871474227
3,1,S013,service_station,1,5961.2367266661595,1,False,1,5961.2367266661595,6201.2367266661595,6201.2367266661595
3,2,"S002,S005,S008,S011,S014",transport_aircraft_all,2,1561.4332394931612,8,False,6,0.0,10128.488566108414,
3,2,"S002,S005,S008,S011,S014",A_aircraft,0,0.0,4,False,0,0.0,10128.488566108414,
3,2,"S002,S005,S008,S011,S014",A_battery,0,0.0,6,False,0,0.0,10128.488566108414,
3,2,"S002,S005,S008,S011,S014",B_aircraft,1,0.0,2,False,3,0.0,10128.488566108414,
3,2,"S002,S005,S008,S011,S014",B_battery,1,0.0,4,False,3,0.0,10128.488566108414,
3,2,"S002,S005,S008,S011,S014",C_aircraft,1,1561.4332394931612,2,False,3,0.0,10128.488566108414,
3,2,"S002,S005,S008,S011,S014",C_battery,1,1561.4332394931612,4,False,3,0.0,10128.488566108414,
3,2,"S002,S005,S008,S011,S014",relay_aircraft,2,1561.4332394931612,2,False,2,0.0,10128.488566108414,
3,2,S002,service_station,1,1161.9015443488845,1,False,2,1161.9015443488845,3446.3638262004442,3446.3638262004442
3,2,S005,service_station,1,5437.989111076363,1,False,1,5437.989111076363,5833.989111076363,5833.989111076363
3,2,S008,service_station,1,9424.441187339899,1,False,1,9424.441187339899,9784.441187339899,9784.441187339899
3,2,S011,service_station,1,4360.043283800391,1,False,1,4360.043283800391,4600.043283800391,4600.043283800391
3,2,S014,service_station,1,6902.995012296287,1,False,1,6902.995012296287,7142.995012296287,7142.995012296287
3,3,"S003,S006,S009,S012,S015",transport_aircraft_all,3,1759.923088697769,8,False,6,0.0,8238.549914319254,
3,3,"S003,S006,S009,S012,S015",A_aircraft,0,0.0,4,False,0,0.0,8238.549914319254,
3,3,"S003,S006,S009,S012,S015",A_battery,0,0.0,6,False,0,0.0,8238.549914319254,
3,3,"S003,S006,S009,S012,S015",B_aircraft,2,1759.923088697769,2,False,4,0.0,8238.549914319254,
3,3,"S003,S006,S009,S012,S015",B_battery,2,1759.923088697769,4,False,4,0.0,8238.549914319254,
3,3,"S003,S006,S009,S012,S015",C_aircraft,1,1627.4332394931612,2,False,2,0.0,8238.549914319254,
3,3,"S003,S006,S009,S012,S015",C_battery,1,1627.4332394931612,4,False,2,0.0,8238.549914319254,
3,3,"S003,S006,S009,S012,S015",relay_aircraft,3,1759.923088697769,2,True,3,0.0,8238.549914319254,
3,3,S003,service_station,1,1288.1382661102903,1,False,2,1288.1382661102903,3668.842195300717,3668.842195300717
3,3,S006,service_station,1,7421.394773919925,1,False,1,7421.394773919925,7817.394773919925,7817.394773919925
3,3,S009,service_station,1,2851.9144692982245,1,False,1,2851.9144692982245,3091.9144692982245,3091.9144692982245
3,3,S012,service_station,1,5009.128840781219,1,False,1,5009.128840781219,5249.128840781219,5249.128840781219
3,3,S015,service_station,1,7627.176791507258,1,False,1,7627.176791507258,7867.176791507258,7867.176791507258
