block_id,block_start,block_end,phase,hover_x,hover_y,altitude,height_offset_m,candidate_source,access_margin,backhaul_margin,joint_margin,energy,energy_ok,dem_legal,height_legal,pass
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0557172,394.469482421875,50.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.5980936609386305,1.209320563368621,-2.5980936609386305,0.36807363444983815,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0557172,444.469482421875,100.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.598491599729158,1.205356493324473,-2.598491599729158,0.36923929101010017,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0557172,494.469482421875,150.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6019243441453455,1.20066778907308,-2.6019243441453455,0.3736863396212113,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0557172,544.469482421875,200.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6083847067762775,1.1952567990540217,-2.6083847067762775,0.3781333882323224,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0557172,594.469482421875,250.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.617859196916484,1.1891262261323163,-2.617859196916484,0.3825804368434335,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0557172,644.469482421875,300.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.630328114143097,1.182279123127529,-2.630328114143097,0.38702748545454463,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2175414,23.0557172,367.7016906738281,50.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.653410662762937,1.2535908898951504,-2.653410662762937,0.3666471186598372,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2175414,23.0557172,417.7016906738281,100.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6521984019312868,1.249980497274322,-2.6521984019312868,0.3657251214952169,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2175414,23.0557172,467.7016906738281,150.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6539844698746435,1.2456372738579944,-2.6539844698746435,0.370172170106328,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2175414,23.0557172,517.7016906738281,200.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6587651705925452,1.2405634191365635,-2.6587651705925452,0.37461921871743914,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2175414,23.0557172,567.7016906738281,250.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6665306285603805,1.2347614961112896,-2.6665306285603805,0.37906626732855025,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2175414,23.0557172,617.7016906738281,300.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.677264856556377,1.2282344270033718,-2.677264856556377,0.38351331593966137,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21554139999999,23.0557172,349.7278747558594,50.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.654578791435924,1.1671764731496523,-2.654578791435924,0.3730452456261101,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21554139999999,23.0557172,399.7278747558594,100.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6522889918663424,1.1638967315506221,-2.6522889918663424,0.36859819701499896,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21554139999999,23.0557172,449.7278747558594,150.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6529973335241266,1.1598980208274838,-2.6529973335241266,0.37091634595964174,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21554139999999,23.0557172,499.7278747558594,200.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6567023502494322,1.155182327405754,-2.6567023502494322,0.37536339457075285,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21554139999999,23.0557172,549.7278747558594,250.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6633963822973215,1.1497519884044891,-2.6633963822973215,0.37981044318186397,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21554139999999,23.0557172,599.7278747558594,300.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.6730656290139905,1.1436096877949211,-2.6730656290139905,0.3842574917929751,True,True,True,False
