service_area,direct_full_path_pass,relay_candidate_count,best_access_margin_db,best_backhaul_margin_db,best_joint_margin_db,relay_feasible,failure_reason
S001,True,1,2.21426478860225,2.21426478860225,2.21426478860225,True,NONE
S002,False,1,0.5447995929300475,0.5447995929300475,0.5447995929300475,True,NONE
S003,False,1,1.2162780004942704,1.2162780004942704,1.2162780004942704,True,NONE
S004,False,1,0.6530741398833584,0.6530741398833584,0.6530741398833584,True,NONE
S005,False,1,13.478336839412023,13.478336839412023,13.478336839412023,True,NONE
S006,True,1,1.87401312067432,1.87401312067432,1.87401312067432,True,NONE
S007,False,1,8.788770063020564,8.788770063020564,8.788770063020564,True,NONE
S008,False,1,9.78486023371292,9.78486023371292,9.78486023371292,True,NONE
S009,False,1,12.805818258585177,12.805818258585177,12.805818258585177,True,NONE
S010,False,1,14.282497481999798,14.282497481999798,14.282497481999798,True,NONE
S011,True,1,2.9375453998776067,2.9375453998776067,2.9375453998776067,True,NONE
S012,False,1,1.0582599577330996,1.0582599577330996,1.0582599577330996,True,NONE
S013,False,1,14.192795460128167,14.192795460128167,14.192795460128167,True,NONE
S014,False,1,7.203628135381834,7.203628135381834,7.203628135381834,True,NONE
S015,False,1,2.3447994894224706,2.3447994894224706,2.3447994894224706,True,NONE
