resource,sortie_id,start_s,end_s
transport:U07,K24-001,0.0,1561.4332394931612
battery:C-B01,K24-001,0.0,2943.541609164337
service:S001,K24-001,816.9016197465805,1248.9016197465805
transport:U08,K24-003,0.0,1560.8626367199668
battery:C-B02,K24-003,0.0,2992.269010762781
service:S006,K24-003,813.0763183599829,1209.076318359983
transport:U08,K24-010,1560.8626367199668,3866.0506128019324
battery:C-B03,K24-010,1560.8626367199668,6126.840301881925
service:S004,K24-010,2750.4266247609494,3146.4266247609494
transport:U05,K24-015,0.0,1189.6355632922941
battery:B-B01,K24-015,0.0,2323.0825261363334
service:S011,K24-015,667.0044483128131,907.0044483128131
transport:U07,K24-016,1561.4332394931612,3188.8664789863224
battery:C-B04,K24-016,1561.4332394931612,4649.564776515875
service:S001,K24-016,2408.3348592397415,2876.3348592397415
transport:U07,K24-017,3188.8664789863224,4816.299718479484
battery:C-B01,K24-017,3188.8664789863224,6213.212419442175
service:S001,K24-017,4035.768098732903,4503.768098732903
transport:U08,K24-018,3866.0506128019324,5427.483852295094
battery:C-B02,K24-018,3866.0506128019324,6914.1225740121645
service:S001,K24-018,4682.952232548513,5114.952232548513
transport:U07,K24-022,4816.299718479484,7121.48769456145
battery:C-B04,K24-022,4816.299718479484,9366.090838061271
service:S004,K24-022,6005.863706520467,6401.863706520467
transport:U08,K24-024,6126.840301881925,7687.702938601892
battery:C-B03,K24-024,6126.840301881925,9112.070330859802
service:S006,K24-024,6939.916620241908,7335.916620241908
relay:R01,K24-010,1258.9426082713912,3776.1528744350576
relay:R01,K24-022,4514.379690030908,7031.589956194574
relay_component:R-E01,K24-010,1258.9426082713912,3476.1528744350576
relay_component:R-E01,K24-010,3476.1528744350576,4218.695350497122
relay_component:R-E02,K24-022,4514.379690030908,6731.589956194574
relay_component:R-E02,K24-022,6731.589956194574,7474.132432256638
