interval_id,t_start,t_end,phase,start_xyz,end_xyz,crossed_dem_cells,partition_reason
31,80.45615080910534,81.5870021727149,cruise,"[11179824.045801658, 2558737.7900238843, 273.0566101074219]","[11179831.061913343, 2558753.2337850276, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
32,81.5870021727149,82.71785353632447,cruise,"[11179831.061913343, 2558753.2337850276, 273.0566101074219]","[11179838.078025032, 2558768.6775461715, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
33,82.71785353632447,82.88029174168346,cruise,"[11179838.078025032, 2558768.6775461715, 273.0566101074219]","[11179839.085836165, 2558770.8959251065, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
34,82.88029174168346,83.04272994704246,cruise,"[11179839.085836165, 2558770.8959251065, 273.0566101074219]","[11179840.093647294, 2558773.1143040424, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
35,83.04272994704246,84.01114310527856,cruise,"[11179840.093647294, 2558773.1143040424, 273.0566101074219]","[11179846.101947851, 2558786.33968625, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
36,84.01114310527856,84.97955626351467,cruise,"[11179846.101947851, 2558786.33968625, 273.0566101074219]","[11179852.11024841, 2558799.565068458, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
37,84.97955626351467,86.1104076271387,cruise,"[11179852.11024841, 2558799.565068458, 273.0566101074219]","[11179859.126360098, 2558815.008829602, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
38,86.1104076271387,87.24125899076273,cruise,"[11179859.126360098, 2558815.008829602, 273.0566101074219]","[11179866.142471785, 2558830.452590746, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
39,87.24125899076273,87.43318289256412,cruise,"[11179866.142471785, 2558830.452590746, 273.0566101074219]","[11179867.333220256, 2558833.073648643, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
40,87.43318289256412,87.62510679436552,cruise,"[11179867.333220256, 2558833.073648643, 273.0566101074219]","[11179868.523968725, 2558835.69470654, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
41,87.62510679436552,88.56403425615922,cruise,"[11179868.523968725, 2558835.69470654, 273.0566101074219]","[11179874.349331941, 2558848.5174097866, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
