box_id,service,hard_deadline,fastest_aircraft,minimum_transport_time,minimum_relay_ready_time,earliest_possible_delivery,slack,theoretically_possible
S003-MED-01,S003,7200.0,B,1228.1382661102903,210.0,1228.1382661102903,5971.861733889709,True
S003-WAT-01,S003,7200.0,B,1228.1382661102903,210.0,1228.1382661102903,5971.861733889709,True
S004-MED-01,S004,7200.0,B,1184.5341269976884,210.0,1184.5341269976884,6015.465873002311,True
S004-WAT-01,S004,7200.0,B,1184.5341269976884,210.0,1184.5341269976884,6015.465873002311,True
S005-MED-01,S005,10800.0,B,982.2694785227775,210.0,982.2694785227775,9817.730521477222,True
S005-WAT-01,S005,10800.0,B,982.2694785227775,210.0,982.2694785227775,9817.730521477222,True
S007-MED-01,S007,3600.0,B,1005.7527905186801,210.0,1005.7527905186801,2594.24720948132,True
S007-WAT-01,S007,3600.0,B,1005.7527905186801,210.0,1005.7527905186801,2594.24720948132,True
S008-MED-01,S008,7200.0,B,1173.1791567226169,210.0,1173.1791567226169,6026.820843277383,True
S008-WAT-01,S008,7200.0,B,1173.1791567226169,210.0,1173.1791567226169,6026.820843277383,True
S009-MED-01,S009,10800.0,B,971.9913806004556,210.0,971.9913806004556,9828.008619399545,True
S009-WAT-01,S009,10800.0,B,971.9913806004556,210.0,971.9913806004556,9828.008619399545,True
S010-MED-01,S010,3600.0,B,964.8348215935089,210.0,964.8348215935089,2635.165178406491,True
S010-WAT-01,S010,3600.0,B,964.8348215935089,210.0,964.8348215935089,2635.165178406491,True
S011-MED-01,S011,10800.0,B,787.0044483128136,210.0,787.0044483128136,10012.995551687187,True
S011-WAT-01,S011,10800.0,B,787.0044483128136,210.0,787.0044483128136,10012.995551687187,True
S012-MED-01,S012,3600.0,B,1151.8746695035416,210.0,1151.8746695035416,2448.1253304964584,True
S012-WAT-01,S012,3600.0,B,1151.8746695035416,210.0,1151.8746695035416,2448.1253304964584,True
S013-MED-01,S013,3600.0,B,942.7536086957696,210.0,942.7536086957696,2657.24639130423,True
S013-WAT-01,S013,3600.0,B,942.7536086957696,210.0,942.7536086957696,2657.24639130423,True
S014-MED-01,S014,3600.0,B,1121.851502011526,210.0,1121.851502011526,2478.148497988474,True
S014-WAT-01,S014,3600.0,B,1121.851502011526,210.0,1121.851502011526,2478.148497988474,True
S015-MED-01,S015,7200.0,B,1098.2531228119958,210.0,1098.2531228119958,6101.746877188004,True
S015-WAT-01,S015,10800.0,B,1098.2531228119958,210.0,1098.2531228119958,9701.746877188005,True
