K,hard_violation_boxes,hard_violation_sorties,soft_late_boxes,soft_total_lateness_s,soft_max_lateness_s,weighted_timeliness_penalty,hard_feasible,proven_optimal
19,0,0,6,25505.98609375136,5619.8827108106,25505.98609375136,True,False
20,0,0,10,53151.00304628488,7368.630281696709,53151.00304628488,True,False
21,0,0,13,63349.00460055936,7677.652597550203,63349.00460055936,True,False
22,0,0,14,66499.73290533051,8513.483952754483,66499.73290533051,True,False
23,0,0,16,73128.11062196127,9341.377449353007,73128.11062196127,True,False
24,0,0,19,85378.32511120327,10422.671928836447,85378.32511120327,True,False
25,0,0,22,113139.61842774284,11366.168857465946,113139.61842774284,True,False
26,0,0,25,126880.0941193274,11366.168857465946,126880.0941193274,True,False
27,0,0,28,157191.0854221301,12616.174421330423,157191.0854221301,True,False
