sortie,required_start,required_end,prepare_start,link_ready,outbound_flight_s,fully_covered,service_start,service_end,relay_id
Q2-003,19747.044008621637,20488.969552928942,19379.937562506402,19747.044008621637,157.1064461152331,True,19747.044008621637,20488.969552928942,R02
Q2-004,545.0405806667713,1487.875167332759,177.93413455153825,545.0405806667713,157.1064461152331,True,545.0405806667713,1487.875167332759,R02
Q2-005,20730.75462154013,21548.875225465552,20349.15542946316,20730.75462154013,171.59919207697033,True,20730.75462154013,21548.875225465552,R01
Q2-006,8872.90750554529,9914.245465834681,8491.30831346832,8872.90750554529,171.59919207697033,True,8872.90750554529,9914.245465834681,R01
Q2-007,10432.113489761865,11488.094214690607,9759.116794049705,10432.113489761865,462.9966957121597,True,10432.113489761865,11488.094214690607,R02
Q2-008,14439.076035609985,15135.109607346561,14112.271053827166,14439.076035609985,116.80498178282028,True,14439.076035609985,15135.109607346561,R01
Q2-010,3246.5088721673615,3834.6627965438406,2820.743983560739,3246.5088721673615,215.7648886066226,True,3246.5088721673615,3834.6627965438406,R02
Q2-011,11744.363264992115,12751.351856130806,11357.966422131032,11744.363264992115,176.39684286108212,True,11744.363264992115,12751.351856130806,R01
Q2-012,15534.597780937373,16056.8718078486,15194.987960943929,15534.597780937373,129.6098199934441,True,15534.597780937373,16056.8718078486,R02
Q2-013,4717.360976523296,5131.297983380482,4373.060038713094,4717.360976523296,134.30093781020182,True,4717.360976523296,5131.297983380482,R01
Q2-015,5606.354366543971,6405.610531741316,5238.63576254294,5606.354366543971,157.71860400103105,True,5606.354366543971,6405.610531741316,R02
Q2-016,6769.768448158733,7166.357686451105,6432.335873519898,6769.768448158733,127.43257463883462,True,6769.768448158733,7166.357686451105,R01
Q2-017,8099.23309834637,8713.301050114167,7601.993151580453,8099.23309834637,287.2399467659172,True,8099.23309834637,8713.301050114167,R02
Q2-018,13285.957280906769,13876.511944853086,12929.759055542358,13285.957280906769,146.19822536441077,True,13285.957280906769,13876.511944853086,R02
