sortie,transport_start,transport_return,relay_departure,relay_service_start,relay_service_end,relay_return,relay_busy_end,relay_prep_s,relay_link_s,relay_turn_s,relay_energy_component_charge_separate
Q2-001,180.0,1741.4332394931612,0.0,180.0,1741.4332394931612,1741.4332394931612,2041.4332394931612,180,30,300,False
Q2-002,17916.6868891723,19544.12012866546,17736.6868891723,17916.6868891723,19544.12012866546,19544.12012866546,19844.12012866546,180,30,300,False
Q2-002,17046.653805405203,18674.087044898366,16866.653805405203,17046.653805405203,18674.087044898366,18674.087044898366,18974.087044898366,180,30,300,False
Q2-003,19154.087044898366,20914.010133596134,18974.087044898366,19154.087044898366,20914.010133596134,20914.010133596134,21214.010133596134,180,30,300,False
Q2-004,180.0,2291.041173414566,0.0,180.0,2291.041173414566,2291.041173414566,2591.041173414566,180,30,300,False
Q2-005,20024.12012866546,22044.449994219376,19844.12012866546,20024.12012866546,22044.449994219376,22044.449994219376,22344.449994219376,180,30,300,False
Q2-006,8287.332736791685,10723.230648406796,8107.3327367916845,8287.332736791685,10723.230648406796,10723.230648406796,11023.230648406796,180,30,300,False
Q2-007,9911.036822498336,12216.2247985803,9731.036822498336,9911.036822498336,12216.2247985803,12216.2247985803,12516.2247985803,180,30,300,False
Q2-008,13887.005405943826,15767.051325880006,13707.005405943826,13887.005405943826,15767.051325880006,15767.051325880006,16067.051325880006,180,30,300,False
Q2-009,2221.433239493161,3782.295876213128,2041.4332394931612,2221.433239493161,3782.295876213128,3782.295876213128,4082.295876213128,180,30,300,False
Q2-010,2771.041173414566,4678.557812801535,2591.041173414566,2771.041173414566,4678.557812801535,4678.557812801535,4978.557812801535,180,30,300,False
Q2-011,11203.230648406796,13407.005405943826,11023.230648406796,11203.230648406796,13407.005405943826,13407.005405943826,13707.005405943826,180,30,300,False
Q2-012,15005.851044204293,16566.653805405203,14825.851044204293,15005.851044204293,16566.653805405203,16566.653805405203,16866.653805405203,180,30,300,False
Q2-013,4262.2958762131275,5816.892186066812,4082.2958762131275,4262.2958762131275,5816.892186066812,5816.892186066812,6116.892186066812,180,30,300,False
Q2-014,16247.051325880006,17436.6868891723,16067.051325880006,16247.051325880006,17436.6868891723,17436.6868891723,17736.6868891723,180,30,300,False
Q2-015,5158.557812801535,7082.447151808618,4978.557812801535,5158.557812801535,7082.447151808618,7082.447151808618,7382.447151808618,180,30,300,False
Q2-016,6296.892186066812,7807.3327367916845,6116.892186066812,6296.892186066812,7807.3327367916845,7807.3327367916845,8107.3327367916845,180,30,300,False
Q2-017,7562.447151808618,9431.036822498336,7382.447151808618,7562.447151808618,9431.036822498336,9431.036822498336,9731.036822498336,180,30,300,False
Q2-018,12696.2247985803,14525.851044204293,12516.2247985803,12696.2247985803,14525.851044204293,14525.851044204293,14825.851044204293,180,30,300,False
