from_node,to_node,drone_type,coarse_margin,refined_margin,best_access_margin,best_backhaul_margin,best_x,best_y,best_altitude,binding_time,binding_phase,communication_edge_possible
O01,S008,B,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,931.7364440917969,cruise,False
S001,S008,B,-0.07712024304356646,-0.07712024304356646,2.222682285032718,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,1049.2345748653956,cruise,False
S005,S008,B,-0.07712024304356646,-0.07712024304356646,1.7514343925212614,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,1039.531868659496,cruise,False
S004,S008,B,-0.07712024304356646,-0.07712024304356646,1.2137471942180298,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,1197.378625695605,cruise,False
S007,S008,B,-0.07712024304356646,-0.07712024304356646,-0.006730100242009485,-0.00689567869108032,109.22272777777778,23.064405555555556,386.62493896484375,1323.9420282954345,cruise,False
S008,O01,B,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,931.7364440917969,cruise,False
S008,S001,B,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,931.7364440917969,cruise,False
S008,S005,B,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,931.7364440917969,cruise,False
S008,S004,B,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,931.7364440917969,cruise,False
S008,S007,B,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,931.7364440917969,cruise,False
O01,S008,C,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,948.0837329101562,cruise,False
S001,S008,C,-0.07712024304356646,-0.07712024304356646,2.222682285032718,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,1080.016487910643,cruise,False
S005,S008,C,-0.07712024304356646,-0.07712024304356646,1.7514343925212614,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,1077.3728281321523,cruise,False
S004,S008,C,-0.07712024304356646,-0.07712024304356646,1.2137471942180298,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,1242.9773864784827,cruise,False
S007,S008,C,-0.07712024304356646,-0.07712024304356646,-0.006730100242009485,-0.00689567869108032,109.22272777777778,23.064405555555556,386.62493896484375,1386.4568576004474,cruise,False
S008,O01,C,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,948.0837329101562,cruise,False
S008,S001,C,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,948.0837329101562,cruise,False
S008,S005,C,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,948.0837329101562,cruise,False
S008,S004,C,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,948.0837329101562,cruise,False
S008,S007,C,-0.07712024304356646,-0.07712024304356646,1.452832463134186,-0.004294948617328487,109.22277777777778,23.064405555555556,352.62493896484375,948.0837329101562,cruise,False
