sortie_id,service_area,relay_id,direct_feasible,relay_needed,relay_feasible,certification_pass,all_path_pixels_certified,min_clearance_m,min_link_margin_db,segment1_pixels,segment2_pixels,total_distance_m,relay_fraction,relay_height_offset_m
Q2-001,S001,R02,False,True,True,True,True,18.974459838867176,9.165491441244,137,139,3079.0476067661275,0.5,200.0
Q2-002,S001,R01,False,True,True,True,True,18.974459838867176,9.165491441244,137,139,3079.0476067661275,0.5,200.0
Q2-003,S002,R01,False,True,True,True,True,18.178301250349307,7.504235790112659,163,487,7447.80311390481,0.25,200.0
Q2-004,S002,R02,False,True,True,True,True,18.178301250349307,7.504235790112659,163,487,7447.80311390481,0.25,200.0
Q2-005,S003,R02,False,True,True,True,True,3.4349339425986045,1.6932166243123845,341,339,7283.382854852758,0.5,100.0
Q2-006,S003,R02,False,True,True,True,True,3.4349339425986045,1.6932166243123845,341,339,7283.382854852758,0.5,100.0
Q2-007,S004,R02,False,True,True,True,True,11.0593126423679,1.1669205098032194,277,279,7753.823189225826,0.5,200.0
Q2-008,S005,R01,False,True,True,True,True,6.639010301426367,10.478336839412025,91,275,5306.0455676868505,0.25,100.0
Q2-009,S006,R01,False,True,True,True,True,18.974459838867176,14.747591227785492,61,175,3198.9794604865992,0.25,100.0
Q2-010,S007,R01,False,True,True,True,True,16.00218849170355,2.253844766591825,321,109,4558.620051414719,0.75,100.0
Q2-011,S008,R01,False,True,True,True,True,13.614377470447778,6.784860233712919,163,483,8115.247379897511,0.25,100.0
Q2-012,S009,R02,False,True,True,True,True,3.0446783157242407,9.805818258585177,129,381,5727.652614768382,0.25,100.0
Q2-013,S010,R01,False,True,True,True,True,2.478950800202938,11.282497481999798,103,307,4796.065245118359,0.25,100.0
Q2-014,S011,R02,False,True,True,True,True,6.523190306337824,9.931195318460496,125,125,2823.5571229367324,0.5,100.0
Q2-015,S012,R01,False,True,True,True,True,17.08242182631065,7.543699700767817,179,533,7411.824350476012,0.25,200.0
Q2-016,S013,R01,False,True,True,True,True,12.705417572507429,11.192795460128169,117,343,4861.262152001901,0.25,100.0
Q2-017,S014,R02,False,True,True,True,True,5.528085231438496,4.203628135381834,205,205,5441.65286900822,0.5,200.0
Q2-018,S015,R01,False,True,True,True,True,4.964872174212303,3.2901091785171275,287,289,6048.925226244266,0.5,300.0
