sortie,required_start,required_end,service_start,service_end,fully_covered,relay_id
K27-010,1931.9393039835509,2987.9200289123664,1931.9393039835509,2987.9200289123664,True,R01
K27-023,5187.376385743068,6243.357110671884,5187.376385743068,6243.357110671883,True,R01
