scenario,resource,task_id,start_s,end_s,event
FEASIBILITY_RESTORED_0P1DB,relay:R01,SENS19-011,5123.208873982598,8624.135788057734,busy
FEASIBILITY_RESTORED_0P1DB,relay_component:C01,SENS19-011,5123.208873982598,8324.135788057734,use
FEASIBILITY_RESTORED_0P1DB,relay_component:C01,SENS19-011,8324.135788057734,9066.135788057734,charge
