block_id,block_start,block_end,relay_id,prepare_start,link_ready,service_start,service_end,return_end,turnaround_end,relay_component_id,joint_margin,pass
1,1024.834675770496,1381.3845231845694,R01,374.0637222725075,1024.834675770496,1024.834675770496,1381.3845231845694,1844.3862668843808,2144.386266884381,C01,-2.5980936609386305,False
2,1381.3845231845694,1452.3927751376943,R02,587.1484651602735,1381.3845231845694,1381.3845231845694,1452.3927751376943,2056.980625561079,2356.980625561079,C02,-1.952627842330756,False
3,1632.3927751376943,1673.1965080478506,R01,838.1567171133985,1632.3927751376943,1632.3927751376943,1673.1965080478506,2277.784358471235,2577.784358471235,C03,-1.952627842330756,False
4,1673.1965080478506,2213.8206162837455,R02,1128.7975626210982,1673.1965080478506,1673.1965080478506,2213.8206162837455,2569.579380232633,2869.579380232633,C04,-6.213629794260157,False
