K,task_id,service,type,start_time,box_count,transport_feasible,reserve_ok,hard_deadline_ok,communication_ok,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,failure_stage
23,K23-001,S001,C,0.0,3,True,True,True,True,True,True,True,2.026216295691595,0.0,
23,K23-002,S002,C,0.0,6,True,True,True,False,False,False,False,6.300810064128651,,COMMUNICATION
23,K23-003,S006,C,1117.426741156066,3,True,True,True,True,True,True,True,2.208275454968606,0.0,
23,K23-004,S007,C,1931.0081198540017,5,True,True,True,True,True,True,True,3.4104712440466476,,
23,K23-005,S010,B,0.0,3,True,True,True,True,True,True,True,1.8210597626592548,,
23,K23-006,S012,B,0.0,3,True,True,True,False,False,False,False,2.7552834541257063,,COMMUNICATION
23,K23-007,S013,B,1404.5722402424637,3,True,True,True,True,True,True,True,1.8245898337241249,,
23,K23-008,S014,B,1773.8013868098371,3,True,True,True,True,True,True,True,2.137302418928596,,
23,K23-009,S003,C,2499.5269879058733,6,True,True,True,False,False,False,False,6.322449445036911,,COMMUNICATION
23,K23-010,S004,C,3731.6985629389765,3,True,True,True,True,False,False,False,5.270596612811326,,RELAY_RESOURCE
23,K23-011,S008,C,4755.337838947178,5,True,True,True,True,True,True,True,5.8575071774605485,,
23,K23-012,S015,B,2860.3648040614744,3,True,True,True,True,True,True,True,2.3109325730264962,,
23,K23-013,S005,C,5658.884053866068,3,True,True,True,True,True,True,True,3.6169554592402924,,
23,K23-014,S009,B,3634.4242169309764,3,True,True,True,True,False,False,False,2.102467541986173,,RELAY_RESOURCE
23,K23-015,S011,B,4539.938897678325,3,True,True,True,True,True,True,True,1.0771751008081385,0.0,
23,K23-016,S001,C,7301.001230311342,4,True,True,True,True,True,True,True,2.316394490860985,0.0,
23,K23-017,S001,C,7919.670636502468,4,True,True,True,True,True,True,True,2.080878441998727,0.0,
23,K23-018,S001,C,8973.855107794468,4,True,True,True,True,True,True,True,2.412174518630284,0.0,
23,K23-019,S002,B,5085.230886610049,2,True,True,True,False,False,False,False,2.3686578173796686,,COMMUNICATION
23,K23-020,S003,B,6208.00967932314,2,True,True,True,False,False,False,False,2.4234849163747043,,COMMUNICATION
23,K23-021,S004,C,9198.839252228338,3,True,True,True,True,False,False,False,5.21083090605377,,RELAY_RESOURCE
23,K23-022,S005,C,10157.281848950535,3,True,True,True,True,True,True,True,3.5758914880220316,,
23,K23-023,S006,C,11126.024743155429,3,True,True,True,True,True,True,True,2.182285368378188,0.0,
