x,y,altitude,AGL,terrain_elevation_m,access_margin,backhaul_margin,joint_margin,block_id,interval_start,interval_end,dem_legal,height_legal,candidate_source
109.22179944999999,23.044010399999998,334.017822265625,50.0,284.017822265625,-6.213996717251305,3.7772427522087213,-6.213996717251305,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.044010399999998,384.017822265625,100.0,284.017822265625,-6.213629794260157,3.771676167306211,-6.213629794260157,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.044010399999998,434.017822265625,150.0,284.017822265625,-6.214583480369981,3.7648023227926473,-6.214583480369981,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.044010399999998,484.017822265625,200.0,284.017822265625,-6.216856905958593,3.756627427440236,-6.216856905958593,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.044010399999998,534.017822265625,250.0,284.017822265625,-6.220447999790181,3.747158835384454,-6.220447999790181,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.044010399999998,584.017822265625,300.0,284.017822265625,-6.225353495297782,3.7364050242582323,-6.225353495297782,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22279945,23.044010399999998,322.18914794921875,50.0,272.18914794921875,-6.26681230230777,3.8258680613279523,-6.26681230230777,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22279945,23.044010399999998,372.18914794921875,100.0,272.18914794921875,-6.266141131282907,3.82055374828154,-6.266141131282907,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22279945,23.044010399999998,422.18914794921875,150.0,272.18914794921875,-6.266774718471737,3.8139165937494397,-6.266774718471737,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22279945,23.044010399999998,472.18914794921875,200.0,272.18914794921875,-6.268712493022463,3.8059626633362313,-6.268712493022463,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22279945,23.044010399999998,522.1891479492188,250.0,272.18914794921875,-6.271952710236633,3.796699197580935,-6.271952710236633,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22279945,23.044010399999998,572.1891479492188,300.0,272.18914794921875,-6.276492456799943,3.7861345901616517,-6.276492456799943,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22079944999999,23.044010399999998,337.6640625,50.0,287.6640625,-6.26646516991471,3.7244517008583244,-6.26646516991471,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22079944999999,23.044010399999998,387.6640625,100.0,287.6640625,-6.266197809538113,3.7188574996110333,-6.266197809538113,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22079944999999,23.044010399999998,437.6640625,150.0,287.6640625,-6.267235156301126,3.711972004118863,-6.267235156301126,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22079944999999,23.044010399999998,487.6640625,200.0,287.6640625,-6.269576275700828,3.703801357977426,-6.269576275700828,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22079944999999,23.044010399999998,537.6640625,250.0,287.6640625,-6.273219060631888,3.694352822017791,-6.273219060631888,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22079944999999,23.044010399999998,587.6640625,300.0,287.6640625,-6.278160237700206,3.683634752982627,-6.278160237700206,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.0450104,288.73394775390625,50.0,238.73394775390625,-6.444385558615821,3.5524082445323586,-6.444385558615821,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.0450104,338.73394775390625,100.0,238.73394775390625,-6.442903097030239,3.548254528421765,-6.442903097030239,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.0450104,388.73394775390625,150.0,238.73394775390625,-6.442673189998729,3.5428558893990356,-6.442673189998729,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.0450104,438.73394775390625,200.0,238.73394775390625,-6.443696036432414,3.536216969106789,-6.443696036432414,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.0450104,488.73394775390625,250.0,238.73394775390625,-6.445970751572645,3.5283434571245067,-6.445970751572645,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.0450104,538.7339477539062,300.0,238.73394775390625,-6.449495369540273,3.5192420748128797,-6.449495369540273,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.043010399999996,287.2444610595703,50.0,237.2444610595703,-6.44444892257826,4.015841402270027,-6.44444892257826,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.043010399999996,337.2444610595703,100.0,237.2444610595703,-6.442929162023461,4.011261616186786,-6.442929162023461,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.043010399999996,387.2444610595703,150.0,237.2444610595703,-6.44266193347336,4.0052974186494765,-6.44266193347336,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.043010399999996,437.2444610595703,200.0,237.2444610595703,-6.443647468128006,3.997954511909896,-6.443647468128006,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.043010399999996,487.2444610595703,250.0,237.2444610595703,-6.445884913489635,3.9892398913190164,-6.445884913489635,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22179944999999,23.043010399999996,537.2444610595703,300.0,237.2444610595703,-6.449372335818964,3.9791618232600428,-6.449372335818964,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.046010399999997,315.5802917480469,50.0,265.5802917480469,-6.585778640557919,3.408189137252208,-6.585778640557919,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.046010399999997,365.5802917480469,100.0,265.5802917480469,-6.584994740059173,3.4035216819346203,-6.584994740059173,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.046010399999997,415.5802917480469,150.0,265.5802917480469,-6.585423235323617,3.3976514171297794,-6.585423235323617,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.046010399999997,465.5802917480469,200.0,265.5802917480469,-6.587063767588305,3.3905832204260804,-6.587063767588305,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.046010399999997,515.5802917480469,250.0,265.5802917480469,-6.589914964060398,3.3823229443858054,-6.589914964060398,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.046010399999997,565.5802917480469,300.0,265.5802917480469,-6.5939744417428585,3.3728774005039526,-6.5939744417428585,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.046010399999997,328.43609619140625,50.0,278.43609619140625,-6.76561246663708,3.2272548532271657,-6.76561246663708,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.046010399999997,378.43609619140625,100.0,278.43609619140625,-6.765159458161705,3.2224795166595044,-6.765159458161705,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.046010399999997,428.43609619140625,150.0,278.43609619140625,-6.765869585300109,3.2165509417005893,-6.765869585300109,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.046010399999997,478.43609619140625,200.0,278.43609619140625,-6.7677422776868355,3.209473851965967,-6.7677422776868355,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.046010399999997,528.4360961914062,250.0,278.43609619140625,-6.770776032241088,3.2012538664805845,-6.770776032241088,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.046010399999997,578.4360961914062,300.0,278.43609619140625,-6.774968417184098,3.191897484914847,-6.774968417184098,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.0420104,290.8064270019531,50.0,240.80642700195312,-6.766720294817674,4.356696143967582,-6.766720294817674,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.0420104,340.8064270019531,100.0,240.80642700195312,-6.765392107351104,4.351635478041132,-6.765392107351104,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.0420104,390.8064270019531,150.0,240.80642700195312,-6.765226868613368,4.345078391581126,-6.765226868613368,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.0420104,440.8064270019531,200.0,240.80642700195312,-6.766224711336818,4.33703166100824,-6.766224711336818,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.0420104,490.8064270019531,250.0,240.80642700195312,-6.768384834157274,4.3275035696462965,-6.768384834157274,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.22379944999999,23.0420104,540.8064270019531,300.0,240.80642700195312,-6.7717055037578575,4.316503879508119,-6.7717055037578575,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.0420104,343.29559326171875,50.0,293.29559326171875,-6.58519437367417,4.128917397366635,-6.58519437367417,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.0420104,393.29559326171875,100.0,293.29559326171875,-6.585082495344096,4.122616820707037,-6.585082495344096,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.0420104,443.29559326171875,150.0,293.29559326171875,-6.586182939296307,4.11490062330671,-6.586182939296307,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.0420104,493.29559326171875,200.0,293.29559326171875,-6.588494784380202,4.1057763536429945,-6.588494784380202,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
109.21979945,23.0420104,543.2955932617188,250.0,293.29559326171875,-6.592016097188022,4.095252897344864,-6.592016097188022,1,411.7364440917969,952.3754238124606,True,True,frozen_pipeline_9_xy_offsets_x_6_agl
