component_id,energy_kwh,soc_start,soc_end,reserve_fraction,reserve_ok,available_before_task_s,resource_available_ok,use_start_s,use_end_s,charge_start_s,charge_end_s,available_again_s,full_charge_s,inventory,status,use_start,use_end,soc_before,soc_after,charge_start,charge_end,next_available_time
C01,0.36807363444983815,1.0,0.8849769892344256,0.2,True,0.0,True,374.0637222725075,1844.3862668843808,1844.3862668843808,2493.9161808796275,2493.9161808796275,1800.0,6,,374.0637222725075,1844.3862668843808,1.0,0.8849769892344256,1844.3862668843808,2493.9161808796275,2493.9161808796275
C02,0.37767258816555693,1.0,0.8819773161982635,0.2,True,0.0,True,587.1484651602735,2056.980625561079,2056.980625561079,2710.4101145033364,2710.4101145033364,1800.0,6,,587.1484651602735,2056.980625561079,1.0,0.8819773161982635,2056.980625561079,2710.4101145033364,2710.4101145033364
C03,0.36844342956909426,1.0,0.8848614282596581,0.2,True,0.0,True,838.1567171133985,2277.784358471235,2277.784358471235,2927.4645017336798,2927.4645017336798,1800.0,6,,838.1567171133985,2277.784358471235,1.0,0.8848614282596581,2277.784358471235,2927.4645017336798,2927.4645017336798
C04,0.3606919745708208,1.0,0.8872837579466185,0.2,True,0.0,True,1128.7975626210982,2569.579380232633,2569.579380232633,3216.110494902029,3216.110494902029,1800.0,6,,1128.7975626210982,2569.579380232633,1.0,0.8872837579466185,2569.579380232633,3216.110494902029,3216.110494902029
C05,0.0,1.0,1.0,0.2,True,0.0,True,,,,,0.0,1800.0,6,UNUSED,,,1.0,1.0,,,0.0
C06,0.0,1.0,1.0,0.2,True,0.0,True,,,,,0.0,1800.0,6,UNUSED,,,1.0,1.0,,,0.0
