plan,K,hard_violation_boxes,soft_late_boxes,soft_total_lateness_s,soft_max_lateness_s,makespan_s,transport_energy_kwh,relay_energy_kwh,relay_peak,communication_feasible
Q2_K19_frozen,19,0,6,25505.986,5619.883,10825.759,61.047,,,False
Q3_K19_R2_stageA,19,24,40,220495.21264493722,14497.55542515179,21780.449994219372,61.04704641755705,2.230641583058161,2.0,False
