service_area,candidate_rank,x,y,altitude,ground,height_offset_m,access_margin,backhaul_margin,joint_margin,relay_energy_ok,dem_legal,height_legal,valid_legal,source
S002,1,109.25116518,23.055842406666667,255.50328063964844,230.50328063964844,25.0,0.9371718265418992,0.889490729305848,0.889490729305848,True,True,False,False,local_refine
S002,2,109.25116518,23.055842406666667,280.50328063964844,230.50328063964844,50.0,0.9359872139953324,0.8886753445782603,0.8886753445782603,True,True,True,True,local_refine
S002,3,109.25116518,23.055842406666667,305.50328063964844,230.50328063964844,75.0,0.9309541718481,0.8876907203428601,0.8876907203428601,True,True,True,True,local_refine
S002,4,109.25116518,23.055842406666667,330.50328063964844,230.50328063964844,100.0,0.9242184199837736,0.8865369717178311,0.8865369717178311,True,True,True,True,local_refine
S002,5,109.25116518,23.055842406666667,355.50328063964844,230.50328063964844,125.0,0.915787877141696,0.8852142335172317,0.8852142335172317,True,True,True,True,local_refine
S002,6,109.25116518,23.055842406666667,380.5032806396485,230.50328063964844,150.00000000000006,0.9056724141999696,0.8837226601985151,0.8837226601985151,True,True,True,True,local_refine
S002,7,109.25116518,23.055842406666667,405.5032806396485,230.50328063964844,175.00000000000006,0.8938838159286746,0.8820624258025305,0.8820624258025305,True,True,True,True,local_refine
S002,8,109.25116518,23.055842406666667,430.5032806396485,230.50328063964844,200.00000000000006,0.8804357356856372,0.8802337238859792,0.8802337238859792,True,True,True,True,local_refine
S002,9,109.25282470857144,23.055314254285715,217.2687225341797,192.2687225341797,25.0,0.9782079063512868,0.8741189347080223,0.8741189347080223,True,True,False,False,local_refine
S002,10,109.25282470857144,23.055314254285715,242.2687225341797,192.2687225341797,50.0,0.983689634372496,0.8735646426564188,0.8735646426564188,True,True,True,True,local_refine
S002,11,109.25282470857144,23.055314254285715,267.2687225341797,192.2687225341797,75.0,0.9866902170587792,0.8728416069716047,0.8728416069716047,True,True,True,True,local_refine
S002,12,109.25282470857144,23.055314254285715,292.2687225341797,192.2687225341797,100.0,0.9825145197912946,0.8719499119308409,0.8719499119308409,True,True,True,True,local_refine
S002,13,109.25282470857144,23.055314254285715,317.2687225341797,192.2687225341797,125.0,0.9766135563226186,0.870889661425295,0.870889661425295,True,True,True,True,local_refine
S002,14,109.25282470857144,23.055314254285715,342.2687225341797,192.2687225341797,150.0,0.9689943544196922,0.8696609789197396,0.8696609789197396,True,True,True,True,local_refine
S002,15,109.25282470857144,23.055314254285715,367.2687225341797,192.2687225341797,175.0,0.9596659552920244,0.8682640074046759,0.8682640074046759,True,True,True,True,local_refine
S002,16,109.25282470857144,23.055314254285715,392.2687225341797,192.2687225341797,200.0,0.9486393780430832,0.8666989093409541,0.8666989093409541,True,True,True,True,local_refine
S002,17,109.25116518,23.055842406666667,455.5032806396485,230.50328063964844,225.00000000000006,0.8653436434168214,0.8782367674463671,0.8653436434168214,True,True,True,True,local_refine
S002,18,109.25282470857144,23.055314254285715,417.2687225341797,192.2687225341797,225.0,0.9359275766551036,0.8649658665968474,0.8649658665968474,True,True,True,True,local_refine
S002,19,109.25282470857144,23.055314254285715,442.2687225341797,192.2687225341797,250.0,0.9215453898571582,0.8630650803778934,0.8630650803778934,True,True,True,True,local_refine
S002,20,109.25282470857144,23.055314254285715,467.2687225341797,192.2687225341797,275.0,0.9055094842786104,0.860996771149118,0.860996771149118,True,True,True,True,local_refine
S002,21,109.25282470857144,23.055314254285715,492.2687225341797,192.2687225341797,300.0,0.8878382913378573,0.8587611785501679,0.8587611785501679,True,True,True,True,local_refine
S002,22,109.24982470857144,23.05631425428572,282.68359375,257.68359375,25.0,0.8541581707424086,0.8881375421878204,0.8541581707424086,True,True,False,False,local_refine
S002,23,109.24982470857144,23.05631425428572,307.68359375,257.68359375,50.0,0.8490725958015872,0.8871382688492844,0.8490725958015872,True,True,True,True,local_refine
S002,24,109.25116518,23.055842406666667,480.5032806396485,230.50328063964844,250.00000000000006,0.8486247673712342,0.8760717888395817,0.8486247673712342,True,True,True,True,local_refine
S002,25,109.2534741,23.05484240666667,267.860595703125,167.860595703125,100.0,0.8442062917383453,0.9053567227572898,0.8442062917383453,True,True,True,True,local_refine
S002,26,109.24982470857144,23.05631425428572,332.68359375,257.68359375,75.0,0.842316358242158,0.8859698999219034,0.842316358242158,True,True,True,True,local_refine
S002,27,109.2544741,23.05484240666667,195.7923126220703,170.7923126220703,25.0,0.9603753459229978,0.8415639831090118,0.8415639831090118,True,True,False,False,local_refine
S002,28,109.2534741,23.05484240666667,242.860595703125,167.860595703125,75.0,0.8414841734007723,0.9060892197974936,0.8414841734007723,True,True,True,True,local_refine
S002,29,109.2544741,23.05484240666667,220.7923126220703,170.7923126220703,50.0,0.9673164194312704,0.841157791997091,0.841157791997091,True,True,True,True,local_refine
S002,30,109.2544741,23.05484240666667,245.7923126220703,170.7923126220703,75.0,0.9725409481716412,0.8405840737632673,0.8405840737632673,True,True,True,True,local_refine
S002,31,109.2534741,23.05484240666667,292.860595703125,167.860595703125,125.0,0.8401256395592895,0.9044543015504872,0.8401256395592895,True,True,True,True,local_refine
S002,32,109.2544741,23.05484240666667,270.7923126220703,170.7923126220703,100.0,0.9744186379909934,0.8398428947958649,0.8398428947958649,True,True,True,True,local_refine
S002,33,109.2544741,23.05484240666667,295.7923126220703,170.7923126220703,125.0,0.9700113987229884,0.8389343408308036,0.8389343408308036,True,True,True,True,local_refine
S002,34,109.2544741,23.05484240666667,320.7923126220703,170.7923126220703,150.0,0.9638844122563626,0.8378585169185726,0.8378585169185726,True,True,True,True,local_refine
S002,35,109.2544741,23.05484240666667,345.7923126220703,170.7923126220703,175.0,0.9560449525527304,0.8366155473837011,0.8366155473837011,True,True,True,True,local_refine
S002,36,109.2534741,23.05484240666667,217.860595703125,167.860595703125,50.0,0.8362185546189522,0.906651706650095,0.8362185546189522,True,True,True,True,local_refine
S002,37,109.2544741,23.05484240666667,370.7923126220703,170.7923126220703,200.0,0.9465022917675584,0.8352055757770103,0.8352055757770103,True,True,True,True,local_refine
S002,38,109.2534741,23.05484240666667,317.860595703125,167.860595703125,150.0,0.8343752706126111,0.9033820621066866,0.8343752706126111,True,True,True,True,local_refine
S002,39,109.24982470857144,23.05631425428572,357.68359375,257.68359375,100.0,0.8338972517706793,0.8846325719062662,0.8338972517706793,True,True,True,True,local_refine
S002,40,109.25082470857144,23.05631425428572,268.77931213378906,243.77931213378906,25.0,1.0294047072259076,0.8336723146446872,0.8336723146446872,True,True,False,False,local_refine
S002,41,109.2544741,23.05484240666667,395.7923126220703,170.7923126220703,225.0,0.9352676639244066,0.8336287648203751,0.8336287648203751,True,True,True,True,local_refine
S002,42,109.25082470857144,23.05631425428572,293.77931213378906,243.77931213378906,50.0,1.031342471184601,0.8327785183649041,0.8327785183649041,True,True,True,True,local_refine
S002,43,109.2544741,23.05484240666667,420.7923126220703,170.7923126220703,250.0,0.9223542212263992,0.8318852963442964,0.8318852963442964,True,True,True,True,local_refine
S002,44,109.25082470857144,23.05631425428572,318.77931213378906,243.77931213378906,75.0,1.0315298130264523,0.8317176826374748,0.8317176826374748,True,True,True,True,local_refine
S002,45,109.25216518,23.055842406666667,235.9479217529297,210.9479217529297,25.0,1.031612867467885,0.8312870512079513,0.8312870512079513,True,True,False,False,local_refine
S002,46,109.25216518,23.055842406666667,260.9479217529297,210.9479217529297,50.0,1.0358527213535496,0.8306132870383323,0.8306132870383323,True,True,True,True,local_refine
S002,47,109.25082470857144,23.05631425428572,343.77931213378906,243.77931213378906,100.0,1.029966506257992,0.8304899298849051,0.8304899298849051,True,True,True,True,local_refine
S002,48,109.25116518,23.055842406666667,505.5032806396485,230.50328063964844,275.00000000000006,0.8302980299829841,0.8737390396900935,0.8302980299829841,True,True,True,True,local_refine
S002,49,109.2544741,23.05484240666667,445.7923126220703,170.7923126220703,275.0,0.9077769833587156,0.8299753712181115,0.8299753712181115,True,True,True,True,local_refine
S002,50,109.25216518,23.055842406666667,285.9479217529297,210.9479217529297,75.0,1.0383426813953631,0.8297724789073868,0.8297724789073868,True,True,True,True,local_refine
S003,1,109.18438950666666,23.03380156,454.1606140136719,354.1606140136719,100.0,1.0914797765105817,1.0861836629705266,1.0861836629705266,True,True,True,True,local_refine
S003,2,109.18438950666666,23.03380156,429.1606140136719,354.1606140136719,75.0,1.0854949499898083,1.0882690591657536,1.0854949499898083,True,True,True,True,local_refine
S003,3,109.18438950666666,23.03380156,479.1606140136719,354.1606140136719,125.0,1.0823885032199314,1.083922045562801,1.0823885032199314,True,True,True,True,local_refine
S003,4,109.18291346142856,23.031557795714285,344.0848999023437,319.08489990234375,24.999999999999943,1.0946464123582018,1.077230046882903,1.077230046882903,True,True,False,False,local_refine
S003,5,109.18291346142856,23.031557795714285,369.08489990234375,319.08489990234375,50.0,1.1092543768684635,1.0757518477674497,1.0757518477674497,True,True,True,True,local_refine
S003,6,109.18438950666666,23.03380156,404.1606140136719,354.1606140136719,50.0,1.0752145541625993,1.0901779796356976,1.0752145541625993,True,True,True,True,local_refine
S003,7,109.18291346142856,23.031557795714285,394.08489990234375,319.08489990234375,75.0,1.1221234325625034,1.0740973299856194,1.0740973299856194,True,True,True,True,local_refine
S003,8,109.18291346142856,23.031557795714285,419.08489990234375,319.08489990234375,100.0,1.1332379419534109,1.072266695172857,1.072266695172857,True,True,True,True,local_refine
S003,9,109.18438950666666,23.03380156,504.1606140136719,354.1606140136719,150.0,1.071548718773272,1.081484482639965,1.071548718773272,True,True,True,True,local_refine
