task_id,box_id,delivery_time_s
K19-001,S001-MED-01,852.9016197465805
K19-001,S001-MED-02,888.9016197465805
K19-001,S001-WAT-01,924.9016197465805
K19-001,S001-WAT-02,960.9016197465805
K19-001,S001-WAT-03,996.9016197465805
K19-001,S001-WAT-04,1032.9016197465805
K19-001,S001-WAT-05,1068.9016197465805
K19-002,S002-MED-01,1128.930586707283
K19-002,S002-WAT-01,1164.930586707283
K19-002,S002-WAT-02,1200.930586707283
K19-002,S002-WAT-03,1236.930586707283
K19-002,S002-WAT-04,1272.930586707283
K19-002,S002-FOD-01,1308.930586707283
K19-003,S006-MED-01,2230.5030595160492
K19-003,S006-WAT-01,2266.5030595160492
K19-003,S006-WAT-02,2302.5030595160492
K19-003,S006-WAT-03,2338.5030595160492
K19-003,S006-FOD-01,2374.5030595160492
K19-003,S006-HYG-01,2410.5030595160492
K19-004,S007-MED-01,2954.7264395474867
K19-004,S007-WAT-01,2990.7264395474867
K19-004,S007-WAT-02,3026.7264395474867
K19-004,S007-FOD-01,3062.7264395474867
K19-004,S007-HYG-01,3098.7264395474867
K19-005,S010-MED-01,874.8348215935089
K19-005,S010-WAT-01,904.8348215935089
K19-005,S010-FOD-01,934.8348215935089
K19-006,S012-MED-01,1061.8746695035416
K19-006,S012-WAT-01,1091.8746695035416
K19-006,S012-FOD-01,1121.8746695035416
K19-007,S013-MED-01,2257.3258489382333
K19-007,S013-WAT-01,2287.3258489382333
K19-007,S013-FOD-01,2317.3258489382333
K19-008,S014-MED-01,2805.6528888213634
K19-008,S014-WAT-01,2835.6528888213634
K19-008,S014-FOD-01,2865.6528888213634
K19-009,S003-MED-01,4292.705296916578
K19-009,S003-WAT-01,4328.705296916578
K19-009,S003-WAT-02,4364.705296916578
K19-009,S003-WAT-03,4400.705296916578
K19-009,S003-WAT-04,4436.705296916578
K19-009,S003-FOD-01,4472.705296916578
K19-010,S004-MED-01,5523.7236019728625
K19-010,S004-WAT-01,5559.7236019728625
K19-010,S004-WAT-02,5595.7236019728625
K19-010,S004-WAT-03,5631.7236019728625
K19-010,S004-FOD-01,5667.7236019728625
K19-010,S004-HYG-01,5703.7236019728625
K19-011,S008-MED-01,6438.8345709188425
K19-011,S008-WAT-01,6474.8345709188425
K19-011,S008-WAT-02,6510.8345709188425
K19-011,S008-FOD-01,6546.8345709188425
K19-011,S008-HYG-01,6582.8345709188425
K19-012,S015-MED-01,3868.61792687347
K19-012,S015-WAT-01,3898.61792687347
K19-012,S015-FOD-01,3928.61792687347
K19-013,S005-MED-01,7438.003064827061
K19-013,S005-WAT-01,7474.003064827061
K19-013,S005-WAT-02,7510.003064827061
K19-013,S005-WAT-03,7546.003064827061
K19-013,S005-FOD-01,7582.003064827061
K19-013,S005-HYG-01,7618.003064827061
K19-014,S009-MED-01,4516.415597531432
K19-014,S009-WAT-01,4546.415597531432
K19-014,S009-FOD-01,4576.415597531432
K19-015,S011-MED-01,5236.943345991138
K19-015,S011-WAT-01,5266.943345991138
K19-015,S011-FOD-01,5296.943345991138
K19-016,S001-WAT-06,8571.67220326107
K19-016,S001-WAT-07,8607.67220326107
K19-016,S001-WAT-08,8643.67220326107
K19-016,S001-FOD-01,8679.67220326107
K19-017,S001-FOD-02,9692.496431521113
K19-017,S001-FOD-03,9728.496431521113
K19-017,S001-HYG-01,9764.496431521113
K19-017,S001-HYG-02,9800.496431521113
K19-018,S002-FOD-02,6067.132430958934
K19-018,S002-HYG-01,6097.132430958934
K19-019,S003-FOD-02,7316.147945433429
K19-019,S003-HYG-01,7346.147945433429
