task_id,box_id,delivery_time_s
K26-001,S001-MED-01,732.9016197465805
K26-001,S001-MED-02,768.9016197465805
K26-001,S001-WAT-01,804.9016197465805
K26-002,S002-MED-01,1038.930586707283
K26-002,S002-WAT-01,1074.930586707283
K26-002,S002-WAT-02,1110.930586707283
K26-003,S006-MED-01,1876.5030595160492
K26-003,S006-WAT-01,1912.5030595160492
K26-003,S006-WAT-02,1948.5030595160492
K26-004,S007-MED-01,2756.7264395474867
K26-004,S007-WAT-01,2792.7264395474867
K26-004,S007-WAT-02,2828.7264395474867
K26-004,S007-FOD-01,2864.7264395474867
K26-004,S007-HYG-01,2900.7264395474867
K26-005,S010-MED-01,874.8348215935089
K26-005,S010-WAT-01,904.8348215935089
K26-005,S010-FOD-01,934.8348215935089
K26-006,S012-MED-01,1061.8746695035416
K26-006,S012-WAT-01,1091.8746695035416
K26-006,S012-FOD-01,1121.8746695035416
K26-007,S013-MED-01,2257.3258489382333
K26-007,S013-WAT-01,2287.3258489382333
K26-007,S013-FOD-01,2317.3258489382333
K26-008,S014-MED-01,2805.6528888213634
K26-008,S014-WAT-01,2835.6528888213634
K26-008,S014-FOD-01,2865.6528888213634
K26-009,S003-MED-01,3694.935943713429
K26-009,S003-WAT-01,3730.935943713429
K26-009,S003-WAT-02,3766.935943713429
K26-010,S004-MED-01,4867.262550979959
K26-010,S004-WAT-01,4903.262550979959
K26-010,S004-WAT-02,4939.262550979959
K26-011,S008-MED-01,5643.0652177156935
K26-011,S008-WAT-01,5679.0652177156935
K26-012,S015-MED-01,3868.61792687347
K26-012,S015-WAT-01,3898.61792687347
K26-012,S015-FOD-01,3928.61792687347
K26-013,S005-MED-01,6583.542013834158
K26-013,S005-WAT-01,6619.542013834158
K26-013,S005-WAT-02,6655.542013834158
K26-014,S009-MED-01,4516.415597531432
K26-014,S009-WAT-01,4546.415597531432
K26-014,S009-FOD-01,4576.415597531432
K26-015,S011-MED-01,5236.943345991138
K26-015,S011-WAT-01,5266.943345991138
K26-015,S011-FOD-01,5296.943345991138
K26-016,S001-WAT-06,7514.981750393883
K26-016,S001-WAT-07,7550.981750393883
K26-016,S001-WAT-08,7586.981750393883
K26-016,S001-FOD-01,7622.981750393883
K26-017,S001-FOD-02,8682.572256249048
K26-017,S001-FOD-03,8718.572256249048
K26-017,S001-HYG-01,8754.572256249048
K26-017,S001-HYG-02,8790.572256249048
K26-018,S001-WAT-02,9397.69334833077
K26-018,S001-WAT-03,9433.69334833077
K26-018,S001-WAT-04,9469.69334833077
K26-018,S001-WAT-05,9505.69334833077
K26-019,S002-FOD-02,6067.132430958934
K26-019,S002-HYG-01,6097.132430958934
K26-020,S002-WAT-03,10142.027964365818
K26-020,S002-WAT-04,10178.027964365818
K26-020,S002-FOD-01,10214.027964365818
K26-021,S003-FOD-02,7316.147945433429
K26-021,S003-HYG-01,7346.147945433429
K26-022,S003-WAT-03,11013.627425547811
K26-022,S003-WAT-04,11049.627425547811
K26-022,S003-FOD-01,11085.627425547811
K26-023,S004-WAT-03,11971.669485553517
K26-023,S004-FOD-01,12007.669485553517
K26-023,S004-HYG-01,12043.669485553517
K26-024,S005-WAT-03,12800.68728074965
K26-024,S005-FOD-01,12836.68728074965
K26-024,S005-HYG-01,12872.68728074965
K26-025,S006-WAT-03,13814.078709702151
K26-025,S006-FOD-01,13850.078709702151
K26-025,S006-HYG-01,13886.078709702151
K26-026,S008-WAT-02,15215.845953104292
K26-026,S008-FOD-01,15251.845953104292
K26-026,S008-HYG-01,15287.845953104292
