event_or_phase,start_time,end_time,duration,prev_end,gap,overlap,pass
climb,0.0,58.142644042968755,58.142644042968755,,0.0,0.0,True
cruise,58.142644042968755,59.12173515357989,0.9790911106111366,58.142644042968755,0.0,0.0,True
cruise,59.12173515357989,60.10082626419103,0.9790911106111366,59.12173515357989,0.0,0.0,True
cruise,60.10082626419103,60.115835986840246,0.01500972264921785,60.10082626419103,0.0,0.0,True
cruise,60.115835986840246,60.13084570948946,0.01500972264921785,60.115835986840246,0.0,0.0,True
cruise,60.13084570948946,61.24668735044981,1.1158416409603475,60.13084570948946,0.0,0.0,True
cruise,61.24668735044981,62.36252899141016,1.1158416409603475,61.24668735044981,0.0,0.0,True
cruise,62.36252899141016,63.493380355019724,1.1308513636095654,62.36252899141016,0.0,0.0,True
cruise,63.493380355019724,64.62423171862929,1.1308513636095654,63.493380355019724,0.0,0.0,True
cruise,64.62423171862929,64.66872713783812,0.044495419208828935,64.62423171862929,0.0,0.0,True
cruise,64.66872713783812,64.71322255704695,0.044495419208828935,64.66872713783812,0.0,0.0,True
cruise,64.71322255704695,65.79957850143322,1.0863559443862698,64.71322255704695,0.0,0.0,True
cruise,65.79957850143322,66.88593444581949,1.0863559443862698,65.79957850143322,0.0,0.0,True
cruise,66.88593444581949,68.01678580944352,1.130851363624032,66.88593444581949,0.0,0.0,True
cruise,68.01678580944352,69.14763717306755,1.130851363624032,68.01678580944352,0.0,0.0,True
cruise,69.14763717306755,69.221618288836,0.07398111576844713,69.14763717306755,0.0,0.0,True
cruise,69.221618288836,69.29559940460445,0.07398111576844713,69.221618288836,0.0,0.0,True
cruise,69.29559940460445,70.3524696524311,1.0568702478266516,69.29559940460445,0.0,0.0,True
cruise,70.3524696524311,71.40933990025775,1.0568702478266516,70.3524696524311,0.0,0.0,True
cruise,71.40933990025775,72.54019126385285,1.1308513635950987,71.40933990025775,0.0,0.0,True
cruise,72.54019126385285,73.67104262744795,1.1308513635950987,72.54019126385285,0.0,0.0,True
cruise,73.67104262744795,73.77450943968772,0.10346681223977328,73.67104262744795,0.0,0.0,True
cruise,73.77450943968772,73.87797625192749,0.10346681223977328,73.77450943968772,0.0,0.0,True
cruise,73.87797625192749,74.90536080331175,1.0273845513842588,73.87797625192749,0.0,0.0,True
cruise,74.90536080331175,75.93274535469601,1.0273845513842588,74.90536080331175,0.0,0.0,True
cruise,75.93274535469601,77.06359671829111,1.1308513635950987,75.93274535469601,0.0,0.0,True
cruise,77.06359671829111,78.19444808188621,1.1308513635950987,77.06359671829111,0.0,0.0,True
cruise,78.19444808188621,78.3274005906856,0.13295250879939147,78.19444808188621,0.0,0.0,True
cruise,78.3274005906856,78.46035309948499,0.13295250879939147,78.3274005906856,0.0,0.0,True
cruise,78.46035309948499,79.45825195429516,0.9978988548101739,78.46035309948499,0.0,0.0,True
cruise,79.45825195429516,80.45615080910534,0.9978988548101739,79.45825195429516,0.0,0.0,True
cruise,80.45615080910534,81.5870021727149,1.1308513636095654,80.45615080910534,0.0,0.0,True
cruise,81.5870021727149,82.71785353632447,1.1308513636095654,81.5870021727149,0.0,0.0,True
cruise,82.71785353632447,82.88029174168346,0.16243820535899545,82.71785353632447,0.0,0.0,True
cruise,82.88029174168346,83.04272994704246,0.16243820535899545,82.88029174168346,0.0,0.0,True
cruise,83.04272994704246,84.01114310527856,0.9684131582361033,83.04272994704246,0.0,0.0,True
cruise,84.01114310527856,84.97955626351467,0.9684131582361033,84.01114310527856,0.0,0.0,True
cruise,84.97955626351467,86.1104076271387,1.130851363624032,84.97955626351467,0.0,0.0,True
cruise,86.1104076271387,87.24125899076273,1.130851363624032,86.1104076271387,0.0,0.0,True
cruise,87.24125899076273,87.43318289256412,0.1919239018013883,87.24125899076273,0.0,0.0,True
cruise,87.43318289256412,87.62510679436552,0.1919239018014025,87.43318289256412,0.0,0.0,True
cruise,87.62510679436552,88.56403425615922,0.9389274617936962,87.62510679436552,0.0,0.0,True
cruise,88.56403425615922,89.50296171795291,0.9389274617936962,88.56403425615922,0.0,0.0,True
cruise,89.50296171795291,90.63381308154801,1.1308513635950987,89.50296171795291,0.0,0.0,True
cruise,90.63381308154801,91.76466444514311,1.1308513635950987,90.63381308154801,0.0,0.0,True
cruise,91.76466444514311,91.98607404353305,0.2214095983899398,91.76466444514311,0.0,0.0,True
cruise,91.98607404353305,92.20748364192299,0.2214095983899398,91.98607404353305,0.0,0.0,True
cruise,92.20748364192299,93.11692540715707,0.909441765234078,92.20748364192299,0.0,0.0,True
cruise,93.11692540715707,94.02636717239116,0.9094417652340923,93.11692540715707,0.0,0.0,True
cruise,94.02636717239116,95.15721853598626,1.1308513635950987,94.02636717239116,0.0,0.0,True
cruise,95.15721853598626,96.28806989958136,1.1308513635950987,95.15721853598626,0.0,0.0,True
cruise,96.28806989958136,96.53896519453092,0.250895294949558,96.28806989958136,0.0,0.0,True
cruise,96.53896519453092,96.78986048948046,0.25089529494954377,96.53896519453092,0.0,0.0,True
cruise,96.78986048948046,97.66981655814047,0.8799560686600074,96.78986048948046,0.0,0.0,True
cruise,97.66981655814047,98.54977262680048,0.8799560686600074,97.66981655814047,0.0,0.0,True
cruise,98.54977262680048,99.68062399041004,1.1308513636095654,98.54977262680048,0.0,0.0,True
