scope,relay_id,inventory,observed_peak,interval_start_s,interval_end_s,overlap_conflict,feasible
relay_pool,ALL,2,2,,,False,True
relay_device,R01,1,1,0.0,2034.5963098536845,False,True
relay_device,R01,1,1,2034.5963098536597,4025.036860578532,False,True
relay_device,R01,1,1,4251.941036870872,6935.715794407903,False,True
relay_device,R01,1,1,6935.715794407932,9245.342040031925,False,True
relay_device,R01,1,1,9245.34204003191,11605.387959968091,False,True
relay_device,R01,1,1,17757.609913561813,19798.472550281786,False,True
relay_device,R01,1,1,83657.68269686303,86045.19933625,False,True
relay_device,R01,1,1,92218.3514191428,94622.2407581499,False,True
relay_device,R01,1,1,94622.2407581499,96862.16384684767,False,True
relay_device,R01,1,1,96862.16384684767,98969.59708634084,False,True
relay_device,R02,1,1,136.71525849530371,2178.148497988465,False,True
relay_device,R02,1,1,2178.148497988473,4526.738168678192,False,True
relay_device,R02,1,1,5073.185080025265,7858.373056107231,False,True
relay_device,R02,1,1,7858.373056107237,9528.00861939953,False,True
relay_device,R02,1,1,9528.008619399545,11568.811380600457,False,True
relay_device,R02,1,1,13106.724697495025,15697.76587090959,False,True
relay_device,R02,1,1,85565.19933625,88481.09724786512,False,True
relay_device,R02,1,1,88481.09724786512,90981.42711341903,False,True
