resource_id,task_id,busy_start,busy_end
R01,K20-004,2071.4525012669105,3124.297626473608
R02,K20-004,2219.3997245519695,3367.842553753615
R01,K20-004,2481.1363120763835,3613.231823773147
R02,K20-004,2700.850820960395,3753.6614062633284
R01,K20-005,46.84391702307363,1072.5265512379156
R02,K20-005,200.0013362125028,1266.477013232653
R01,K20-005,323.6159504703153,1384.48919178083
R02,K20-005,517.0454052832492,1542.7039698868707
R01,K20-007,1446.6911094175282,2458.9553925439304
R02,K20-007,1582.270361228047,2675.4499815662257
R01,K20-007,1691.2630907202347,2781.2772561430484
R02,K20-007,1894.778051446631,2907.0027227956093
R01,K20-008,1808.8105692756908,3018.806626480835
R02,K20-008,1961.065165577445,3311.2214144741356
R01,K20-008,2147.4441206555703,3481.537210372573
R02,K20-008,2436.228737953884,3646.2335760671294
R01,K20-010,4086.3348721086327,5487.411440211312
R02,K20-010,4316.2008217218,5873.644592876594
R01,K20-010,4617.170404851682,6157.620259380501
R02,K20-010,4971.658860149615,6372.7329430974205
R01,K20-011,4759.022626430582,6199.8193155268855
R02,K20-011,4999.824493553702,6566.319734805744
R01,K20-011,5230.829159691398,6787.123467715901
R02,K20-011,5571.470005199098,7012.251822810632
R01,K20-012,2876.9329753214224,4148.101387286699
R02,K20-012,3052.203054358937,4401.793797923159
R01,K20-012,3181.122756507374,4524.226883046857
R02,K20-012,3439.586098133418,4710.702358091554
R01,K20-013,6285.9746191376125,7310.5260487173655
R02,K20-013,6434.2240301761785,7596.023149943846
R01,K20-013,6715.929474512116,7864.587505412595
R02,K20-013,6973.712579105702,7998.263705800096
R01,K20-014,3634.183607044593,4711.425999338795
R02,K20-014,3830.085383634357,4916.945789048949
R01,K20-014,3945.3769485757634,5028.022093166788
R02,K20-014,4152.074987645048,5229.294405711984
