resource_id,task_id,busy_start,busy_end
R01,K24-004,2071.4525012669105,3124.297626473608
R02,K24-004,2219.3997245519695,3367.842553753615
R01,K24-004,2481.1363120763835,3613.231823773147
R02,K24-004,2700.850820960395,3753.6614062633284
R01,K24-005,46.84391702307363,1072.5265512379156
R02,K24-005,200.0013362125028,1266.477013232653
R01,K24-005,323.6159504703153,1384.48919178083
R02,K24-005,517.0454052832492,1542.7039698868707
R01,K24-007,1446.6911094175282,2458.9553925439304
R02,K24-007,1582.270361228047,2675.4499815662257
R01,K24-007,1691.2630907202347,2781.2772561430484
R02,K24-007,1894.778051446631,2907.0027227956093
R01,K24-008,1808.8105692756908,3018.806626480835
R02,K24-008,1961.065165577445,3311.2214144741356
R01,K24-008,2147.4441206555703,3481.537210372573
R02,K24-008,2436.228737953884,3646.2335760671294
R01,K24-010,3693.8738211157292,5094.950389218408
R02,K24-010,3923.7397707288965,5481.183541883691
R01,K24-010,4116.70935385878,5657.159208387598
R02,K24-010,4471.197809156712,5872.271892104516
R01,K24-011,4561.022626430582,6001.8193155268855
R02,K24-011,4801.824493553702,6368.319734805744
R01,K24-011,5032.829159691398,6589.123467715901
R02,K24-011,5373.470005199098,6814.251822810632
R01,K24-012,2876.9329753214224,4148.101387286699
R02,K24-012,3052.203054358937,4401.793797923159
R01,K24-012,3181.122756507374,4524.226883046857
R02,K24-012,3439.586098133418,4710.702358091554
R01,K24-013,5695.513568144709,6720.064997724462
R02,K24-013,5843.762979183275,7005.5620989509425
R01,K24-013,6017.468423519213,7166.126454419693
R02,K24-013,6275.251528112799,7299.802654807192
R01,K24-014,3634.183607044593,4711.425999338795
R02,K24-014,3830.085383634357,4916.945789048949
R01,K24-014,3945.3769485757634,5028.022093166788
R02,K24-014,4152.074987645048,5229.294405711984
R01,K24-022,10119.457107127288,11520.533675229966
R02,K24-022,10349.323056740455,11906.76682789525
R01,K24-022,10542.292639870338,12082.742494399155
R02,K24-022,10896.781095168271,12297.855178116075
R01,K24-023,11197.537742978478,12222.089172558233
R02,K24-023,11345.787154017045,12507.586273784713
R01,K24-023,11519.492598352983,12668.150629253463
R02,K24-023,11777.275702946568,12801.826829640962
