,hard_tardy_boxes,hard_tardy_sorties,max_lateness_s,total_lateness_s,completion_time_s,total_energy_kwh,relay_peak
A_original_baseline,13.0,7.0,4356.821687883178,35379.21324928059,10128.488566108414,59.654457520309826,4.0
B_resource_adjusted,22.0,11.0,11436.19384370591,135559.0987857019,17581.034724922953,59.654457520309826,2.0
C_joint_deadline_first,26.0,13.0,6540.095352375125,106895.27753776823,17172.0813959778,59.65445752030983,2.0
