sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok
Q2-001,U07,C,C-B01,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",180.0,S001,1428.9016197465805,432,1741.4332394931612,2.9263177459975083,0.6342102817503115,True
Q2-002,U08,C,C-B02,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",89449.97217613802,S001,90764.8737958846,468,91077.40541563118,3.004744020262608,0.624406997467174,True
Q2-003,U05,B,B-B01,"['S002-FOD-02', 'S002-HYG-01']",11038.335465955664,S002,12200.237010304549,210,12798.258554653434,2.368728646438021,0.4078178383904948,True
Q2-004,U07,C,C-B03,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",2111.069413292717,S002,3600.0,396,4222.110586707283,6.300962619023563,0.2123796726220546,True
Q2-005,U06,B,B-B02,"['S003-FOD-02', 'S003-HYG-01']",13278.25855465344,S003,14566.39682076373,210,15298.588420207354,2.423671474747147,0.39408213131321324,True
Q2-006,U08,C,C-B04,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",2583.889339007088,S003,4229.298294814644,396,5019.787250622199,6.322851263069863,0.20964359211626715,True
Q2-007,U07,C,C-B01,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",5614.436011959017,S004,7200.0,396,7919.623988040983,6.176933464710716,0.22788331691116048,True
Q2-008,U08,C,C-B02,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",87216.02275816805,S005,88590.68071813614,396,89096.06867810423,4.238781800099432,0.47015227498757095,True
Q2-009,U08,C,C-B03,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",91077.40541563119,S006,92286.48173399117,396,92638.26805235115,2.59397203090111,0.6757534961373612,False
Q2-010,U07,C,C-B04,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",93118.26805235114,S007,94465.98637204462,360,95025.78469173811,3.410630658987098,0.5736711676266127,False
Q2-011,U08,C,C-B02,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",95505.78469173808,S008,97005.5120705066,360,97709.55944927511,5.8575758150825585,0.2678030231146802,False
Q2-012,U05,B,B-B03,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",8997.532704754762,S009,10089.524085355217,240,10558.335465955673,2.1025167724731753,0.4743708068817062,True
Q2-013,U06,B,B-B04,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",2103.889339007088,S010,3188.724160600597,240,3658.4856488607725,1.8211113403975845,0.5447221649006039,True
Q2-014,U05,B,B-B01,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",7807.897141462454,S011,8714.901589775267,240,8997.532704754747,1.0771852988708592,0.7307036752822852,True
Q2-015,U06,B,B-B02,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",180.0,S012,1451.8746695035416,240,2103.8893390070834,2.7554719231198046,0.31113201922004885,False
Q2-016,U05,B,B-B03,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",98189.55944927514,S013,99252.31305797091,240,99700.00000000001,1.8246747161043195,0.5438313209739201,False
Q2-017,U06,B,B-B04,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",2221.43323949317,S014,3463.2847415046963,240,4090.022910182888,2.13728360269695,0.46567909932576246,False
Q2-018,U05,B,B-B01,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",5499.787250622176,S015,6718.040373434172,240,7329.413496246168,2.3110443273275134,0.42223891816812165,False
