service_area,candidate_rank,x,y,altitude,access_margin,backhaul_margin,joint_margin,relay_energy_ok,valid,source,candidate_count_total
S002,1,109.25116518,23.055842406666667,255.50328063964844,0.9371718265418991,0.889490729305848,0.889490729305848,True,True,local_refine,2844
S002,2,109.25116518,23.055842406666667,280.50328063964844,0.9359872139953325,0.8886753445782603,0.8886753445782603,True,True,local_refine,2844
S002,3,109.25116518,23.055842406666667,305.50328063964844,0.9309541718481,0.8876907203428601,0.8876907203428601,True,True,local_refine,2844
S002,4,109.25116518,23.055842406666667,330.50328063964844,0.9242184199837737,0.8865369717178311,0.8865369717178311,True,True,local_refine,2844
S002,5,109.25116518,23.055842406666667,355.50328063964844,0.9157878771416961,0.8852142335172317,0.8852142335172317,True,True,local_refine,2844
S002,6,109.25116518,23.055842406666667,380.50328063964844,0.9056724141999695,0.8837226601985151,0.8837226601985151,True,True,local_refine,2844
S002,7,109.25116518,23.055842406666667,405.50328063964844,0.8938838159286746,0.8820624258025305,0.8820624258025305,True,True,local_refine,2844
S002,8,109.25116518,23.055842406666667,430.50328063964844,0.8804357356856372,0.8802337238859792,0.8802337238859792,True,True,local_refine,2844
S002,9,109.25282470857144,23.055314254285715,217.2687225341797,0.9782079063512867,0.8741189347080223,0.8741189347080223,True,True,local_refine,2844
S002,10,109.25282470857144,23.055314254285715,242.2687225341797,0.9836896343724959,0.8735646426564188,0.8735646426564188,True,True,local_refine,2844
S002,11,109.25282470857144,23.055314254285715,267.2687225341797,0.9866902170587792,0.8728416069716047,0.8728416069716047,True,True,local_refine,2844
S002,12,109.25282470857144,23.055314254285715,292.2687225341797,0.9825145197912946,0.8719499119308409,0.8719499119308409,True,True,local_refine,2844
S002,13,109.25282470857144,23.055314254285715,317.2687225341797,0.9766135563226186,0.870889661425295,0.870889661425295,True,True,local_refine,2844
S002,14,109.25282470857144,23.055314254285715,342.2687225341797,0.9689943544196922,0.8696609789197396,0.8696609789197396,True,True,local_refine,2844
S002,15,109.25282470857144,23.055314254285715,367.2687225341797,0.9596659552920244,0.8682640074046759,0.8682640074046759,True,True,local_refine,2844
S002,16,109.25282470857144,23.055314254285715,392.2687225341797,0.9486393780430831,0.8666989093409541,0.8666989093409541,True,True,local_refine,2844
S002,17,109.25116518,23.055842406666667,455.50328063964844,0.8653436434168214,0.8782367674463671,0.8653436434168214,True,True,local_refine,2844
S002,18,109.25282470857144,23.055314254285715,417.2687225341797,0.9359275766551036,0.8649658665968474,0.8649658665968474,True,True,local_refine,2844
S002,19,109.25282470857144,23.055314254285715,442.2687225341797,0.9215453898571582,0.8630650803778934,0.8630650803778934,True,True,local_refine,2844
S002,20,109.25282470857144,23.055314254285715,467.2687225341797,0.9055094842786104,0.860996771149118,0.860996771149118,True,True,local_refine,2844
S002,21,109.25282470857144,23.055314254285715,492.2687225341797,0.8878382913378573,0.8587611785501679,0.8587611785501679,True,True,local_refine,2844
S002,22,109.24982470857144,23.056314254285716,282.68359375,0.8541581707424086,0.8881375421878204,0.8541581707424086,True,True,local_refine,2844
S002,23,109.24982470857144,23.056314254285716,307.68359375,0.8490725958015872,0.8871382688492844,0.8490725958015872,True,True,local_refine,2844
S002,24,109.25116518,23.055842406666667,480.50328063964844,0.8486247673712342,0.8760717888395817,0.8486247673712342,True,True,local_refine,2844
S002,25,109.2534741,23.05484240666667,267.860595703125,0.8442062917383453,0.9053567227572898,0.8442062917383453,True,True,local_refine,2844
S002,26,109.24982470857144,23.056314254285716,332.68359375,0.842316358242158,0.8859698999219034,0.842316358242158,True,True,local_refine,2844
S002,27,109.2544741,23.05484240666667,195.7923126220703,0.9603753459229978,0.8415639831090118,0.8415639831090118,True,True,local_refine,2844
