task_id,box_id,delivery_time_s
K20-001,S001-MED-01,732.9016197465805
K20-001,S001-MED-02,768.9016197465805
K20-001,S001-WAT-01,804.9016197465805
K20-002,S002-MED-01,1128.930586707283
K20-002,S002-WAT-01,1164.930586707283
K20-002,S002-WAT-02,1200.930586707283
K20-002,S002-WAT-03,1236.930586707283
K20-002,S002-WAT-04,1272.930586707283
K20-002,S002-FOD-01,1308.930586707283
K20-003,S006-MED-01,1966.5030595160492
K20-003,S006-WAT-01,2002.5030595160492
K20-003,S006-WAT-02,2038.5030595160492
K20-003,S006-WAT-03,2074.5030595160492
K20-003,S006-FOD-01,2110.5030595160492
K20-003,S006-HYG-01,2146.5030595160492
K20-004,S007-MED-01,2954.7264395474867
K20-004,S007-WAT-01,2990.7264395474867
K20-004,S007-WAT-02,3026.7264395474867
K20-004,S007-FOD-01,3062.7264395474867
K20-004,S007-HYG-01,3098.7264395474867
K20-005,S010-MED-01,874.8348215935089
K20-005,S010-WAT-01,904.8348215935089
K20-005,S010-FOD-01,934.8348215935089
K20-006,S012-MED-01,1061.8746695035416
K20-006,S012-WAT-01,1091.8746695035416
K20-006,S012-FOD-01,1121.8746695035416
K20-007,S013-MED-01,2257.3258489382333
K20-007,S013-WAT-01,2287.3258489382333
K20-007,S013-FOD-01,2317.3258489382333
K20-008,S014-MED-01,2805.6528888213634
K20-008,S014-WAT-01,2835.6528888213634
K20-008,S014-FOD-01,2865.6528888213634
K20-009,S003-MED-01,3784.935943713429
K20-009,S003-WAT-01,3820.935943713429
K20-009,S003-WAT-02,3856.935943713429
K20-009,S003-WAT-03,3892.935943713429
K20-009,S003-WAT-04,3928.935943713429
K20-009,S003-FOD-01,3964.935943713429
K20-010,S004-MED-01,5259.7236019728625
K20-010,S004-WAT-01,5295.7236019728625
K20-010,S004-WAT-02,5331.7236019728625
K20-010,S004-WAT-03,5367.7236019728625
K20-010,S004-FOD-01,5403.7236019728625
K20-010,S004-HYG-01,5439.7236019728625
K20-011,S008-MED-01,5931.0652177156935
K20-011,S008-WAT-01,5967.0652177156935
K20-011,S008-WAT-02,6003.0652177156935
K20-011,S008-FOD-01,6039.0652177156935
K20-011,S008-HYG-01,6075.0652177156935
K20-012,S015-MED-01,3868.61792687347
K20-012,S015-WAT-01,3898.61792687347
K20-012,S015-FOD-01,3928.61792687347
K20-013,S005-MED-01,7174.003064827061
K20-013,S005-WAT-01,7210.003064827061
K20-013,S005-WAT-02,7246.003064827061
K20-013,S005-WAT-03,7282.003064827061
K20-013,S005-FOD-01,7318.003064827061
K20-013,S005-HYG-01,7354.003064827061
K20-014,S009-MED-01,4516.415597531432
K20-014,S009-WAT-01,4546.415597531432
K20-014,S009-FOD-01,4576.415597531432
K20-015,S011-MED-01,5236.943345991138
K20-015,S011-WAT-01,5266.943345991138
K20-015,S011-FOD-01,5296.943345991138
K20-016,S001-WAT-06,8063.9028500579225
K20-016,S001-WAT-07,8099.9028500579225
K20-016,S001-WAT-08,8135.9028500579225
K20-016,S001-FOD-01,8171.9028500579225
K20-017,S001-FOD-02,9428.496431521113
K20-017,S001-FOD-03,9464.496431521113
K20-017,S001-HYG-01,9500.496431521113
K20-017,S001-HYG-02,9536.496431521113
K20-018,S001-WAT-02,9961.740871974918
K20-018,S001-WAT-03,9997.740871974918
K20-018,S001-WAT-04,10033.740871974918
K20-018,S001-WAT-05,10069.740871974918
K20-019,S002-FOD-02,6067.132430958934
K20-019,S002-HYG-01,6097.132430958934
K20-020,S003-FOD-02,7316.147945433429
K20-020,S003-HYG-01,7346.147945433429
