sortie,time_interval_start,time_interval_end,direct_available,relay_required,relay_id,access_link_ok,backhaul_link_ok,communication_ok,communication_status,relay_prepare_start,relay_outbound_end,relay_link_setup_end,relay_service_start,relay_service_end,relay_return_start,relay_busy_end,energy_use_start,energy_use_end,energy_charge_start,energy_charge_end
Q2-001,210.0,1771.4332394931612,False,True,R01,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,0.0,180.0,210.0,210.0,1771.4332394931612,1771.4332394931612,2071.433239493161,210.0,1771.4332394931612,1771.4332394931612,
Q2-002,18186.6868891723,19814.12012866546,False,True,R01,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,17976.6868891723,18156.6868891723,18186.6868891723,18186.6868891723,19814.12012866546,19814.12012866546,20114.12012866546,18186.6868891723,19814.12012866546,19814.12012866546,
Q2-002,17286.653805405203,18914.087044898366,False,True,R02,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,17076.653805405203,17256.653805405203,17286.653805405203,17286.653805405203,18914.087044898366,18914.087044898366,19214.087044898366,17286.653805405203,18914.087044898366,18914.087044898366,
Q2-003,19424.087044898366,21184.010133596134,False,True,R02,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,19214.087044898366,19394.087044898366,19424.087044898366,19424.087044898366,21184.010133596134,21184.010133596134,21484.010133596134,19424.087044898366,21184.010133596134,21184.010133596134,
Q2-004,210.0,2321.041173414566,False,True,R02,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,0.0,180.0,210.0,210.0,2321.041173414566,2321.041173414566,2621.041173414566,210.0,2321.041173414566,2321.041173414566,
Q2-005,20324.12012866546,22344.449994219376,False,True,R01,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,20114.12012866546,20294.12012866546,20324.12012866546,20324.12012866546,22344.449994219376,22344.449994219376,22644.449994219376,20324.12012866546,22344.449994219376,22344.449994219376,
Q2-006,8437.332736791685,10873.230648406796,False,True,R01,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,8227.332736791685,8407.332736791685,8437.332736791685,8437.332736791685,10873.230648406796,10873.230648406796,11173.230648406796,8437.332736791685,10873.230648406796,10873.230648406796,
Q2-007,10061.036822498336,12366.2247985803,False,True,R02,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,9851.036822498336,10031.036822498336,10061.036822498336,10061.036822498336,12366.2247985803,12366.2247985803,12666.2247985803,10061.036822498336,12366.2247985803,12366.2247985803,
Q2-008,14097.005405943826,15977.051325880006,False,True,R01,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,13887.005405943826,14067.005405943826,14097.005405943826,14097.005405943826,15977.051325880006,15977.051325880006,16277.051325880006,14097.005405943826,15977.051325880006,15977.051325880006,
Q2-009,2281.433239493161,3842.295876213128,False,True,R01,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,2071.433239493161,2251.433239493161,2281.433239493161,2281.433239493161,3842.295876213128,3842.295876213128,4142.2958762131275,2281.433239493161,3842.295876213128,3842.295876213128,
Q2-010,2831.041173414566,4738.557812801535,False,True,R02,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,2621.041173414566,2801.041173414566,2831.041173414566,2831.041173414566,4738.557812801535,4738.557812801535,5038.557812801535,2831.041173414566,4738.557812801535,4738.557812801535,
Q2-011,11383.230648406796,13587.005405943826,False,True,R01,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,11173.230648406796,11353.230648406796,11383.230648406796,11383.230648406796,13587.005405943826,13587.005405943826,13887.005405943826,11383.230648406796,13587.005405943826,13587.005405943826,
Q2-012,15215.851044204293,16776.653805405203,False,True,R02,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,15005.851044204293,15185.851044204293,15215.851044204293,15215.851044204293,16776.653805405203,16776.653805405203,17076.653805405203,15215.851044204293,16776.653805405203,16776.653805405203,
Q2-013,4352.2958762131275,5906.892186066812,False,True,R01,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,4142.2958762131275,4322.2958762131275,4352.2958762131275,4352.2958762131275,5906.892186066812,5906.892186066812,6206.892186066812,4352.2958762131275,5906.892186066812,5906.892186066812,
Q2-014,16487.051325880006,17676.6868891723,False,True,R01,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,16277.051325880006,16457.051325880006,16487.051325880006,16487.051325880006,17676.6868891723,17676.6868891723,17976.6868891723,16487.051325880006,17676.6868891723,17676.6868891723,
Q2-015,5248.557812801535,7172.447151808618,False,True,R02,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,5038.557812801535,5218.557812801535,5248.557812801535,5248.557812801535,7172.447151808618,7172.447151808618,7472.447151808618,5248.557812801535,7172.447151808618,7172.447151808618,
Q2-016,6416.892186066812,7927.3327367916845,False,True,R01,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,6206.892186066812,6386.892186066812,6416.892186066812,6416.892186066812,7927.3327367916845,7927.3327367916845,8227.332736791685,6416.892186066812,7927.3327367916845,7927.3327367916845,
Q2-017,7682.447151808618,9551.036822498336,False,True,R02,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,7472.447151808618,7652.447151808618,7682.447151808618,7682.447151808618,9551.036822498336,9551.036822498336,9851.036822498336,7682.447151808618,9551.036822498336,9551.036822498336,
Q2-018,12876.2247985803,14705.851044204293,False,True,R02,True,True,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,12666.2247985803,12846.2247985803,12876.2247985803,12876.2247985803,14705.851044204293,14705.851044204293,15005.851044204293,12876.2247985803,14705.851044204293,14705.851044204293,
