K,task_id,service,type,start_time,box_count,transport_feasible,reserve_ok,hard_deadline_ok,communication_ok,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,failure_stage
21,K21-001,S001,C,0.0,3,True,True,True,True,True,True,True,2.026216295691595,0.0,
21,K21-002,S002,C,0.0,6,True,True,True,False,False,False,False,6.300810064128651,,COMMUNICATION
21,K21-003,S006,C,1117.426741156066,3,True,True,True,True,True,True,True,2.208275454968606,0.0,
21,K21-004,S007,C,1931.0081198540017,5,True,True,True,True,True,True,True,3.4104712440466476,,
21,K21-005,S010,B,0.0,3,True,True,True,True,True,True,True,1.8210597626592548,,
21,K21-006,S012,B,0.0,3,True,True,True,False,False,False,False,2.7552834541257063,,COMMUNICATION
21,K21-007,S013,B,1404.5722402424637,3,True,True,True,True,True,True,True,1.8245898337241249,,
21,K21-008,S014,B,1773.8013868098371,3,True,True,True,True,True,True,True,2.137302418928596,,
21,K21-009,S003,C,2499.5269879058733,6,True,True,True,False,False,False,False,6.322449445036911,,COMMUNICATION
21,K21-010,S004,C,3731.6985629389765,6,True,True,True,True,True,True,True,6.176921994765144,,
21,K21-011,S008,C,4755.337838947178,5,True,True,True,True,True,True,True,5.8575071774605485,,
21,K21-012,S015,B,2860.3648040614744,3,True,True,True,True,True,True,True,2.3109325730264962,,
21,K21-013,S005,C,5856.884053866068,6,True,True,True,True,True,True,True,4.238780402167004,,
21,K21-014,S009,B,3634.4242169309764,3,True,True,True,True,False,False,False,2.102467541986173,,RELAY_RESOURCE
21,K21-015,S011,B,4539.938897678325,3,True,True,True,True,True,True,True,1.0771751008081385,0.0,
21,K21-016,S001,C,7301.001230311342,4,True,True,True,True,True,True,True,2.316394490860985,0.0,
21,K21-017,S001,C,8363.133760781628,4,True,True,True,True,True,True,True,2.080878441998727,0.0,
21,K21-018,S001,C,9198.839252228338,4,True,True,True,True,True,True,True,2.412174518630284,0.0,
21,K21-019,S002,B,5085.230886610049,2,True,True,True,False,False,False,False,2.3686578173796686,,COMMUNICATION
21,K21-020,S003,B,6208.00967932314,2,True,True,True,False,False,False,False,2.4234849163747043,,COMMUNICATION
21,K21-021,S006,C,9546.560501937694,3,True,True,True,True,True,True,True,2.182285368378188,0.0,
