best_hover_x,best_hover_y,best_hover_altitude,best_AGL,terrain_elevation_m,best_access_margin,best_backhaul_margin,best_joint_margin,pointwise_feasible,transport_x,transport_y,transport_z,candidate_count,block_id,time,phase,interval_start,interval_end,sampling
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,19.96525910962879,26.198030685498694,19.96525910962879,True,11179685.606692273,2558433.059906504,372.9093322753906,28611,1,411.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,19.3551723858767,26.198030685498694,19.3551723858767,True,11179682.17930286,2558447.66309115,372.9093322753906,28611,1,412.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,18.782608365957856,26.198030685498694,18.782608365957856,True,11179678.751913445,2558462.266275796,372.9093322753906,28611,1,413.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,18.243513414593295,26.198030685498694,18.243513414593295,True,11179675.324524032,2558476.869460442,372.9093322753906,28611,1,414.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,17.734404819768812,26.198030685498694,17.734404819768812,True,11179671.897134619,2558491.4726450886,372.9093322753906,28611,1,415.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,17.252280960188358,26.198030685498694,17.252280960188358,True,11179668.469745206,2558506.0758297346,372.9093322753906,28611,1,416.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,16.79454456860394,26.198030685498694,16.79454456860394,True,11179665.04235579,2558520.6790143806,372.9093322753906,28611,1,417.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,16.358938435205204,26.198030685498694,16.358938435205204,True,11179661.614966378,2558535.2821990266,372.9093322753906,28611,1,418.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,15.943492022217512,26.198030685498694,15.943492022217512,True,11179658.187576964,2558549.8853836725,372.9093322753906,28611,1,419.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,15.546477292167125,26.198030685498694,15.546477292167125,True,11179654.76018755,2558564.4885683185,372.9093322753906,28611,1,420.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,15.166372167588236,26.198030685498694,15.166372167588236,True,11179651.332798136,2558579.091752965,372.9093322753906,28611,1,421.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.23077777777777,23.006722222222223,381.8017578125,225.0,156.8017578125,14.801830251422217,26.198030685498694,14.801830251422217,True,11179647.905408723,2558593.694937611,372.9093322753906,28611,1,422.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
