scenario,group_count,group_members,late_boxes,late_sorties,makespan_s,energy_kwh,relay_peak,transport_peak,B_battery_peak,C_battery_peak,service_peak,service_peak_per_station,global_shared_schedule_feasible,group_transport_peak_sum,group_relay_peak_sum,group_B_battery_peak_sum,group_C_battery_peak_sum,relay_inventory_gap,B_battery_inventory_gap,C_battery_inventory_gap,transport_inventory_gap,independent_group_config_feasible,feasible
final_unified_checkpoint,2,"G1:S001,S003,S005,S007,S009,S011,S013,S015 | G2:S002,S004,S006,S008,S010,S012,S014",11,6,98669.59708634084,59.65445752030984,2,2,3,2,2,1,True,4,4,5,4,2,1,0,0,False,False
final_unified_checkpoint,3,"G1:S001,S004,S007,S010,S013 | G2:S002,S005,S008,S011,S014 | G3:S003,S006,S009,S012,S015",11,6,98669.59708634084,59.65445752030984,2,2,3,2,2,1,True,4,5,5,3,3,1,0,0,False,False
