route,visit_order,box_set,drone_type,hard_deadline_ok,payload_ok,volume_ok,transport_reserve_ok,relay_block_count,feasible_block_count,worst_block_joint_margin,communication_geometry_pass,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,total_energy,makespan
O01->S008->S005->O01,S008->S005,"[""S008-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.201984994207375,0.0,5.201984994207375,1888.5439077600704
O01->S005->S008->O01,S005->S008,"[""S008-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.2036749531874555,0.0,5.2036749531874555,1888.5389619390562
O01->S011->S008->O01,S011->S008,"[""S008-MED-01"", ""S011-FOD-01"", ""S011-MED-01"", ""S011-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.267380900127497,0.0,5.267380900127497,2072.425282421441
O01->S008->S011->O01,S008->S011,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.286854225742186,0.0,5.286854225742186,1940.4327385831566
O01->S011->S008->O01,S011->S008,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.2957078773010835,0.0,5.2957078773010835,1940.425282421441
O01->S011->S008->O01,S011->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S011-MED-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.311898064689922,0.0,5.311898064689922,2006.425282421441
O01->S008->S011->O01,S008->S011,"[""S008-MED-01"", ""S008-WAT-01"", ""S011-MED-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.3388361317921005,0.0,5.3388361317921005,2006.4327385831566
O01->S008->S005->O01,S008->S005,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.34412710346241,0.0,5.34412710346241,1954.5439077600704
O01->S005->S008->O01,S005->S008,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.356282343377223,0.0,5.356282343377223,1954.5389619390562
O01->S005->S008->O01,S005->S008,"[""S005-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.385426169206342,0.0,5.385426169206342,2020.5389619390562
O01->S008->S005->O01,S008->S005,"[""S005-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.392806545389939,0.0,5.392806545389939,2020.5439077600704
O01->S008->S001->O01,S008->S001,"[""S008-MED-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.405099950081869,0.0,5.405099950081869,1896.8610285618695
O01->S001->S008->O01,S001->S008,"[""S008-MED-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.40730578310831,0.0,5.40730578310831,1896.889630407168
O01->S011->S008->O01,S011->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S011-MED-01"", ""S011-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.410225191434531,0.0,5.410225191434531,2072.425282421441
O01->S011->S008->O01,S011->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S011-FOD-01"", ""S011-MED-01"", ""S011-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.486592061174508,0.0,5.486592061174508,2138.425282421441
O01->S008->S011->O01,S008->S011,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.533380783883348,0.0,5.533380783883348,2006.4327385831566
O01->S008->S001->O01,S008->S001,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.547242059336904,0.0,5.547242059336904,1962.8610285618695
