resource_id,task_id,busy_start,busy_end
R01,K22-004,2071.4525012669105,3124.297626473608
R02,K22-004,2219.3997245519695,3367.842553753615
R01,K22-004,2481.1363120763835,3613.231823773147
R02,K22-004,2700.850820960395,3753.6614062633284
R01,K22-005,46.84391702307363,1072.5265512379156
R02,K22-005,200.0013362125028,1266.477013232653
R01,K22-005,323.6159504703153,1384.48919178083
R02,K22-005,517.0454052832492,1542.7039698868707
R01,K22-007,1446.6911094175282,2458.9553925439304
R02,K22-007,1582.270361228047,2675.4499815662257
R01,K22-007,1691.2630907202347,2781.2772561430484
R02,K22-007,1894.778051446631,2907.0027227956093
R01,K22-008,1808.8105692756908,3018.806626480835
R02,K22-008,1961.065165577445,3311.2214144741356
R01,K22-008,2147.4441206555703,3481.537210372573
R02,K22-008,2436.228737953884,3646.2335760671294
R01,K22-010,3783.8738211157292,5184.950389218408
R02,K22-010,4013.7397707288965,5571.183541883691
R01,K22-010,4314.70935385878,5855.159208387598
R02,K22-010,4669.197809156712,6070.271892104516
R01,K22-011,4759.022626430582,6199.8193155268855
R02,K22-011,4999.824493553702,6566.319734805744
R01,K22-011,5230.829159691398,6787.123467715901
R02,K22-011,5571.470005199098,7012.251822810632
R01,K22-012,2876.9329753214224,4148.101387286699
R02,K22-012,3052.203054358937,4401.793797923159
R01,K22-012,3181.122756507374,4524.226883046857
R02,K22-012,3439.586098133418,4710.702358091554
R01,K22-013,5893.513568144709,6918.064997724462
R02,K22-013,6041.762979183275,7203.5620989509425
R01,K22-013,6215.468423519213,7364.126454419693
R02,K22-013,6473.251528112799,7497.802654807192
R01,K22-014,3634.183607044593,4711.425999338795
R02,K22-014,3830.085383634357,4916.945789048949
R01,K22-014,3945.3769485757634,5028.022093166788
R02,K22-014,4152.074987645048,5229.294405711984
R01,K22-021,9583.190016216335,10607.74144579609
R02,K22-021,9731.439427254902,10893.238547022569
R01,K22-021,9905.14487159084,11053.80290249132
R02,K22-021,10162.927976184425,11187.479102878819
