primitive_interval,start,end,phase,direct_available,relay_required,direct_margin_lower_bound_db,transport_start_xyz,transport_end_xyz
322,368.37822134280344,368.53554482497054,cruise,False,True,-0.23121161356422704,"[11178759.202224057, 2562380.2202299014, 372.9093322753906]","[11178758.663015217, 2562382.517653761, 372.9093322753906]"
323,368.53554482497054,369.59310600204935,cruise,False,True,-0.2650065002535342,"[11178758.663015217, 2562382.517653761, 372.9093322753906]","[11178755.038341235, 2562397.9614149043, 372.9093322753906]"
324,369.59310600204935,370.65066717912816,cruise,False,True,-0.29867080689336944,"[11178755.038341235, 2562397.9614149043, 372.9093322753906]","[11178751.413667252, 2562413.4051760477, 372.9093322753906]"
325,370.65066717912816,371.70822835623403,cruise,False,True,-0.33220553563286614,"[11178751.413667252, 2562413.4051760477, 372.9093322753906]","[11178747.788993267, 2562428.848937192, 372.9093322753906]"
326,371.70822835623403,372.7657895333399,cruise,False,True,-0.36561167715552756,"[11178747.788993267, 2562428.848937192, 372.9093322753906]","[11178744.164319286, 2562444.2926983354, 372.9093322753906]"
327,372.7657895333399,373.8233507104187,cruise,False,True,-0.3988902108723664,"[11178744.164319286, 2562444.2926983354, 372.9093322753906]","[11178740.539645305, 2562459.736459479, 372.9093322753906]"
328,373.8233507104187,374.8809118874975,cruise,False,True,-0.43204210507414587,"[11178740.539645305, 2562459.736459479, 372.9093322753906]","[11178736.914971322, 2562475.180220622, 372.9093322753906]"
329,374.8809118874975,375.6984232912896,cruise,False,True,-0.45758286280727134,"[11178736.914971322, 2562475.180220622, 372.9093322753906]","[11178734.11304139, 2562487.118490602, 372.9093322753906]"
330,375.6984232912896,376.5159346950817,cruise,False,True,-0.4830489567547289,"[11178734.11304139, 2562487.118490602, 372.9093322753906]","[11178731.311111461, 2562499.0567605817, 372.9093322753906]"
331,376.5159346950817,376.7559844683819,cruise,False,True,-0.4905125697706296,"[11178731.311111461, 2562499.0567605817, 372.9093322753906]","[11178730.488367409, 2562502.5622517457, 372.9093322753906]"
332,376.7559844683819,376.99603424168214,cruise,False,True,-0.49796979354145776,"[11178730.488367409, 2562502.5622517457, 372.9093322753906]","[11178729.665623356, 2562506.06774291, 372.9093322753906]"
333,376.99603424168214,378.0535954187745,cruise,False,True,-0.5307474703075599,"[11178729.665623356, 2562506.06774291, 372.9093322753906]","[11178726.040949374, 2562521.5115040527, 372.9093322753906]"
334,378.0535954187745,379.1111565958669,cruise,False,True,-0.5634022728923895,"[11178726.040949374, 2562521.5115040527, 372.9093322753906]","[11178722.416275391, 2562536.955265197, 372.9093322753906]"
335,379.1111565958669,380.1687177729457,cruise,False,True,-0.5959351164572553,"[11178722.416275391, 2562536.955265197, 372.9093322753906]","[11178718.79160141, 2562552.39902634, 372.9093322753906]"
336,380.1687177729457,381.22627895002455,cruise,False,True,-0.6283469060193596,"[11178718.79160141, 2562552.39902634, 372.9093322753906]","[11178715.166927427, 2562567.8427874832, 372.9093322753906]"
337,381.22627895002455,382.2838401271304,cruise,False,True,-0.66063853658369,"[11178715.166927427, 2562567.8427874832, 372.9093322753906]","[11178711.542253442, 2562583.2865486275, 372.9093322753906]"
338,382.2838401271304,383.34140130423623,cruise,False,True,-0.6928108932870032,"[11178711.542253442, 2562583.2865486275, 372.9093322753906]","[11178707.91757946, 2562598.730309771, 372.9093322753906]"
339,383.34140130423623,384.0761864168817,cruise,False,True,-0.7150942306062689,"[11178707.91757946, 2562598.730309771, 372.9093322753906]","[11178705.399184745, 2562609.4605124462, 372.9093322753906]"
340,384.0761864168817,384.81097152952714,cruise,False,True,-0.7373207038293117,"[11178705.399184745, 2562609.4605124462, 372.9093322753906]","[11178702.880790027, 2562620.190715121, 372.9093322753906]"
341,384.81097152952714,385.1337475939605,cruise,False,True,-0.747066436937672,"[11178702.880790027, 2562620.190715121, 372.9093322753906]","[11178701.774510762, 2562624.9042735896, 372.9093322753906]"
342,385.1337475939605,385.4565236583939,cruise,False,True,-0.7568012772499486,"[11178701.774510762, 2562624.9042735896, 372.9093322753906]","[11178700.668231497, 2562629.6178320576, 372.9093322753906]"
343,385.4565236583939,386.5140848354727,cruise,False,True,-0.7886210267727023,"[11178700.668231497, 2562629.6178320576, 372.9093322753906]","[11178697.043557514, 2562645.061593201, 372.9093322753906]"
344,386.5140848354727,387.5716460125515,cruise,False,True,-0.8203249472401666,"[11178697.043557514, 2562645.061593201, 372.9093322753906]","[11178693.41888353, 2562660.505354345, 372.9093322753906]"
345,387.5716460125515,388.6292071896574,cruise,False,True,-0.8519138765957592,"[11178693.41888353, 2562660.505354345, 372.9093322753906]","[11178689.794209547, 2562675.949115488, 372.9093322753906]"
346,388.6292071896574,389.68676836676326,cruise,False,True,-0.8833886437518856,"[11178689.794209547, 2562675.949115488, 372.9093322753906]","[11178686.169535564, 2562691.3928766325, 372.9093322753906]"
347,389.68676836676326,390.74432954384207,cruise,False,True,-0.914750068706411,"[11178686.169535564, 2562691.3928766325, 372.9093322753906]","[11178682.544861583, 2562706.8366377754, 372.9093322753906]"
348,390.74432954384207,391.8018907209209,cruise,False,True,-0.9459989626881651,"[11178682.544861583, 2562706.8366377754, 372.9093322753906]","[11178678.9201876, 2562722.280398919, 372.9093322753906]"
349,391.8018907209209,392.45394954223457,cruise,False,True,-0.9652103117856257,"[11178678.9201876, 2562722.280398919, 372.9093322753906]","[11178676.685328098, 2562731.802534287, 372.9093322753906]"
350,392.45394954223457,393.1060083635482,cruise,False,True,-0.9843793732532333,"[11178676.685328098, 2562731.802534287, 372.9093322753906]","[11178674.450468596, 2562741.324669655, 372.9093322753906]"
351,393.1060083635482,393.5115107193269,cruise,False,True,-0.9962789854108536,"[11178674.450468596, 2562741.324669655, 372.9093322753906]","[11178673.060654117, 2562747.2462954307, 372.9093322753906]"
352,393.5115107193269,393.9170130751056,cruise,False,True,-1.0081623594698783,"[11178673.060654117, 2562747.2462954307, 372.9093322753906]","[11178671.670839634, 2562753.167921206, 372.9093322753906]"
353,393.9170130751056,394.974574252198,cruise,False,True,-1.039078441928595,"[11178671.670839634, 2562753.167921206, 372.9093322753906]","[11178668.04616565, 2562768.61168235, 372.9093322753906]"
354,394.974574252198,396.03213542929035,cruise,False,True,-1.0698851529668758,"[11178668.04616565, 2562768.61168235, 372.9093322753906]","[11178664.42149167, 2562784.055443493, 372.9093322753906]"
355,396.03213542929035,397.0896966063692,cruise,False,True,-1.100583261738393,"[11178664.42149167, 2562784.055443493, 372.9093322753906]","[11178660.796817686, 2562799.499204637, 372.9093322753906]"
356,397.0896966063692,398.147257783448,cruise,False,True,-1.131173529325622,"[11178660.796817686, 2562799.499204637, 372.9093322753906]","[11178657.172143705, 2562814.9429657804, 372.9093322753906]"
357,398.147257783448,399.20481896055384,cruise,False,True,-1.1616567088654222,"[11178657.172143705, 2562814.9429657804, 372.9093322753906]","[11178653.54746972, 2562830.3867269238, 372.9093322753906]"
358,399.20481896055384,400.2623801376597,cruise,False,True,-1.192033545647618,"[11178653.54746972, 2562830.3867269238, 372.9093322753906]","[11178649.922795739, 2562845.830488068, 372.9093322753906]"
359,400.2623801376597,400.83171266782665,cruise,False,True,-1.208342981218678,"[11178649.922795739, 2562845.830488068, 372.9093322753906]","[11178647.971471453, 2562854.1445561307, 372.9093322753906]"
360,400.83171266782665,401.4010451979936,cruise,False,True,-1.2246219250978498,"[11178647.971471453, 2562854.1445561307, 372.9093322753906]","[11178646.020147163, 2562862.458624194, 372.9093322753906]"
361,401.4010451979936,401.88927384490546,cruise,False,True,-1.2385576635232525,"[11178646.020147163, 2562862.458624194, 372.9093322753906]","[11178644.34679747, 2562869.588317274, 372.9093322753906]"
362,401.88927384490546,402.3775024918174,cruise,False,True,-1.252471133538947,"[11178644.34679747, 2562869.588317274, 372.9093322753906]","[11178642.673447773, 2562876.718010355, 372.9093322753906]"
363,402.3775024918174,403.4350636688962,cruise,False,True,-1.2825333369846703,"[11178642.673447773, 2562876.718010355, 372.9093322753906]","[11178639.048773792, 2562892.161771498, 372.9093322753906]"
364,403.4350636688962,404.492624845975,cruise,False,True,-1.312492102553776,"[11178639.048773792, 2562892.161771498, 372.9093322753906]","[11178635.424099809, 2562907.6055326415, 372.9093322753906]"
365,404.492624845975,405.55018602308087,cruise,False,True,-1.3423481379134756,"[11178635.424099809, 2562907.6055326415, 372.9093322753906]","[11178631.799425825, 2562923.0492937854, 372.9093322753906]"
366,405.55018602308087,406.60774720018674,cruise,False,True,-1.3721021435092808,"[11178631.799425825, 2562923.0492937854, 372.9093322753906]","[11178628.174751842, 2562938.4930549287, 372.9093322753906]"
367,406.60774720018674,407.66530837726555,cruise,False,True,-1.4017548126670647,"[11178628.174751842, 2562938.4930549287, 372.9093322753906]","[11178624.550077861, 2562953.9368160726, 372.9093322753906]"
368,407.66530837726555,408.72286955434436,cruise,False,True,-1.4313068316861006,"[11178624.550077861, 2562953.9368160726, 372.9093322753906]","[11178620.925403876, 2562969.380577216, 372.9093322753906]"
369,408.72286955434436,409.2094757933917,cruise,False,True,-1.444870717311261,"[11178620.925403876, 2562969.380577216, 372.9093322753906]","[11178619.257614806, 2562976.4865779746, 372.9093322753906]"
370,409.2094757933917,409.69608203243905,cruise,False,True,-1.4584135037660246,"[11178619.257614806, 2562976.4865779746, 372.9093322753906]","[11178617.589825734, 2562983.5925787333, 372.9093322753906]"
371,409.69608203243905,410.2670369704705,cruise,False,True,-1.4742769932153408,"[11178617.589825734, 2562983.5925787333, 372.9093322753906]","[11178615.632940823, 2562991.930339118, 372.9093322753906]"
372,410.2670369704705,410.837991908502,cruise,False,True,-1.4901116299304817,"[11178615.632940823, 2562991.930339118, 372.9093322753906]","[11178613.676055914, 2563000.2680995027, 372.9093322753906]"
373,410.837991908502,411.89555308560784,cruise,False,True,-1.5193657474672762,"[11178613.676055914, 2563000.2680995027, 372.9093322753906]","[11178610.051381929, 2563015.7118606465, 372.9093322753906]"
374,411.89555308560784,412.9531142627137,cruise,False,True,-1.5485218916590213,"[11178610.051381929, 2563015.7118606465, 372.9093322753906]","[11178606.426707948, 2563031.1556217903, 372.9093322753906]"
375,412.9531142627137,414.0106754397925,cruise,False,True,-1.5775807150592271,"[11178606.426707948, 2563031.1556217903, 372.9093322753906]","[11178602.802033965, 2563046.5993829337, 372.9093322753906]"
376,414.0106754397925,415.06823661687133,cruise,False,True,-1.6065428637377863,"[11178602.802033965, 2563046.5993829337, 372.9093322753906]","[11178599.17735998, 2563062.043144077, 372.9093322753906]"
377,415.06823661687133,416.1257977939637,cruise,False,True,-1.6354089773638663,"[11178599.17735998, 2563062.043144077, 372.9093322753906]","[11178595.552686, 2563077.486905221, 372.9093322753906]"
378,416.1257977939637,417.18335897105607,cruise,False,True,-1.6641796892976117,"[11178595.552686, 2563077.486905221, 372.9093322753906]","[11178591.928012017, 2563092.9306663643, 372.9093322753906]"
379,417.18335897105607,417.58723891875803,cruise,False,True,-1.6751421094523806,"[11178591.928012017, 2563092.9306663643, 372.9093322753906]","[11178590.54375816, 2563098.8285998153, 372.9093322753906]"
380,417.58723891875803,417.99111886646006,cruise,False,True,-1.6860907419017082,"[11178590.54375816, 2563098.8285998153, 372.9093322753906]","[11178589.159504304, 2563104.7265332667, 372.9093322753906]"
381,417.99111886646006,418.6448000958504,cruise,False,True,-1.7037820168429647,"[11178589.159504304, 2563104.7265332667, 372.9093322753906]","[11178586.919084176, 2563114.272360959, 372.9093322753906]"
382,418.6448000958504,419.2984813252408,cruise,False,True,-1.721437410444949,"[11178586.919084176, 2563114.272360959, 372.9093322753906]","[11178584.678664051, 2563123.8181886515, 372.9093322753906]"
383,419.2984813252408,420.3560425023196,cruise,False,True,-1.7499256555426257,"[11178584.678664051, 2563123.8181886515, 372.9093322753906]","[11178581.053990068, 2563139.261949795, 372.9093322753906]"
384,420.3560425023196,421.4136036793985,cruise,False,True,-1.7783209708749155,"[11178581.053990068, 2563139.261949795, 372.9093322753906]","[11178577.429316087, 2563154.705710938, 372.9093322753906]"
385,421.4136036793985,422.47116485650434,cruise,False,True,-1.8066239594471085,"[11178577.429316087, 2563154.705710938, 372.9093322753906]","[11178573.804642104, 2563170.149472082, 372.9093322753906]"
386,422.47116485650434,423.52872603361016,cruise,False,True,-1.83483521842237,"[11178573.804642104, 2563170.149472082, 372.9093322753906]","[11178570.179968122, 2563185.593233226, 372.9093322753906]"
387,423.52872603361016,424.58628721068897,cruise,False,True,-1.862955339205115,"[11178570.179968122, 2563185.593233226, 372.9093322753906]","[11178566.555294137, 2563201.0369943692, 372.9093322753906]"
388,424.58628721068897,425.64384838776783,cruise,False,True,-1.8909849075080558,"[11178566.555294137, 2563201.0369943692, 372.9093322753906]","[11178562.930620154, 2563216.4807555126, 372.9093322753906]"
389,425.64384838776783,425.96500204433664,cruise,False,True,-1.8994789177975662,"[11178562.930620154, 2563216.4807555126, 372.9093322753906]","[11178561.829901513, 2563221.170621659, 372.9093322753906]"
390,425.96500204433664,426.2861557009055,cruise,False,True,-1.9079646472152518,"[11178561.829901513, 2563221.170621659, 372.9093322753906]","[11178560.729182871, 2563225.860487806, 372.9093322753906]"
391,426.2861557009055,427.02256322141545,cruise,False,True,-1.9273913054441323,"[11178560.729182871, 2563225.860487806, 372.9093322753906]","[11178558.205227531, 2563236.6143828025, 372.9093322753906]"
392,427.02256322141545,427.75897074192545,cruise,False,True,-1.9467747015231538,"[11178558.205227531, 2563236.6143828025, 372.9093322753906]","[11178555.68127219, 2563247.3682777993, 372.9093322753906]"
393,427.75897074192545,428.8165319190313,cruise,False,True,-1.9745360708679698,"[11178555.68127219, 2563247.3682777993, 372.9093322753906]","[11178552.056598209, 2563262.812038943, 372.9093322753906]"
394,428.8165319190313,429.8740930961372,cruise,False,True,-2.002209175137679,"[11178552.056598209, 2563262.812038943, 372.9093322753906]","[11178548.431924226, 2563278.255800087, 372.9093322753906]"
395,429.8740930961372,430.931654273216,cruise,False,True,-2.029794572666887,"[11178548.431924226, 2563278.255800087, 372.9093322753906]","[11178544.807250243, 2563293.6995612304, 372.9093322753906]"
396,430.931654273216,431.9892154502948,cruise,False,True,-2.057292816523102,"[11178544.807250243, 2563293.6995612304, 372.9093322753906]","[11178541.182576258, 2563309.1433223737, 372.9093322753906]"
397,431.9892154502948,433.04677662738715,cruise,False,True,-2.0847044545658378,"[11178541.182576258, 2563309.1433223737, 372.9093322753906]","[11178537.557902277, 2563324.587083517, 372.9093322753906]"
398,433.04677662738715,434.10433780447954,cruise,False,True,-2.1120300295198575,"[11178537.557902277, 2563324.587083517, 372.9093322753906]","[11178533.933228295, 2563340.030844661, 372.9093322753906]"
399,434.10433780447954,434.34276516991525,cruise,False,True,-2.118178752037835,"[11178533.933228295, 2563340.030844661, 372.9093322753906]","[11178533.116044866, 2563343.512643503, 372.9093322753906]"
400,434.34276516991525,434.58119253535097,cruise,False,True,-2.124323133633382,"[11178533.116044866, 2563343.512643503, 372.9093322753906]","[11178532.298861437, 2563346.9944423456, 372.9093322753906]"
401,434.58119253535097,435.40032634700765,cruise,False,True,-2.1453995935776504,"[11178532.298861437, 2563346.9944423456, 372.9093322753906]","[11178529.491370883, 2563358.9564046464, 372.9093322753906]"
402,435.40032634700765,436.2194601586643,cruise,False,True,-2.1664251357364606,"[11178529.491370883, 2563358.9564046464, 372.9093322753906]","[11178526.68388033, 2563370.918366948, 372.9093322753906]"
403,436.2194601586643,437.2770213357431,cruise,False,True,-2.193495727317625,"[11178526.68388033, 2563370.918366948, 372.9093322753906]","[11178523.059206346, 2563386.3621280915, 372.9093322753906]"
404,437.2770213357431,438.3345825128219,cruise,False,True,-2.220482376570999,"[11178523.059206346, 2563386.3621280915, 372.9093322753906]","[11178519.434532365, 2563401.8058892353, 372.9093322753906]"
405,438.3345825128219,439.39214368992776,cruise,False,True,-2.247385601463094,"[11178519.434532365, 2563401.8058892353, 372.9093322753906]","[11178515.80985838, 2563417.2496503787, 372.9093322753906]"
406,439.39214368992776,440.44970486703363,cruise,False,True,-2.2742059151877214,"[11178515.80985838, 2563417.2496503787, 372.9093322753906]","[11178512.1851844, 2563432.6934115225, 372.9093322753906]"
407,440.44970486703363,441.50726604411244,cruise,False,True,-2.300943826231034,"[11178512.1851844, 2563432.6934115225, 372.9093322753906]","[11178508.560510417, 2563448.137172666, 372.9093322753906]"
408,441.50726604411244,442.56482722119125,cruise,False,True,-2.3275998384227705,"[11178508.560510417, 2563448.137172666, 372.9093322753906]","[11178504.935836433, 2563463.5809338093, 372.9093322753906]"
409,442.56482722119125,442.7205282952816,cruise,False,True,-2.3315174246829855,"[11178504.935836433, 2563463.5809338093, 372.9093322753906]","[11178504.402188221, 2563465.8546653436, 372.9093322753906]"
410,442.7205282952816,442.87622936937197,cruise,False,True,-2.335433248147453,"[11178504.402188221, 2563465.8546653436, 372.9093322753906]","[11178503.868540008, 2563468.1283968785, 372.9093322753906]"
411,442.87622936937197,443.7780894723604,cruise,False,True,-2.3580800949544027,"[11178503.868540008, 2563468.1283968785, 372.9093322753906]","[11178500.777514238, 2563481.298426487, 372.9093322753906]"
412,443.7780894723604,444.6799495753489,cruise,False,True,-2.380668158632389,"[11178500.777514238, 2563481.298426487, 372.9093322753906]","[11178497.686488468, 2563494.468456096, 372.9093322753906]"
413,444.6799495753489,445.73751075245474,cruise,False,True,-2.4070814515443573,"[11178497.686488468, 2563494.468456096, 372.9093322753906]","[11178494.061814485, 2563509.91221724, 372.9093322753906]"
414,445.73751075245474,446.7950719295606,cruise,False,True,-2.4334148154960076,"[11178494.061814485, 2563509.91221724, 372.9093322753906]","[11178490.437140504, 2563525.3559783837, 372.9093322753906]"
415,446.7950719295606,447.8526331066395,cruise,False,True,-2.4596687318767323,"[11178490.437140504, 2563525.3559783837, 372.9093322753906]","[11178486.81246652, 2563540.799739527, 372.9093322753906]"
416,447.8526331066395,448.9101942837183,cruise,False,True,-2.485843677748335,"[11178486.81246652, 2563540.799739527, 372.9093322753906]","[11178483.187792538, 2563556.243500671, 372.9093322753906]"
417,448.9101942837183,449.9677554607971,cruise,False,True,-2.5119401258934317,"[11178483.187792538, 2563556.243500671, 372.9093322753906]","[11178479.563118555, 2563571.687261814, 372.9093322753906]"
418,449.9677554607971,451.0253166378759,cruise,False,True,-2.5379585448731774,"[11178479.563118555, 2563571.687261814, 372.9093322753906]","[11178475.938444573, 2563587.131022957, 372.9093322753906]"
419,451.0253166378759,451.09829142084664,cruise,False,True,-2.539751025063026,"[11178475.938444573, 2563587.131022957, 372.9093322753906]","[11178475.688331574, 2563588.1966871875, 372.9093322753906]"
420,451.09829142084664,451.1712662038174,cruise,False,True,-2.541543136088748,"[11178475.688331574, 2563588.1966871875, 372.9093322753906]","[11178475.438218577, 2563589.262351418, 372.9093322753906]"
421,451.1712662038174,452.15585259795256,cruise,False,True,-2.565686544090326,"[11178475.438218577, 2563589.262351418, 372.9093322753906]","[11178472.063657593, 2563603.6404483314, 372.9093322753906]"
422,452.15585259795256,453.14043899208764,cruise,False,True,-2.5897631487511603,"[11178472.063657593, 2563603.6404483314, 372.9093322753906]","[11178468.689096607, 2563618.018545245, 372.9093322753906]"
423,453.14043899208764,454.19800016916645,cruise,False,True,-2.6155502500873524,"[11178468.689096607, 2563618.018545245, 372.9093322753906]","[11178465.064422626, 2563633.4623063887, 372.9093322753906]"
424,454.19800016916645,455.25556134624526,cruise,False,True,-2.641261155234062,"[11178465.064422626, 2563633.4623063887, 372.9093322753906]","[11178461.439748643, 2563648.9060675316, 372.9093322753906]"
425,455.25556134624526,456.31312252333765,cruise,False,True,-2.6668963123644716,"[11178461.439748643, 2563648.9060675316, 372.9093322753906]","[11178457.81507466, 2563664.349828676, 372.9093322753906]"
426,456.31312252333765,457.37068370043,cruise,False,True,-2.692456165709629,"[11178457.81507466, 2563664.349828676, 372.9093322753906]","[11178454.190400675, 2563679.7935898188, 372.9093322753906]"
427,457.37068370043,458.41849336934644,cruise,False,True,-2.717706505512197,"[11178454.190400675, 2563679.7935898188, 372.9093322753906]","[11178450.59914891, 2563695.094947888, 372.9093322753906]"
428,458.41849336934644,459.4663030382628,cruise,False,True,-2.7428837806659203,"[11178450.59914891, 2563695.094947888, 372.9093322753906]","[11178447.007897144, 2563710.3963059573, 372.9093322753906]"
429,459.4663030382628,459.4760545464388,cruise,False,True,-2.7431177527708144,"[11178447.007897144, 2563710.3963059573, 372.9093322753906]","[11178446.974474927, 2563710.5387090314, 372.9093322753906]"
430,459.4760545464388,459.4858060546147,cruise,False,True,-2.7433517185850036,"[11178446.974474927, 2563710.5387090314, 372.9093322753906]","[11178446.941052713, 2563710.6811121064, 372.9093322753906]"
431,459.4858060546147,460.54336723169354,cruise,False,True,-2.7686882873159107,"[11178446.941052713, 2563710.6811121064, 372.9093322753906]","[11178443.31637873, 2563726.1248732493, 372.9093322753906]"
432,460.54336723169354,461.60092840877235,cruise,False,True,-2.793951290756084,"[11178443.31637873, 2563726.1248732493, 372.9093322753906]","[11178439.691704746, 2563741.568634393, 372.9093322753906]"
433,461.60092840877235,462.6584895858782,cruise,False,True,-2.8191411541355365,"[11178439.691704746, 2563741.568634393, 372.9093322753906]","[11178436.067030763, 2563757.0123955365, 372.9093322753906]"
434,462.6584895858782,463.7160507629841,cruise,False,True,-2.84425829901852,"[11178436.067030763, 2563757.0123955365, 372.9093322753906]","[11178432.44235678, 2563772.456156681, 372.9093322753906]"
435,463.7160507629841,464.7736119400629,cruise,False,True,-2.869303143335628,"[11178432.44235678, 2563772.456156681, 372.9093322753906]","[11178428.817682799, 2563787.899917824, 372.9093322753906]"
436,464.7736119400629,465.8311731171417,cruise,False,True,-2.8942761014364464,"[11178428.817682799, 2563787.899917824, 372.9093322753906]","[11178425.193008816, 2563803.343678967, 372.9093322753906]"
437,465.8311731171417,466.79625649471285,cruise,False,True,-2.9170029303919165,"[11178425.193008816, 2563803.343678967, 372.9093322753906]","[11178421.885292266, 2563817.4369697287, 372.9093322753906]"
438,466.79625649471285,467.761339872284,cruise,False,True,-2.9396705473200626,"[11178421.885292266, 2563817.4369697287, 372.9093322753906]","[11178418.577575713, 2563831.5302604903, 372.9093322753906]"
439,467.761339872284,467.8538176717917,cruise,False,True,-2.941839543307438,"[11178418.577575713, 2563831.5302604903, 372.9093322753906]","[11178418.260618282, 2563832.880730872, 372.9093322753906]"
440,467.8538176717917,467.9462954712995,cruise,False,True,-2.9440079986933227,"[11178418.260618282, 2563832.880730872, 372.9093322753906]","[11178417.94366085, 2563834.2312012543, 372.9093322753906]"
441,467.9462954712995,469.00385664840536,cruise,False,True,-2.968767748974969,"[11178417.94366085, 2563834.2312012543, 372.9093322753906]","[11178414.318986868, 2563849.674962398, 372.9093322753906]"
442,469.00385664840536,470.06141782551117,cruise,False,True,-2.993457235373171,"[11178414.318986868, 2563849.674962398, 372.9093322753906]","[11178410.694312885, 2563865.1187235415, 372.9093322753906]"
443,470.06141782551117,471.11897900259,cruise,False,True,-3.0180768549033132,"[11178410.694312885, 2563865.1187235415, 372.9093322753906]","[11178407.069638904, 2563880.562484685, 372.9093322753906]"
444,471.11897900259,472.17654017966885,cruise,False,True,-3.042627001233484,"[11178407.069638904, 2563880.562484685, 372.9093322753906]","[11178403.444964921, 2563896.0062458287, 372.9093322753906]"
445,472.17654017966885,473.2341013567612,cruise,False,True,-3.0671080647152564,"[11178403.444964921, 2563896.0062458287, 372.9093322753906]","[11178399.820290938, 2563911.450006972, 372.9093322753906]"
446,473.2341013567612,474.2916625338536,cruise,False,True,-3.0915204324282115,"[11178399.820290938, 2563911.450006972, 372.9093322753906]","[11178396.195616955, 2563926.893768116, 372.9093322753906]"
447,474.2916625338536,475.1740196202916,cruise,False,True,-3.111836161115349,"[11178396.195616955, 2563926.893768116, 372.9093322753906]","[11178393.171435617, 2563939.778991573, 372.9093322753906]"
448,475.1740196202916,476.05637670672957,cruise,False,True,-3.132104558473486,"[11178393.171435617, 2563939.778991573, 372.9093322753906]","[11178390.14725428, 2563952.6642150297, 372.9093322753906]"
449,476.05637670672957,476.23158079738397,cruise,False,True,-3.136123513475326,"[11178390.14725428, 2563952.6642150297, 372.9093322753906]","[11178389.546761636, 2563955.2227527164, 372.9093322753906]"
450,476.23158079738397,476.4067848880383,cruise,False,True,-3.140140612697536,"[11178389.546761636, 2563955.2227527164, 372.9093322753906]","[11178388.94626899, 2563957.7812904026, 372.9093322753906]"
451,476.4067848880383,477.4643460651171,cruise,False,True,-3.164349183360997,"[11178388.94626899, 2563957.7812904026, 372.9093322753906]","[11178385.321595008, 2563973.2250515465, 372.9093322753906]"
452,477.4643460651171,478.52190724219594,cruise,False,True,-3.188490574534825,"[11178385.321595008, 2563973.2250515465, 372.9093322753906]","[11178381.696921024, 2563988.66881269, 372.9093322753906]"
453,478.52190724219594,479.5794684193018,cruise,False,True,-3.2125651574586698,"[11178381.696921024, 2563988.66881269, 372.9093322753906]","[11178378.072247041, 2564004.1125738337, 372.9093322753906]"
454,479.5794684193018,480.6370295964077,cruise,False,True,-3.23657330030548,"[11178378.072247041, 2564004.1125738337, 372.9093322753906]","[11178374.447573058, 2564019.556334977, 372.9093322753906]"
455,480.6370295964077,481.6945907734865,cruise,False,True,-3.26051536821997,"[11178374.447573058, 2564019.556334977, 372.9093322753906]","[11178370.822899077, 2564035.000096121, 372.9093322753906]"
456,481.6945907734865,482.7521519505653,cruise,False,True,-3.2843917233486906,"[11178370.822899077, 2564035.000096121, 372.9093322753906]","[11178367.198225094, 2564050.4438572642, 372.9093322753906]"
457,482.7521519505653,483.5517827458701,cruise,False,True,-3.3024014260966794,"[11178367.198225094, 2564050.4438572642, 372.9093322753906]","[11178364.457578972, 2564062.1210134164, 372.9093322753906]"
458,483.5517827458701,484.35141354117496,cruise,False,True,-3.320373920412578,"[11178364.457578972, 2564062.1210134164, 372.9093322753906]","[11178361.71693285, 2564073.798169569, 372.9093322753906]"
459,484.35141354117496,484.609343922949,cruise,False,True,-3.326163249891607,"[11178361.71693285, 2564073.798169569, 372.9093322753906]","[11178360.832904989, 2564077.56477456, 372.9093322753906]"
460,484.609343922949,484.867274304723,cruise,False,True,-3.331948729044285,"[11178360.832904989, 2564077.56477456, 372.9093322753906]","[11178359.94887713, 2564081.331379551, 372.9093322753906]"
461,484.867274304723,485.9248354818289,cruise,False,True,-3.3556300892118998,"[11178359.94887713, 2564081.331379551, 372.9093322753906]","[11178356.324203145, 2564096.775140695, 372.9093322753906]"
462,485.9248354818289,486.98239665893476,cruise,False,True,-3.3792471558532213,"[11178356.324203145, 2564096.775140695, 372.9093322753906]","[11178352.699529164, 2564112.2189018386, 372.9093322753906]"
463,486.98239665893476,488.0399578360136,cruise,False,True,-3.402800276611046,"[11178352.699529164, 2564112.2189018386, 372.9093322753906]","[11178349.07485518, 2564127.662662982, 372.9093322753906]"
464,488.0399578360136,489.09751901309244,cruise,False,True,-3.426289796318514,"[11178349.07485518, 2564127.662662982, 372.9093322753906]","[11178345.4501812, 2564143.1064241254, 372.9093322753906]"
465,489.09751901309244,490.15508019018483,cruise,False,True,-3.4497160570342373,"[11178345.4501812, 2564143.1064241254, 372.9093322753906]","[11178341.825507214, 2564158.550185269, 372.9093322753906]"
466,490.15508019018483,491.2126413672772,cruise,False,True,-3.473079398062481,"[11178341.825507214, 2564158.550185269, 372.9093322753906]","[11178338.200833233, 2564173.9939464126, 372.9093322753906]"
467,491.2126413672772,491.92954587123666,cruise,False,True,-3.48888143682899,"[11178338.200833233, 2564173.9939464126, 372.9093322753906]","[11178335.743722325, 2564184.4630352575, 372.9093322753906]"
468,491.92954587123666,492.64645037519614,cruise,False,True,-3.504654821135091,"[11178335.743722325, 2564184.4630352575, 372.9093322753906]","[11178333.286611417, 2564194.932124102, 372.9093322753906]"
