resource_id,battery_type,task_id,busy_start,busy_end,use_end,charge_start,charge_end,energy_kwh
C-B01,C,K25-001,0.0,2499.5269879058733,1117.426741156066,1117.426741156066,2499.5269879058733,2.026216295691595
C-B02,C,K25-002,0.0,3923.2048194603467,1733.0081198540017,1733.0081198540017,3923.2048194603467,5.009957044700351
C-B03,C,K25-003,1117.426741156066,3731.6985629389765,2300.2906272183127,2300.2906272183127,3731.6985629389765,2.208275454968606
C-B04,C,K25-004,1733.0081198540017,5217.492847933174,3460.4902193372072,3460.4902193372072,5217.492847933174,3.4104712440466476
B-B01,B,K25-005,0.0,2860.3648040614744,1404.5722402424637,1404.5722402424637,2860.3648040614744,1.8210597626592548
B-B02,B,K25-006,0.0,3634.4242169309764,1773.8013868098371,1773.8013868098371,3634.4242169309764,2.7552834541257063
B-B03,B,K25-007,1404.5722402424637,4222.295440470367,2764.973179189912,2764.973179189912,4222.295440470367,1.8245898337241249
B-B04,B,K25-008,1773.8013868098371,5085.230886610049,3492.3998384076576,3492.3998384076576,5085.230886610049,2.137302418928596
C-B01,C,K25-009,2499.5269879058733,6752.080130647302,4557.337838947178,4557.337838947178,6752.080130647302,5.026740769354303
C-B03,C,K25-010,3731.6985629389765,7919.670636502468,5658.884053866068,5658.884053866068,7919.670636502468,5.270596612811326
C-B02,C,K25-011,4557.337838947178,9000.839252228338,6581.097724999439,6581.097724999439,9000.839252228338,5.8575071774605485
B-B01,B,K25-012,2860.3648040614744,6208.00967932314,4539.938897678325,4539.938897678325,6208.00967932314,2.3109325730264962
C-B04,C,K25-013,5658.884053866068,8973.855107794468,7160.929670916888,7160.929670916888,8973.855107794468,3.6169554592402924
B-B02,B,K25-014,3634.4242169309764,6622.939938765296,5045.204003904621,5045.204003904621,6622.939938765296,2.102467541986173
B-B03,B,K25-015,4539.938897678325,6713.012245558209,5579.569701874682,5579.569701874682,6713.012245558209,1.0771751008081385
C-B01,C,K25-016,6752.080130647302,9396.197046411551,7935.506871803368,7935.506871803368,9396.197046411551,2.316394490860985
C-B03,C,K25-017,7919.670636502468,10500.001955699856,9103.097377658534,9103.097377658534,10500.001955699856,2.080878441998727
C-B04,C,K25-018,8973.855107794468,11643.912447746237,10157.281848950535,10157.281848950535,11643.912447746237,2.412174518630284
B-B04,B,K25-019,5085.230886610049,8388.205975945111,6695.120921747254,6695.120921747254,8388.205975945111,2.3686578173796686
C-B02,C,K25-020,9103.097377658534,13055.002391342168,10836.105497512535,10836.105497512535,13055.002391342168,5.115926992601718
B-B01,B,K25-021,6208.00967932314,9795.095948065618,8078.252484303247,8078.252484303247,9795.095948065618,2.4234849163747043
C-B01,C,K25-022,10157.281848950535,14439.181953546058,12215.092699991841,12215.092699991841,14439.181953546058,5.135098782354034
C-B03,C,K25-023,10836.105497512535,15007.891025495856,12763.290988439627,12763.290988439627,15007.891025495856,5.21083090605377
C-B04,C,K25-024,12215.092699991841,15518.942261715296,13717.138317042662,13717.138317042662,15518.942261715296,3.5758914880220316
C-B02,C,K25-025,13055.002391342168,15662.235231340175,14237.866277404415,14237.866277404415,15662.235231340175,2.182285368378188
