interval_id,block_id,start_time,end_time,transport_position_start,transport_position_end,transport_phase
B1-P1,1,411.7364440917969,952.3754238124606,"{""lon"": 109.2308517, ""lat"": 23.0085095, ""altitude_m"": 372.9093322753906}","{""lon"": 109.2127472, ""lat"": 23.0795113, ""altitude_m"": 372.9093322753906}",cruise
B4-P1,4,1057.1822674810803,1597.8063757169753,"{""lon"": 109.2127472, ""lat"": 23.0795113, ""altitude_m"": 372.9093322753906}","{""lon"": 109.2308517, ""lat"": 23.0085095, ""altitude_m"": 372.9093322753906}",cruise
