box_id,task_id,arrival_time,completion_time,hard_deadline,late_flag,lateness,source_function
S003-FOD-02,K26-021,7640.920580821427,7850.920580821427,,False,0.0,eval_A.deadline_A
S003-HYG-01,K26-021,7640.920580821427,7850.920580821427,,False,0.0,eval_A.deadline_A
S003-WAT-03,K26-022,11697.769066557907,11985.769066557907,,False,0.0,eval_A.deadline_A
S003-WAT-04,K26-022,11697.769066557907,11985.769066557907,,False,0.0,eval_A.deadline_A
S003-FOD-01,K26-022,11697.769066557907,11985.769066557907,,False,0.0,eval_A.deadline_A
S004-WAT-03,K26-023,12835.718316366609,13123.718316366609,,False,0.0,eval_A.deadline_A
S004-FOD-01,K26-023,12835.718316366609,13123.718316366609,,False,0.0,eval_A.deadline_A
S004-HYG-01,K26-023,12835.718316366609,13123.718316366609,,False,0.0,eval_A.deadline_A
S005-WAT-03,K26-024,13664.915982333552,13952.915982333552,,False,0.0,eval_A.deadline_A
S005-FOD-01,K26-024,13664.915982333552,13952.915982333552,,False,0.0,eval_A.deadline_A
S005-HYG-01,K26-024,13664.915982333552,13952.915982333552,,False,0.0,eval_A.deadline_A
S006-WAT-03,K26-025,14678.168857465946,14966.168857465946,,False,0.0,eval_A.deadline_A
S006-FOD-01,K26-025,14678.168857465946,14966.168857465946,,False,0.0,eval_A.deadline_A
S006-HYG-01,K26-025,14678.168857465946,14966.168857465946,,False,0.0,eval_A.deadline_A
S008-WAT-02,K26-026,16080.183480405452,16368.183480405452,,False,0.0,eval_A.deadline_A
S008-FOD-01,K26-026,16080.183480405452,16368.183480405452,,False,0.0,eval_A.deadline_A
S008-HYG-01,K26-026,16080.183480405452,16368.183480405452,,False,0.0,eval_A.deadline_A
