x,y,altitude,ground,access_margin,backhaul_margin,joint_margin,relay_energy_kwh,relay_energy_available_kwh,relay_energy_ok,valid,dmax_m,backhaul_distance_m,candidate_id,source,height_offset,dem_ok,height_ok,energy_ok,feasible
109.21514400714284,23.05926800571429,329.542221069336,254.54222106933594,-1.1557486982438547,0.5709229481463325,-1.1557486982438547,0.5898410799078215,2.5600000000000005,True,False,2265.04165465204,5871.412740418137,S008-L000000,super_local,75.00000000000006,True,True,True,False
109.21514400714284,23.05926800571429,339.542221069336,254.54222106933594,-1.1568260397207268,0.5704522087248307,-1.1568260397207268,0.5889516701855992,2.5600000000000005,True,False,2265.322613167987,5871.730955413898,S008-L000001,super_local,85.00000000000006,True,True,True,False
109.21514400714284,23.05926800571429,349.542221069336,254.54222106933594,-1.1580723286836445,0.5699563300021566,-1.1580723286836445,0.5880622604633771,2.5600000000000005,True,False,2265.6476747613747,5872.066182970624,S008-L000002,super_local,95.00000000000006,True,True,True,False
109.21514400714284,23.05926800571429,359.542221069336,254.54222106933594,-1.1594874196475473,0.569435320594522,-1.1594874196475473,0.5871728507411549,2.5600000000000005,True,False,2266.016820452357,5872.418420174825,S008-L000003,super_local,105.00000000000006,True,True,True,False
109.21514400714284,23.05926800571429,369.542221069336,254.54222106933594,-1.16107114754044,0.5688891895523227,-1.16107114754044,0.5862834410189326,2.5600000000000005,True,False,2266.43002870029,5872.7876639658925,S008-L000004,super_local,115.00000000000006,True,True,True,False
109.21514400714284,23.05926800571429,379.542221069336,254.54222106933594,-1.1628233277673985,0.5683179463595991,-1.1628233277673985,0.5853940312967103,2.5600000000000005,True,False,2266.8872754100025,5873.173911136239,S008-L000005,super_local,125.00000000000006,True,True,True,False
109.21514400714284,23.05926800571429,389.542221069336,254.54222106933594,-1.1647437562821779,0.5677216009335382,-1.1647437562821779,0.5845046215744882,2.5600000000000005,True,False,2267.3885339388066,5873.577158331432,S008-L000006,super_local,135.00000000000006,True,True,True,False
109.21514400714284,23.05926800571429,399.542221069336,254.54222106933594,-1.166832209666154,0.5671001636238486,-1.166832209666154,0.583615211852266,2.5600000000000005,True,False,2267.933775104237,5873.997402050339,S008-L000007,super_local,145.00000000000006,True,True,True,False
109.21514400714284,23.05926800571429,409.542221069336,254.54222106933594,-1.1690884452146975,0.5664536452122064,-1.1690884452146975,0.5827258021300437,2.5600000000000005,True,False,2268.5229671925176,5874.434638645281,S008-L000008,super_local,155.00000000000006,True,True,True,False
109.21514400714284,23.05926800571429,419.542221069336,254.54222106933594,-1.1715122010307937,0.565782056911587,-1.1715122010307937,0.5836064149256616,2.5600000000000005,True,False,2269.156075967744,5874.888864322193,S008-L000009,super_local,165.00000000000006,True,True,True,False
109.21514400714284,23.05926800571429,429.542221069336,254.54222106933594,-1.1741031961258557,0.5650854103656542,-1.1741031961258557,0.5844958246478837,2.5600000000000005,True,False,2269.833064681788,5875.360075140781,S008-L000010,super_local,175.00000000000006,True,True,True,False
