K,task_id,service,type,start_time,box_count,transport_feasible,reserve_ok,hard_deadline_ok,communication_ok,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,failure_stage
26,K26-001,S001,C,0.0,3,True,True,True,True,True,True,True,2.026216295691595,0.0,
26,K26-002,S002,C,0.0,3,True,True,True,False,False,False,False,5.009957044700351,,COMMUNICATION
26,K26-003,S006,C,1117.426741156066,3,True,True,True,True,True,True,True,2.208275454968606,0.0,
26,K26-004,S007,C,1733.0081198540017,5,True,True,True,True,True,True,True,3.4104712440466476,,
26,K26-005,S010,B,0.0,3,True,True,True,True,True,True,True,1.8210597626592548,,
26,K26-006,S012,B,0.0,3,True,True,True,False,False,False,False,2.7552834541257063,,COMMUNICATION
26,K26-007,S013,B,1404.5722402424637,3,True,True,True,True,True,True,True,1.8245898337241249,,
26,K26-008,S014,B,1773.8013868098371,3,True,True,True,True,True,True,True,2.137302418928596,,
26,K26-009,S003,C,2499.5269879058733,3,True,True,True,False,False,False,False,5.026740769354303,,COMMUNICATION
26,K26-010,S004,C,3731.6985629389765,3,True,True,True,True,False,False,False,5.270596612811326,,RELAY_RESOURCE
26,K26-011,S008,C,4557.337838947178,2,True,True,True,True,False,False,False,5.237024013235998,,RELAY_RESOURCE
26,K26-012,S015,B,2860.3648040614744,3,True,True,True,True,True,True,True,2.3109325730264962,,
26,K26-013,S005,C,5658.884053866068,3,True,True,True,True,True,True,True,3.6169554592402924,,
26,K26-014,S009,B,3634.4242169309764,3,True,True,True,True,False,False,False,2.102467541986173,,RELAY_RESOURCE
26,K26-015,S011,B,4539.938897678325,3,True,True,True,True,True,True,True,1.0771751008081385,0.0,
26,K26-016,S001,C,6752.080130647302,4,True,True,True,True,True,True,True,2.316394490860985,0.0,
26,K26-017,S001,C,7919.670636502468,4,True,True,True,True,True,True,True,2.080878441998727,0.0,
26,K26-018,S001,C,8634.791728584189,4,True,True,True,True,True,True,True,2.412174518630284,0.0,
26,K26-019,S002,B,5085.230886610049,2,True,True,True,False,False,False,False,2.3686578173796686,,COMMUNICATION
26,K26-020,S002,C,9103.097377658534,3,True,True,True,False,False,False,False,5.115926992601718,,COMMUNICATION
26,K26-021,S003,B,6208.00967932314,2,True,True,True,False,False,False,False,2.4234849163747043,,COMMUNICATION
26,K26-022,S003,C,9818.218469740255,3,True,True,True,False,False,False,False,5.135098782354034,,COMMUNICATION
26,K26-023,S004,C,10836.105497512535,3,True,True,True,True,False,False,False,5.21083090605377,,RELAY_RESOURCE
26,K26-024,S005,C,11876.02932078156,3,True,True,True,True,True,True,True,3.5758914880220316,,
26,K26-025,S006,C,13055.002391342168,3,True,True,True,True,True,True,True,2.182285368378188,0.0,
26,K26-026,S008,C,14100.118574335776,3,True,True,True,True,False,False,False,5.421408897196803,,RELAY_RESOURCE
