service,sortie,candidate_id,candidate_hover_x,candidate_hover_y,candidate_altitude,required_interval_count,min_access_margin_db,min_backhaul_margin_db,access_pass,backhaul_pass,rejection_reason
S002,Q2-003,S002-H000-Z100,109.2308517,23.0085095,228.7255401611328,1,-11.480964783662245,37.773336466538254,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H000-Z200,109.2308517,23.0085095,328.7255401611328,1,-11.481396246673157,30.79097812489792,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H000-Z300,109.2308517,23.0085095,428.7255401611328,1,-11.483896504973274,26.970859340833385,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H001-Z100,109.2308517,23.029115366666666,270.18287658691406,1,-8.684192036026857,8.731853409903152,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H001-Z200,109.2308517,23.029115366666666,370.18287658691406,1,-8.687202425410902,8.703490603162393,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H001-Z300,109.2308517,23.029115366666666,470.18287658691406,1,-8.693196568745606,8.659058021986539,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H002-Z100,109.2308517,23.049721233333333,263.80718994140625,1,-5.289379348223633,2.7208590095785326,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H002-Z200,109.2308517,23.049721233333333,363.80718994140625,1,-5.295514192058832,2.7139983156833125,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H002-Z300,109.2308517,23.049721233333333,463.80718994140625,1,-5.30817731817308,2.7030298799830774,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H003-Z100,109.2308517,23.0703271,377.7903747558594,1,-5.096765333275556,-0.8030425153341696,False,False,ACCESS_AND_BACKHAUL_FAIL
S002,Q2-003,S002-H003-Z200,109.2308517,23.0703271,477.7903747558594,1,-5.104876868958627,-0.8081826404689991,False,False,ACCESS_AND_BACKHAUL_FAIL
S002,Q2-003,S002-H003-Z300,109.2308517,23.0703271,577.7903747558594,1,-5.119774698688488,-0.8151482170741815,False,False,ACCESS_AND_BACKHAUL_FAIL
S002,Q2-003,S002-H004-Z100,109.2400851,23.0085095,299.92372131347656,1,-11.115264033333645,16.325611116944202,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H004-Z200,109.2400851,23.0085095,399.92372131347656,1,-11.117492240463122,16.13801813421783,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H004-Z300,109.2400851,23.0085095,499.92372131347656,1,-11.121426092718849,15.871948238019186,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H005-Z100,109.2400851,23.029115366666666,266.5621795654297,1,-7.959025458722365,8.051989084092597,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H005-Z200,109.2400851,23.029115366666666,366.5621795654297,1,-7.96245481656446,8.028232733255791,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H005-Z300,109.2400851,23.029115366666666,466.5621795654297,1,-7.96940901108573,7.99067403855598,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H006-Z100,109.2400851,23.049721233333333,401.51104736328125,1,-3.526298307649668,2.5300067321397677,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H006-Z200,109.2400851,23.049721233333333,501.51104736328125,1,-3.5489959239024955,2.5180050863518346,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H006-Z300,109.2400851,23.049721233333333,601.5110473632812,1,-3.5812715704570337,2.5021042411269576,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H007-Z100,109.2400851,23.0703271,341.7190856933594,1,-4.374191135009696,-0.8828956294429418,False,False,ACCESS_AND_BACKHAUL_FAIL
S002,Q2-003,S002-H007-Z200,109.2400851,23.0703271,441.7190856933594,1,-4.380864268504652,-0.8872925756976571,False,False,ACCESS_AND_BACKHAUL_FAIL
S002,Q2-003,S002-H007-Z300,109.2400851,23.0703271,541.7190856933594,1,-4.395563945872041,-0.8934838560387846,False,False,ACCESS_AND_BACKHAUL_FAIL
S002,Q2-003,S002-H008-Z100,109.2493185,23.0085095,399.7026672363281,1,-10.882429544532854,10.339730521745238,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H008-Z200,109.2493185,23.0085095,499.7026672363281,1,-10.886578098489807,10.268175853010462,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H008-Z300,109.2493185,23.0085095,599.7026672363281,1,-10.892521873133092,10.174720929832432,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H009-Z100,109.2493185,23.029115366666666,293.3226318359375,1,-7.458313763723567,6.479552571928295,False,True,ACCESS_LINK_FAIL
S002,Q2-003,S002-H009-Z200,109.2493185,23.029115366666666,393.3226318359375,1,-7.463222390252582,6.460381242674629,False,True,ACCESS_LINK_FAIL
