resource_id,task_id,busy_start,busy_end,charge_start,charge_end
C01,K19-004,2071.4525012669105,3124.297626473608,3124.297626473608,3567.7663941137253
C02,K19-004,2219.3997245519695,3367.842553753615,3367.842553753615,3860.244129898112
C03,K19-004,2481.1363120763835,3613.231823773147,3613.231823773147,4095.7994667311123
C04,K19-004,2700.850820960395,3753.6614062633284,3753.6614062633284,4197.109395992588
C01,K19-005,46.84391702307363,1072.5265512379156,1072.5265512379156,1518.114114323672
C02,K19-005,200.0013362125028,1266.477013232653,1266.477013232653,1732.1312169752564
C03,K19-005,323.6159504703153,1384.48919178083,1384.48919178083,1846.773180291856
C04,K19-005,517.0454052832492,1542.7039698868707,1542.7039698868707,1988.2770535971272
C01,K19-007,1446.6911094175282,2458.9553925439304,2458.9553925439304,2903.47175425952
C02,K19-007,1582.270361228047,2675.4499815662257,2675.4499815662257,3156.5909777525158
C03,K19-007,1691.2630907202347,2781.2772561430484,2781.2772561430484,3260.5140333568147
C04,K19-007,1894.778051446631,2907.0027227956093,2907.0027227956093,3351.495255551342
C01,K19-008,1808.8105692756908,3018.806626480835,3018.806626480835,3546.2792496268894
C02,K19-008,1961.065165577445,3311.2214144741356,3311.2214144741356,3910.2477311382354
C03,K19-008,2147.4441206555703,3481.537210372573,3481.537210372573,4070.900532842641
C04,K19-008,2436.228737953884,3646.2335760671294,3646.2335760671294,4173.711481478213
C01,K19-010,4350.334872108633,5751.411440211312,5751.411440211312,6392.3296775121635
C02,K19-010,4580.2008217218,6137.644592876594,6137.644592876594,6794.285285619466
C03,K19-010,4881.170404851682,6421.620259380501,6421.620259380501,7076.151464208863
C04,K19-010,5235.658860149615,6636.7329430974205,6636.7329430974205,7277.650871911165
C01,K19-011,5266.791979633731,6707.588668730034,6707.588668730034,7354.121629425752
C02,K19-011,5507.593846756851,7074.089088008894,7074.089088008894,7732.261946941076
C03,K19-011,5738.598512894547,7294.892820919049,7294.892820919049,7951.799418174549
C04,K19-011,6079.239358402247,7520.021176013781,7520.021176013781,8166.552290683177
C01,K19-012,2876.9329753214224,4148.101387286699,4148.101387286699,4719.504683159426
C02,K19-012,3052.203054358937,4401.793797923159,4401.793797923159,5006.199080680772
C03,K19-012,3181.122756507374,4524.226883046857,4524.226883046857,5124.730060250526
C04,K19-012,3439.586098133418,4710.702358091554,4710.702358091554,5282.074281272486
C01,K19-013,6549.9746191376125,7574.5260487173655,7574.5260487173655,8041.7610234127405
C02,K19-013,6698.2240301761785,7860.023149943846,7860.023149943846,8387.908654951274
C03,K19-013,6979.929474512116,8128.587505412595,8128.587505412595,8648.567824148355
C04,K19-013,7237.712579105702,8262.263705800096,8262.263705800096,8729.498498290997
C01,K19-014,3634.183607044593,4711.425999338795,4711.425999338795,5212.155684036281
C02,K19-014,3830.085383634357,4916.945789048949,4916.945789048949,5426.05374956598
C03,K19-014,3945.3769485757634,5028.022093166788,5028.022093166788,5534.594310844641
C04,K19-014,4152.074987645048,5229.294405711984,5229.294405711984,5730.010269975878
