sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok
Q2-001,U07,C,C-B01,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",223.35029205447427,S001,1472.2519118010548,432,1784.7835315476354,2.9263177459975083,0.6342102817503115,True
Q2-002,U08,C,C-B02,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",11895.578786006987,S001,13210.480405753568,468,13523.012025500148,3.004744020262608,0.624406997467174,True
Q2-003,U05,B,B-B01,"['S002-FOD-02', 'S002-HYG-01']",13823.012025500157,S002,14984.91356984904,210,15582.935114197926,2.368728646438021,0.4078178383904948,True
Q2-004,U07,C,C-B03,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",2111.069413292717,S002,3600.0,396,4222.110586707283,6.300962619023563,0.2123796726220546,True
Q2-005,U06,B,B-B02,"['S003-FOD-02', 'S003-HYG-01']",96442.74582872237,S003,97730.88409483265,210,98463.07569427628,2.423671474747147,0.39408213131321324,True
Q2-006,U08,C,C-B04,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",4714.934319627591,S003,6360.343275435147,396,7150.832231242703,6.322851263069863,0.20964359211626715,True
Q2-007,U07,C,C-B01,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",5614.436011959017,S004,7200.0,396,7919.623988040983,6.176933464710716,0.22788331691116048,True
Q2-008,U08,C,C-B02,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",8034.196128543877,S005,9408.854088511967,396,9914.242048480057,4.238781800099432,0.47015227498757095,True
Q2-009,U08,C,C-B03,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",1849.7986177020393,S006,3058.8749360620222,396,3410.661254422006,2.59397203090111,0.6757534961373612,False
Q2-010,U07,C,C-B04,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",203.55277390574338,S007,1551.2710935992282,360,2111.069413292713,3.410630658987098,0.5736711676266127,False
Q2-011,U08,C,C-B02,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",3410.661254421986,S008,4910.388633190501,360,5614.4360119590165,5.8575758150825585,0.2678030231146802,False
Q2-012,U05,B,B-B03,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",7450.832231242679,S009,8542.823611843134,240,9011.63499244359,2.1025167724731753,0.4743708068817062,True
Q2-013,U06,B,B-B04,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",2515.165178406489,S010,3599.9999999999977,240,4069.7614882601733,1.8211113403975845,0.5447221649006039,True
Q2-014,U05,B,B-B01,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",4234.934319627591,S011,5141.938767940404,240,5424.5698829198855,1.0771852988708592,0.7307036752822852,True
Q2-015,U06,B,B-B02,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",2311.0449806205033,S012,3582.919650124045,240,4234.934319627587,2.7554719231198046,0.31113201922004885,False
Q2-016,U05,B,B-B03,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",320.604429895644,S013,1383.3580385914138,240,1831.044980620516,1.8246747161043195,0.5438313209739201,False
Q2-017,U06,B,B-B04,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",180.0,S014,1421.8515020115265,240,2048.5896706897183,2.13728360269695,0.46567909932576246,False
Q2-018,U05,B,B-B01,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",5724.569882919899,S015,6942.823005731895,240,7554.196128543891,2.3110443273275134,0.42223891816812165,False
