candidate_id,route,visit_order,box_ids,drone_type,transport_feasible,hard_deadline_ok,communication_edge_feasible,soft_lateness,transport_energy,route_feasible_level,skeleton_id
Q3V2-000214,O01->S004->O01,S004,"[""S004-MED-01"", ""S004-WAT-01"", ""S004-WAT-02"", ""S004-WAT-03"", ""S004-FOD-01"", ""S004-HYG-01""]",C,True,True,True,0,6.176921994765144,ROUTE_LEVEL_CANDIDATE,SK-00004
Q3V2-000236,O01->S005->O01,S005,"[""S005-MED-01"", ""S005-WAT-01"", ""S005-WAT-02"", ""S005-WAT-03"", ""S005-FOD-01"", ""S005-HYG-01""]",C,True,True,True,0,4.238780402167004,ROUTE_LEVEL_CANDIDATE,SK-00005
Q3V2-000258,O01->S006->O01,S006,"[""S006-MED-01"", ""S006-WAT-01"", ""S006-WAT-02"", ""S006-WAT-03"", ""S006-FOD-01"", ""S006-HYG-01""]",C,True,True,True,0,2.5939777970962483,ROUTE_LEVEL_CANDIDATE,SK-00006
Q3V2-006456,O01->S011->S008->O01,S011>S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02"", ""S008-FOD-01"", ""S008-HYG-01"", ""S011-MED-01"", ""S011-WAT-01"", ""S011-FOD-01""]",C,True,True,True,0,6.377504024520855,ROUTE_LEVEL_CANDIDATE,SK-00162
Q3V2-006742,O01->S012->S009->O01,S012>S009,"[""S009-MED-01"", ""S009-WAT-01"", ""S009-FOD-01"", ""S012-MED-01"", ""S012-WAT-01"", ""S012-FOD-01""]",C,True,True,True,0,6.046192797438359,ROUTE_LEVEL_CANDIDATE,SK-00177
Q3V2-007631,O01->S015->S007->O01,S015>S007,"[""S007-MED-01"", ""S007-WAT-01"", ""S007-WAT-02"", ""S007-FOD-01"", ""S007-HYG-01"", ""S015-MED-01"", ""S015-WAT-01"", ""S015-FOD-01""]",C,True,True,True,0,5.88458901142905,ROUTE_LEVEL_CANDIDATE,SK-00216
Q3V2-057841,O01->S013->S012->S002->O01,S013>S012>S002,"[""S002-MED-01"", ""S002-FOD-01""]",C,True,True,True,0,5.8719462393727095,ROUTE_LEVEL_CANDIDATE,SK-02516
Q3V2-057844,O01->S013->S012->S002->O01,S013>S012>S002,"[""S002-WAT-01"", ""S002-WAT-02""]",C,True,True,True,0,6.225879218410719,ROUTE_LEVEL_CANDIDATE,SK-02516
Q3V2-057855,O01->S013->S012->S002->O01,S013>S012>S002,"[""S002-WAT-03"", ""S002-WAT-04""]",C,True,True,True,0,6.225879218410719,ROUTE_LEVEL_CANDIDATE,SK-02516
Q3V2-057864,O01->S013->S012->S002->O01,S013>S012>S002,"[""S002-FOD-02"", ""S002-HYG-01""]",C,True,True,True,0,5.919952837633933,ROUTE_LEVEL_CANDIDATE,SK-02516
Q3V2-059226,O01->S014->S010->S013->O01,S014>S010>S013,"[""S010-MED-01"", ""S010-WAT-01"", ""S010-FOD-01"", ""S013-MED-01"", ""S013-WAT-01"", ""S013-FOD-01"", ""S014-MED-01"", ""S014-WAT-01"", ""S014-FOD-01""]",C,True,True,True,0,6.362079248767657,ROUTE_LEVEL_CANDIDATE,SK-02680
Q3V2-060770,O01->S015->S007->S003->O01,S015>S007>S003,"[""S003-MED-01"", ""S003-WAT-02""]",C,True,True,True,0,6.035761955135839,ROUTE_LEVEL_CANDIDATE,SK-02800
Q3V2-060780,O01->S015->S007->S003->O01,S015>S007>S003,"[""S003-WAT-01"", ""S003-FOD-02""]",C,True,True,True,0,6.14219473556419,ROUTE_LEVEL_CANDIDATE,SK-02800
Q3V2-060790,O01->S015->S007->S003->O01,S015>S007>S003,"[""S003-WAT-03"", ""S003-HYG-01""]",C,True,True,True,0,6.097519076775539,ROUTE_LEVEL_CANDIDATE,SK-02800
Q3V2-060791,O01->S015->S007->S003->O01,S015>S007>S003,"[""S003-WAT-04"", ""S003-FOD-01""]",C,True,True,True,0,6.14219473556419,ROUTE_LEVEL_CANDIDATE,SK-02800
Q3V2-061201,O01->S015->S011->S001->O01,S015>S011>S001,"[""S001-FOD-01""]",C,True,True,True,0,4.8532165292379394,ROUTE_LEVEL_CANDIDATE,SK-02850
Q3V2-061223,O01->S015->S011->S001->O01,S015>S011>S001,"[""S001-MED-01"", ""S001-WAT-05""]",C,True,True,True,0,5.01407567325213,ROUTE_LEVEL_CANDIDATE,SK-02850
Q3V2-061239,O01->S015->S011->S001->O01,S015>S011>S001,"[""S001-MED-02"", ""S001-WAT-08""]",C,True,True,True,0,5.01407567325213,ROUTE_LEVEL_CANDIDATE,SK-02850
Q3V2-061255,O01->S015->S011->S001->O01,S015>S011>S001,"[""S001-WAT-01"", ""S001-HYG-01""]",C,True,True,True,0,5.0811448011178255,ROUTE_LEVEL_CANDIDATE,SK-02850
Q3V2-061257,O01->S015->S011->S001->O01,S015>S011>S001,"[""S001-WAT-02"", ""S001-WAT-03""]",C,True,True,True,0,5.294111028362264,ROUTE_LEVEL_CANDIDATE,SK-02850
Q3V2-061283,O01->S015->S011->S001->O01,S015>S011>S001,"[""S001-WAT-04"", ""S001-FOD-02""]",C,True,True,True,0,5.129633269950959,ROUTE_LEVEL_CANDIDATE,SK-02850
Q3V2-061299,O01->S015->S011->S001->O01,S015>S011>S001,"[""S001-WAT-06"", ""S001-FOD-03""]",C,True,True,True,0,5.129633269950959,ROUTE_LEVEL_CANDIDATE,SK-02850
Q3V2-061307,O01->S015->S011->S001->O01,S015>S011>S001,"[""S001-WAT-07"", ""S001-HYG-02""]",C,True,True,True,0,5.0811448011178255,ROUTE_LEVEL_CANDIDATE,SK-02850
