box_id,K18_sortie,K30_sortie,K18_arrival,K30_arrival,K18_deadline,K30_deadline,K18_lateness,K30_lateness,sortie_changed,arrival_delta_K30_minus_K18
S003-MED-01,Q2-006,Q2-006,10082.74169259924,10082.74169259924,7200.0,7200.0,2882.74169259924,2882.74169259924,False,0.0
S003-WAT-01,Q2-006,Q2-006,10082.74169259924,10082.74169259924,7200.0,7200.0,2882.74169259924,2882.74169259924,False,0.0
S004-MED-01,Q2-007,Q2-007,11646.60081053932,11646.60081053932,7200.0,7200.0,4446.600810539319,4446.600810539319,False,0.0
S004-WAT-01,Q2-007,Q2-007,11646.60081053932,11646.60081053932,7200.0,7200.0,4446.600810539319,4446.600810539319,False,0.0
S005-MED-01,Q2-008,Q2-008,15471.663365911916,15471.663365911916,10800.0,10800.0,4671.663365911916,4671.663365911916,False,0.0
S005-WAT-01,Q2-008,Q2-008,15471.663365911916,15471.663365911916,10800.0,10800.0,4671.663365911916,4671.663365911916,False,0.0
S007-MED-01,Q2-010,Q2-010,4178.759493108051,4178.759493108051,3600.0,3600.0,578.7594931080512,578.7594931080512,False,0.0
S007-WAT-01,Q2-010,Q2-010,4178.759493108051,4178.759493108051,3600.0,3600.0,578.7594931080512,578.7594931080512,False,0.0
S008-MED-01,Q2-011,Q2-011,12882.958027175311,12882.958027175311,7200.0,7200.0,5682.958027175311,5682.958027175311,False,0.0
S008-WAT-01,Q2-011,Q2-011,12882.958027175311,12882.958027175311,7200.0,7200.0,5682.958027175311,5682.958027175311,False,0.0
S009-MED-01,Q2-012,Q2-012,16307.842424804749,16307.842424804749,10800.0,10800.0,5507.842424804749,5507.842424804749,False,0.0
S009-WAT-01,Q2-012,Q2-012,16307.842424804749,16307.842424804749,10800.0,10800.0,5507.842424804749,5507.842424804749,False,0.0
S010-MED-01,Q2-013,Q2-013,5437.130697806637,5437.130697806637,3600.0,3600.0,1837.1306978066368,1837.1306978066368,False,0.0
S010-WAT-01,Q2-013,Q2-013,5437.130697806637,5437.130697806637,3600.0,3600.0,1837.1306978066368,1837.1306978066368,False,0.0
S011-MED-01,Q2-014,Q2-014,17394.05577419282,17394.05577419282,10800.0,10800.0,6594.0557741928205,6594.0557741928205,False,0.0
S011-WAT-01,Q2-014,Q2-014,17394.05577419282,17394.05577419282,10800.0,10800.0,6594.0557741928205,6594.0557741928205,False,0.0
S012-MED-01,Q2-015,Q2-015,6520.4324823050765,6520.4324823050765,3600.0,3600.0,2920.4324823050765,2920.4324823050765,False,0.0
S012-WAT-01,Q2-015,Q2-015,6520.4324823050765,6520.4324823050765,3600.0,3600.0,2920.4324823050765,2920.4324823050765,False,0.0
S013-MED-01,Q2-016,Q2-016,7479.645794762582,7479.645794762582,3600.0,3600.0,3879.645794762582,3879.645794762582,False,0.0
S013-WAT-01,Q2-016,Q2-016,7479.645794762582,7479.645794762582,3600.0,3600.0,3879.645794762582,3879.645794762582,False,0.0
S014-MED-01,Q2-017,Q2-017,8924.298653820144,8924.298653820144,3600.0,3600.0,5324.298653820144,5324.298653820144,False,0.0
S014-WAT-01,Q2-017,Q2-017,8924.298653820144,8924.298653820144,3600.0,3600.0,5324.298653820144,5324.298653820144,False,0.0
S015-MED-01,Q2-018,Q2-018,14094.477921392296,14094.477921392296,7200.0,7200.0,6894.477921392296,6894.477921392296,False,0.0
S015-WAT-01,Q2-018,Q2-018,14094.477921392296,14094.477921392296,10800.0,10800.0,3294.4779213922957,3294.4779213922957,False,0.0
