service_area,direct_full_path_pass,relay_candidate_total,relay_candidate_feasible,best_candidate_x,best_candidate_y,best_candidate_altitude,best_access_margin,best_backhaul_margin,best_joint_margin,relay_feasible,failure_reason
S001,True,123,123,109.2308517,23.0085095,228.7255401611328,inf,37.773336466538254,37.773336466538254,True,NONE
S002,False,123,0,,,,-1.2696405275619043,37.773336466538254,-1.2696405275619043,False,NO_STRICT_FEASIBLE_CANDIDATE
S003,False,123,0,,,,-0.6282669401652612,37.773336466538254,-0.6282669401652612,False,NO_STRICT_FEASIBLE_CANDIDATE
S004,False,123,0,,,,-2.087251999824133,37.773336466538254,-2.087251999824133,False,NO_STRICT_FEASIBLE_CANDIDATE
S005,False,123,48,109.22868301,23.048990155000002,311.0592803955078,7.843603325552635,2.8628629765007787,2.8628629765007787,True,NONE
S006,True,123,123,109.2308517,23.0085095,228.7255401611328,inf,37.773336466538254,37.773336466538254,True,NONE
S007,False,123,39,109.19852399,23.026282235,494.4211730957031,9.098697011618114,4.192591106657645,4.192591106657645,True,NONE
S008,False,123,0,,,,-2.46541531215442,37.773336466538254,-2.46541531215442,False,NO_STRICT_FEASIBLE_CANDIDATE
S009,False,123,27,109.250648795,23.04828049,330.8697967529297,6.749253499136273,2.1989918487714846,2.1989918487714846,True,NONE
S010,False,123,47,109.26924203499999,23.01776719,478.4324951171875,8.704009892505411,3.742647424342749,3.742647424342749,True,NONE
S011,True,123,123,109.2308517,23.0085095,228.7255401611328,inf,37.773336466538254,37.773336466538254,True,NONE
S012,False,123,0,,,,-1.4780906164170347,37.773336466538254,-1.4780906164170347,False,NO_STRICT_FEASIBLE_CANDIDATE
S013,False,123,39,109.26530407,23.027701394999998,411.5611267089844,8.681581994898664,3.6265831932593926,3.6265831932593926,True,NONE
S014,False,123,48,109.275684865,23.00570467,593.4154663085938,7.387527268598745,2.65148723543237,2.65148723543237,True,NONE
S015,False,123,18,109.1923786,23.035806366666666,454.589599609375,2.296580162416447,1.9990722231304403,1.9990722231304403,True,NONE
