primitive_index,start,end,phase,direct_available,relay_required,direct_margin
0,300.0,367.0647021484375,climb,True,False,28.560414627442952
1,367.0647021484375,368.0292890743482,cruise,True,False,28.51891569553254
2,368.0292890743482,368.9938760002589,cruise,True,False,28.39674639289757
3,368.9938760002589,369.4335434149292,cruise,True,False,28.315946660872697
4,369.4335434149292,369.8732108295995,cruise,True,False,28.220570846027613
5,369.8732108295995,370.5476424284574,cruise,True,False,28.048190612379884
6,370.5476424284574,371.2220740273152,cruise,True,False,27.847654767113113
7,371.2220740273152,372.3361730408434,cruise,True,False,27.465458009025966
8,372.3361730408434,373.45027205437157,cruise,True,False,27.03517381304539
9,373.45027205437157,374.1422302794318,cruise,True,False,26.75083441225054
10,374.1422302794318,374.83418850449203,cruise,True,False,26.457448087028112
11,374.83418850449203,375.25632929294574,cruise,True,False,26.27526271163299
12,375.25632929294574,375.6784700813994,cruise,True,False,26.091357548723124
13,375.6784700813994,376.7925690949418,cruise,True,False,25.60139970071964
14,376.7925690949418,377.90666810848427,cruise,True,False,25.110590938501502
15,377.90666810848427,378.8509171439344,cruise,True,False,24.69811593773855
16,378.8509171439344,379.7951661793846,cruise,True,False,24.29143270278169
17,379.7951661793846,379.96501615744836,cruise,True,False,24.21903331899634
18,379.96501615744836,380.1348661355121,cruise,True,False,24.14688508959803
19,380.1348661355121,381.248965149026,cruise,True,False,23.680330852741776
20,381.248965149026,382.3630641625399,cruise,True,False,23.22637179342952
21,382.3630641625399,383.47716317608234,cruise,True,False,22.785871084535543
22,383.47716317608234,384.59126218962473,cruise,True,False,22.359201767086702
23,384.59126218962473,384.67370302182405,cruise,True,False,22.328181408995164
24,384.67370302182405,384.7561438540234,cruise,True,False,22.29723702560166
25,384.7561438540234,385.78780203533796,cruise,True,False,21.91639703437332
26,385.78780203533796,386.8194602166526,cruise,True,False,21.54725956330448
27,386.8194602166526,387.9335592301808,cruise,True,False,21.161440340456494
28,387.9335592301808,389.04765824370895,cruise,True,False,20.78849462771703
29,389.04765824370895,389.3823898863124,cruise,True,False,20.678883785858517
30,389.3823898863124,389.7171215289159,cruise,True,False,20.570375803755184
31,389.7171215289159,390.4964888998406,cruise,True,False,20.321925524641344
32,390.4964888998406,391.27585627076525,cruise,True,False,20.07919217316872
33,391.27585627076525,392.38995528427915,cruise,True,False,19.741767853651965
34,392.38995528427915,393.5040542977931,cruise,True,False,19.415114036950058
35,393.5040542977931,394.09107675080077,cruise,True,False,19.247154047287637
36,394.09107675080077,394.6780992038085,cruise,True,False,19.081964467829664
