box_id,sortie,service,completion_s,hard_ok
S001-MED-01,Q2-001,S001,1248.9016197465805,True
S001-MED-02,Q2-001,S001,1248.9016197465805,True
S001-WAT-01,Q2-001,S001,1248.9016197465805,True
S001-WAT-02,Q2-001,S001,1248.9016197465805,True
S001-WAT-03,Q2-001,S001,1248.9016197465805,True
S001-WAT-04,Q2-001,S001,1248.9016197465805,True
S001-WAT-05,Q2-001,S001,1248.9016197465805,True
S001-WAT-06,Q2-002,S001,1314.9016197465805,True
S001-WAT-07,Q2-002,S001,1314.9016197465805,True
S001-WAT-08,Q2-002,S001,1314.9016197465805,True
S001-FOD-01,Q2-002,S001,1314.9016197465805,True
S001-FOD-02,Q2-002,S001,1314.9016197465805,True
S001-FOD-03,Q2-002,S001,1314.9016197465805,True
S001-HYG-01,Q2-002,S001,1314.9016197465805,True
S001-HYG-02,Q2-002,S001,1314.9016197465805,True
S002-FOD-02,Q2-003,S002,1161.9015443488845,True
S002-HYG-01,Q2-003,S002,1161.9015443488845,True
S002-MED-01,Q2-004,S002,3050.3638262004442,True
S002-WAT-01,Q2-004,S002,3050.3638262004442,True
S002-WAT-02,Q2-004,S002,3050.3638262004442,True
S002-WAT-03,Q2-004,S002,3050.3638262004442,True
S002-WAT-04,Q2-004,S002,3050.3638262004442,True
S002-FOD-01,Q2-004,S002,3050.3638262004442,True
S003-FOD-02,Q2-005,S003,1288.1382661102903,True
S003-HYG-01,Q2-005,S003,1288.1382661102903,True
S003-MED-01,Q2-006,S003,3272.842195300717,True
S003-WAT-01,Q2-006,S003,3272.842195300717,True
S003-WAT-02,Q2-006,S003,3272.842195300717,True
S003-WAT-03,Q2-006,S003,3272.842195300717,True
S003-WAT-04,Q2-006,S003,3272.842195300717,True
S003-FOD-01,Q2-006,S003,3272.842195300717,True
S004-MED-01,Q2-007,S004,5258.03840094871,True
S004-WAT-01,Q2-007,S004,5258.03840094871,True
S004-WAT-02,Q2-007,S004,5258.03840094871,True
S004-WAT-03,Q2-007,S004,5258.03840094871,True
S004-FOD-01,Q2-007,S004,5258.03840094871,True
S004-HYG-01,Q2-007,S004,5258.03840094871,True
S005-MED-01,Q2-008,S005,5437.989111076363,True
S005-WAT-01,Q2-008,S005,5437.989111076363,True
S005-WAT-02,Q2-008,S005,5437.989111076363,True
S005-WAT-03,Q2-008,S005,5437.989111076363,True
S005-FOD-01,Q2-008,S005,5437.989111076363,True
S005-HYG-01,Q2-008,S005,5437.989111076363,True
S006-MED-01,Q2-009,S006,7421.394773919925,False
S006-WAT-01,Q2-009,S006,7421.394773919925,False
S006-WAT-02,Q2-009,S006,7421.394773919925,True
S006-WAT-03,Q2-009,S006,7421.394773919925,True
S006-FOD-01,Q2-009,S006,7421.394773919925,True
S006-HYG-01,Q2-009,S006,7421.394773919925,True
S007-MED-01,Q2-010,S007,7956.821687883178,False
S007-WAT-01,Q2-010,S007,7956.821687883178,False
S007-WAT-02,Q2-010,S007,7956.821687883178,True
S007-FOD-01,Q2-010,S007,7956.821687883178,True
S007-HYG-01,Q2-010,S007,7956.821687883178,True
S008-MED-01,Q2-011,S008,9424.441187339899,False
S008-WAT-01,Q2-011,S008,9424.441187339899,False
S008-WAT-02,Q2-011,S008,9424.441187339899,True
S008-FOD-01,Q2-011,S008,9424.441187339899,True
S008-HYG-01,Q2-011,S008,9424.441187339899,True
S009-MED-01,Q2-012,S009,2851.9144692982245,True
S009-WAT-01,Q2-012,S009,2851.9144692982245,True
S009-FOD-01,Q2-012,S009,2851.9144692982245,True
S010-MED-01,Q2-013,S010,3105.1646871474227,True
S010-WAT-01,Q2-013,S010,3105.1646871474227,True
S010-FOD-01,Q2-013,S010,3105.1646871474227,True
S011-MED-01,Q2-014,S011,4360.043283800391,True
S011-WAT-01,Q2-014,S011,4360.043283800391,True
S011-FOD-01,Q2-014,S011,4360.043283800391,True
S012-MED-01,Q2-015,S012,5009.128840781219,False
S012-WAT-01,Q2-015,S012,5009.128840781219,False
S012-FOD-01,Q2-015,S012,5009.128840781219,True
S013-MED-01,Q2-016,S013,5961.2367266661595,False
S013-WAT-01,Q2-016,S013,5961.2367266661595,False
S013-FOD-01,Q2-016,S013,5961.2367266661595,True
S014-MED-01,Q2-017,S014,6902.995012296287,False
S014-WAT-01,Q2-017,S014,6902.995012296287,False
S014-FOD-01,Q2-017,S014,6902.995012296287,True
S015-MED-01,Q2-018,S015,7627.176791507258,False
S015-WAT-01,Q2-018,S015,7627.176791507258,True
S015-FOD-01,Q2-018,S015,7627.176791507258,True
